target_id,actual_delay_steps,actual_slew_scale,experiment_id,source_experiment_id,raw_file_path,raw_size_bytes,raw_sha256,parse_status,parse_error,success,failure_reason,exception_stage,traceback_present,trajectory_state_count,trajectory_action_count,source_trajectory_state_count,source_formal_state_count,source_formal_action_count,shape_comparable,capture_visible_maximum_abs_difference,capture_visible_mismatch_reason,source_action_equality,source_action_mismatch_reason,capture_formal_metric_result,source_formal_contract_pass,source_formal_minimum_signed_margin,snapshot_path_recorded,expected_remote_snapshot_path,snapshot_directory_present_local,snapshot_manifest_present_local,snapshot_required_file_completeness,snapshot_required_files,snapshot_file_sizes,snapshot_file_sha256,snapshot_manifest_digest_validity,coil_current_vector_shape,coil_current_vector_equality,full_wire_current_vector_shape,full_wire_current_vector_equality,snapshot_time_index_alignment,primary_failure_category,classification_evidence
RZ_p10_m10,0,1.0,s42r1_02e362a9db5d0038375a,s41r11_2f8571253fb3d4fecc7d,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_02e362a9db5d0038375a.json.gz,5823,b6bd97af2b834aa296ca4016e9bc8cc251a928224abb73659bb6453770305f8d,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.23832005277494073,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_02e362a9db5d0038375a/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,0,1.1,s42r1_0335d099a55455c8c4a2,s41r11_4d30bd7baa9ca45ebae9,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_0335d099a55455c8c4a2.json.gz,5881,8028f46e1f134a35e820bcb29ec9ec44ed42f712841676ac501264e9ec047391,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.46286111333333335,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_0335d099a55455c8c4a2/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,2,1.0,s42r1_07d4391626b568d3d1d4,s41r11_440ab07f7bda1daaae91,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_07d4391626b568d3d1d4.json.gz,5852,bc3bbed13e04702614c170edc054ee0a72b128eb290b8e5fba7d43c009bc84fa,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.2759736000000004,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_07d4391626b568d3d1d4/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,0.9,s42r1_127f38736035b78c7af6,s41r17_7bafe3803c15d39d1246,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_127f38736035b78c7af6.json.gz,6124,6ffa199aad585d7b07a4d05e734fcb59a573c9dcb98377173cc8631d100ca905,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,38,38,37,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.03424307914254965,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_127f38736035b78c7af6/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,1.1,s42r1_13e6677c5ee386421561,s41r11_a8f9a350bbff387ee6ea,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_13e6677c5ee386421561.json.gz,5868,b876748d97cbe600cff7eca81bc6aa65bae2b7f3e76ed6b166c3670a6dcecc6b,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.31973813333333134,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_13e6677c5ee386421561/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,1.0,s42r1_360594c6e0e18106a893,s41r11_1a68ddcfee975c919917,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_360594c6e0e18106a893.json.gz,5826,ba9832d39ecff218adaf4856cfebdbf1b73820a4f9956405c6cee30b17836667,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.27013420000000044,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_360594c6e0e18106a893/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,1,1.1,s42r1_43d84438b41d51cf6491,s41r11_d7c1a2e54d420e9431d3,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_43d84438b41d51cf6491.json.gz,5884,80ea91fea802bb5aa5582dcc83b09ac00096b41d4cc460adb98b8a73da39bc4a,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.4926570333333333,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_43d84438b41d51cf6491/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,2,1.0,s42r1_6442ea8fce407a0d50c6,s41r11_e96eda15dbe928fd28b4,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_6442ea8fce407a0d50c6.json.gz,5836,aceb049e566692c62e15a047d14072dc3b62b8acf624a21ae6465abf80a864e2,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,36,35,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.4816273099999999,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6442ea8fce407a0d50c6/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,0,0.9,s42r1_683efa483483fb445e3d,s41r11_34d1db527d2bd88caf2e,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_683efa483483fb445e3d.json.gz,6097,732d739118fc4e6649bba3ce64d0c3c2de7e833dbb56d2410b542d3c5c4960b9,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,201,38,37,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,1.0456920999768471e-05,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_683efa483483fb445e3d/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,2,0.9,s42r1_6e47fc276c089c8225c6,s41r17_94ed769e1a5da77ca1f9,stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_plant_checkpoint_capture/raw/s42r1_6e47fc276c089c8225c6.json.gz,6062,b08583370a9c8923805c9b905445d7bfde2885c64ef10612fb47be62c62aa308,ok,,False,"AttributeError(""'NoneType' object has no attribute 'cfg'"")",prepare_replay,True,0,0,38,38,37,False,,shape_mismatch: capture has 0 states,False,shape_mismatch: capture has 0 actions,not_evaluable_capture,True,0.22859295541133307,,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6e47fc276c089c8225c6/1300ms,False,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
