target,delay,slew,experiment_id,raw_path,parse_status,success,failure_reason,exception_stage,traceback_present,classification,horizon_steps,trajectory_state_count,expected_trajectory_state_count,recorded_action_count,source_action_count,terminal_action_executed_before_exception,source_trajectory_state_count,visible_prefix_shape_capture,visible_prefix_shape_source,visible_prefix_comparable,visible_prefix_exact,visible_prefix_max_abs_difference,recorded_action_prefix_exact,formal_metric_result,source_formal_contract_result,snapshot_path,snapshot_manifest_present,snapshot_required_files_complete,snapshot_file_count,snapshot_file_sha256_verified_count,snapshot_manifest_digest_valid,coil_vector_shape,coil_numeric_equal_atol_1e-12,coil_max_abs_difference_kat,full_wire_vector_shape,full_wire_exact_to_checkpoint,full_wire_max_abs_difference_a,snapshot_time_index_aligned
RZ_p10_m10,0,1.0,s42r1_02e362a9db5d0038375a,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_02e362a9db5d0038375a.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_02e362a9db5d0038375a/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
nominal,0,1.1,s42r1_0335d099a55455c8c4a2,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_0335d099a55455c8c4a2.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_0335d099a55455c8c4a2/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
RZ_p10_m10,2,1.0,s42r1_07d4391626b568d3d1d4,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_07d4391626b568d3d1d4.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_07d4391626b568d3d1d4/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,7.105427357601002e-15,[48],True,0.0,True
RZ_p10_m10,1,0.9,s42r1_127f38736035b78c7af6,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_127f38736035b78c7af6.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,37,37,38,36,37,True,38,"[37, 35]","[37, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_127f38736035b78c7af6/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,7.105427357601002e-15,[48],True,0.0,True
RZ_p10_m10,1,1.1,s42r1_13e6677c5ee386421561,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_13e6677c5ee386421561.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_13e6677c5ee386421561/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
RZ_p10_m10,1,1.0,s42r1_360594c6e0e18106a893,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_360594c6e0e18106a893.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_360594c6e0e18106a893/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
nominal,1,1.1,s42r1_43d84438b41d51cf6491,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_43d84438b41d51cf6491.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_43d84438b41d51cf6491/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
nominal,2,1.0,s42r1_6442ea8fce407a0d50c6,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_6442ea8fce407a0d50c6.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,35,35,36,34,35,True,201,"[35, 35]","[35, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6442ea8fce407a0d50c6/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
RZ_p10_m10,0,0.9,s42r1_683efa483483fb445e3d,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_683efa483483fb445e3d.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,37,37,38,36,37,True,201,"[37, 35]","[37, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_683efa483483fb445e3d/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
nominal,2,0.9,s42r1_6e47fc276c089c8225c6,C:\Users\用户\Documents\codes\tsc_rzip_rllib\artifacts\server_runs\r1b_resume_20260730_061527\stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619\stage4_2r1_plant_checkpoint_capture\raw\s42r1_6e47fc276c089c8225c6.json.gz,passed,False,"TypeError(""argument should be a str or an os.PathLike object where __fspath__ returns a str, not 'NoneType'"")",action_replay,True,capture trajectory truncated: terminal full-wire telemetry read after normal environment cleanup,37,37,38,36,37,True,38,"[37, 35]","[37, 35]",True,True,0.0,True,not_comparable_missing_terminal_hold_state,passed_frozen_R17_18_of_18,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6e47fc276c089c8225c6/1300ms,False,True,8,8,not_available_manifest_not_generated,[14],True,8.881784197001252e-16,[48],True,0.0,True
