target,delay,slew,experiment_id,status,restart_raw_path,restart_raw_parse_status,fresh_tsc_process_identity,snapshot_source,prerequisite_gate,restart_initial_state_fidelity,restart_suffix_fidelity,prefix_suffix_reconstruction,formal_contract_preservation,plant_restart_failure_claim_supported
RZ_p10_m10,0,1.0,s42r1_02e362a9db5d0038375a,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_02e362a9db5d0038375a/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,0,1.1,s42r1_0335d099a55455c8c4a2,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_0335d099a55455c8c4a2/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,2,1.0,s42r1_07d4391626b568d3d1d4,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_07d4391626b568d3d1d4/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,1,0.9,s42r1_127f38736035b78c7af6,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_127f38736035b78c7af6/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,1,1.1,s42r1_13e6677c5ee386421561,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_13e6677c5ee386421561/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,1,1.0,s42r1_360594c6e0e18106a893,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_360594c6e0e18106a893/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,1,1.1,s42r1_43d84438b41d51cf6491,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_43d84438b41d51cf6491/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,2,1.0,s42r1_6442ea8fce407a0d50c6,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6442ea8fce407a0d50c6/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,0,0.9,s42r1_683efa483483fb445e3d,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_683efa483483fb445e3d/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,2,0.9,s42r1_6e47fc276c089c8225c6,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6e47fc276c089c8225c6/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,0,1.0,s42r1_9cb2964ccf9f1f305352,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_9cb2964ccf9f1f305352/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,0,0.9,s42r1_a1b7708f6011ce730dd9,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_a1b7708f6011ce730dd9/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,0,1.1,s42r1_a873b553954ffbd64e0d,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_a873b553954ffbd64e0d/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,1,1.0,s42r1_c1b845e90cb8b80f4011,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_c1b845e90cb8b80f4011/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
RZ_p10_m10,2,1.1,s42r1_db5ff6d589593afd0d7d,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_db5ff6d589593afd0d7d/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
nominal,2,1.1,s42r1_dd913b425ec6e54e594d,not_run,,not_run,not_run,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_dd913b425ec6e54e594d/1300ms,plant_checkpoint_capture_failed_before_authentication_due_terminal_wire_telemetry_exception,not_run,not_run,not_run,not_run,False
