target_id,actual_delay_steps,actual_slew_scale,experiment_id,checkpoint_step,checkpoint_elapsed_ms,expected_snapshot_folder_ms,expected_remote_snapshot_path,recorded_snapshot_path,snapshot_directory_present_local,manifest_present_local,required_files,required_files_present_count,required_files_missing_count,missing_required_files,file_sizes,file_sha256,manifest_digest_valid,coil_vector_shape,coil_vector_equality,wire_vector_shape,wire_vector_equality,time_index_alignment,primary_failure_category,classification_evidence
RZ_p10_m10,0,1.0,s42r1_02e362a9db5d0038375a,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_02e362a9db5d0038375a/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,0,1.1,s42r1_0335d099a55455c8c4a2,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_0335d099a55455c8c4a2/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,2,1.0,s42r1_07d4391626b568d3d1d4,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_07d4391626b568d3d1d4/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,0.9,s42r1_127f38736035b78c7af6,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_127f38736035b78c7af6/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,1.1,s42r1_13e6677c5ee386421561,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_13e6677c5ee386421561/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,1,1.0,s42r1_360594c6e0e18106a893,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_360594c6e0e18106a893/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,1,1.1,s42r1_43d84438b41d51cf6491,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_43d84438b41d51cf6491/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,2,1.0,s42r1_6442ea8fce407a0d50c6,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6442ea8fce407a0d50c6/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
RZ_p10_m10,0,0.9,s42r1_683efa483483fb445e3d,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_683efa483483fb445e3d/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
nominal,2,0.9,s42r1_6e47fc276c089c8225c6,20,200,1300,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r1_runs/stage4_2r1_true_tsc_plant_restart_action_replay_20260729_162619/stage4_2r1_restart_bank/s42r1_6e47fc276c089c8225c6/1300ms,,False,False,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",0,6,"[""inputa"",""sprsina"",""geqdsk"",""outputa"",""coil_currents.csv"",""wire_currents.csv""]",{},{},not_evaluable,not_captured,not_evaluable,not_captured,not_evaluable,not_evaluable,snapshot request not triggered,evaluate_capture read runner.cfg before env.reset/_ensure_runner; trajectory=0 and capture_snapshot_dir is empty
