actual_delay_steps,actual_slew_scale,capture_raw_hash_pass,checkpoint_action_exact,checkpoint_action_max_abs_difference,checkpoint_schema_and_digest_pass,checkpoint_wire_exact,checkpoint_wire_max_abs_difference,controller_trace_action_exact,controller_trace_action_max_abs_difference,controller_trace_causal,controller_trace_count,environment_success,experiment_id,failure_reason,formal_best_arrival_ms,formal_contract_pass,formal_minimum_signed_margin,fresh_controller_actor,fresh_tsc_plant_restart,future_action_replay_used,horizon_steps,online_action_exact,online_action_max_abs_difference,passed,raw_path,raw_sha256,raw_size_bytes,recombined_visible_exact,recombined_visible_max_abs_difference,recombined_wire_exact,recombined_wire_max_abs_difference,restart_state_count,restart_visible_exact,restart_visible_max_abs_difference,restart_wire_exact,restart_wire_exact_to_r1_restart,restart_wire_max_abs_difference,restart_wire_to_r1_max_abs_difference,snapshot_manifest_digest_pass,source_raw_hash_pass,target_id
0,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_0be01d0a3d14622929c9,,270,True,1.0456920999768471e-05,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_0be01d0a3d14622929c9.json.gz,9b4b072f871e66de7f9524dc75b4d839154fbca34ef892bbffa8033ed7b59676,14078,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,RZ_p10_m10
0,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_b2d918f004c8a6a22136,,270,True,0.2320586386219078,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_b2d918f004c8a6a22136.json.gz,b16717fd2eb764b67c00d86c735bb3e5bbb33be82566f40d06a4bdc5059087e7,14112,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,nominal
1,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_f9e9bcc0bbccf3274086,,270,True,0.03424307914254965,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_f9e9bcc0bbccf3274086.json.gz,a6891b3172754f75b118551b6332a93d0b55a4dd3ae32c02cafbdb5818f3a2cf,13403,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,RZ_p10_m10
1,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_19342d55049a16dc4106,,270,True,0.1584858193418558,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_19342d55049a16dc4106.json.gz,eeb6a8d1f12052e4055ee4c57b8749c105f2e5dab41c2d6e5cfc736c99904951,13428,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,nominal
2,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_8ae7e0b0e01a87819610,,270,True,0.01633098324390514,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_8ae7e0b0e01a87819610.json.gz,b05cedc861f6dbaa2b10063ca5067f4d9aaca29c05cf62196c19581a26ef8cc4,13483,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,RZ_p10_m10
2,0.9,True,True,0.0,True,True,0.0,True,0.0,True,17,True,s42r2_201542fa09518105034c,,270,True,0.22859295541133307,True,True,False,37,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_201542fa09518105034c.json.gz,f1536aa0dcea2c6dc63da57aabaaf9d919b78ad5b8eb62fa2be4e879d13ed33e,13397,True,0.0,True,0.0,18,True,0.0,True,True,0.0,0.0,True,True,nominal
0,1.0,True,True,0.0,True,True,0.0,True,0.0,True,15,True,s42r2_9db4a3558c8c94a1912e,,250,True,0.23832005277494073,True,True,False,35,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_9db4a3558c8c94a1912e.json.gz,b4f09e6dd0d88491fd1046dad511174442fa675dc3f403896d183c5aac7bd7ca,12379,True,0.0,True,0.0,16,True,0.0,True,True,0.0,0.0,True,True,RZ_p10_m10
0,1.0,True,True,0.0,True,True,0.0,True,0.0,True,15,True,s42r2_035e1964380b87cfa50f,,250,True,0.45179333666666666,True,True,False,35,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_035e1964380b87cfa50f.json.gz,72ddf17665edaa461a59a94084718f957f42000a56eb99347fbe16cd5d24cd6c,12333,True,0.0,True,0.0,16,True,0.0,True,True,0.0,0.0,True,True,nominal
1,1.0,True,True,0.0,True,True,0.0,True,0.0,True,15,True,s42r2_3fd381844f29cfa1bf4d,,250,True,0.27013420000000044,True,True,False,35,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_3fd381844f29cfa1bf4d.json.gz,65e8cbf42d771a2b6f24644e1d9d6f05a7c53d8219e281104fb724193e509215,12379,True,0.0,True,0.0,16,True,0.0,True,True,0.0,0.0,True,True,RZ_p10_m10
1,1.0,True,True,0.0,True,True,0.0,True,0.0,True,15,True,s42r2_84a88650b35f4eb11332,,250,True,0.47356742666666674,True,True,False,35,True,0.0,True,stage4_2r2_controller_restart_replay/raw/s42r2_84a88650b35f4eb11332.json.gz,b90a5f3630a7ec538848f3387beed9fd783da76cfe1124120f0ad4694933771c,12428,True,0.0,True,0.0,16,True,0.0,True,True,0.0,0.0,True,True,nominal
