left_experiment_id,right_experiment_id,left_target_id,right_target_id,left_delay,right_delay,left_slew,right_slew,same_checkpoint_step,same_snapshot_clock,same_future_semantics,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,valid_r3_existing_pair
s42r1_0335d099a55455c8c4a2,s42r1_9cb2964ccf9f1f305352,nominal,nominal,0,0,1.1,1.0,True,True,False,0.0012784379999999373,0.0004219240000000006,7.451900000000023,0.022888700000012197,0.0067808600000000135,0.39000000000000057,0.19339561291621118,0.007372908294200897,1.387,0.792180074751526,0.792180074751526,7372908294.200897,False,False,False
s42r1_6442ea8fce407a0d50c6,s42r1_c1b845e90cb8b80f4011,nominal,nominal,2,1,1.0,1.0,True,True,False,8.18579999999347e-05,0.00015501949999999903,1.1382999999987078,0.008258899999991076,0.000907239999999726,0.125,0.06695177131741786,0.013405956327915192,0.3400000000000001,0.208807327457635,0.208807327457635,13405956327.915192,False,False,False
s42r1_6442ea8fce407a0d50c6,s42r1_dd913b425ec6e54e594d,nominal,nominal,2,2,1.0,1.1,True,True,False,0.0002126490000000647,0.00021434260000000038,14.418799999999464,0.011313999999995605,0.024197379999999977,0.5,0.2249851229649539,0.018513627350330353,0.30000000000000004,0.15032166898576754,0.15032166898576754,18513627350.330353,False,False,False
s42r1_13e6677c5ee386421561,s42r1_db5ff6d589593afd0d7d,RZ_p10_m10,RZ_p10_m10,1,2,1.1,1.1,True,True,False,0.00019530300000003553,0.00035716499999999957,14.889499999997497,0.014769400000003152,0.027320740000000114,0.625,0.28767828840398807,0.019923988729715347,0.696,0.3589183693172214,0.3589183693172214,19923988729.715347,False,False,False
s42r1_127f38736035b78c7af6,s42r1_683efa483483fb445e3d,RZ_p10_m10,RZ_p10_m10,1,0,0.9,0.9,True,True,False,0.00039222699999996724,0.0005540690000000008,0.5817999999999302,0.00458740000000013,0.00888687999999993,0.2916666666666714,0.19090461342924753,0.02041202411055565,1.0350000000000001,0.5991250391195481,0.28178483952420336,20412024110.55565,False,False,False
s42r1_127f38736035b78c7af6,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,1,2,0.9,0.9,True,True,False,0.00039303699999992947,0.00012018559999999942,8.063100000003033,0.0018866999999977985,0.007636460000000012,0.25,0.11672686372162083,0.02463342249393463,0.40299999999999997,0.23137483117227767,0.12232938079496335,24633422493.93463,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_dd913b425ec6e54e594d,nominal,nominal,0,2,1.1,1.1,True,True,False,0.0011811799999998929,0.0006990919000000005,10.334100000000035,0.01655750000001399,0.004198370000000132,0.5300000000000011,0.2531590056522906,0.02495574951171875,2.1369999999999996,1.1381597354208826,1.1381597354208826,24955749511.71875,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_db5ff6d589593afd0d7d,RZ_p10_m10,RZ_p10_m10,2,2,1.0,1.1,True,True,False,0.0016031250000000385,0.0013334122,4.271300000000338,0.005978600000011713,0.00947836000000004,0.23999999999999488,0.1472482381924948,0.026028090622276068,1.1239999999999999,0.6019072810657801,0.6019072810657801,26028090622.27607,False,False,False
s42r1_683efa483483fb445e3d,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,0,2,0.9,0.9,True,True,False,8.099999999622298e-07,0.00043388340000000136,8.644900000002963,0.002700700000002332,0.0012504199999999188,0.3333333333333428,0.15230830392478437,0.02643368043936789,1.1450000000000002,0.5930855053587692,0.28671406676992434,26433680439.36789,False,False,False
s42r1_9cb2964ccf9f1f305352,s42r1_dd913b425ec6e54e594d,nominal,nominal,0,2,1.0,1.1,True,True,False,9.725800000004448e-05,0.0011210159000000011,17.786000000000058,0.006331199999998205,0.010979230000000145,0.4375,0.24752124327623876,0.02777966856956482,1.0210000000000001,0.5686824135666585,0.5686824135666585,27779668569.56482,False,False,False
