pair_id,common_prefix_steps,common_prefix_source_experiment_id,common_prefix_action_digest,nullspace_direction_index,amplitude_fraction,gap_steps,settle_steps,pair_members_valid,same_snapshot_clock,plus_first_experiment_id,minus_first_experiment_id,plus_first_snapshot_dir,minus_first_snapshot_dir,plus_first_snapshot_manifest_digest,minus_first_snapshot_manifest_digest,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,accepted,failure_class,selected
p4_q1_a0p200_gap2_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.2,2,4,True,True,s42r3a_b3e817470f8140d03233,s42r3a_9cccd7e393e64c973d11,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_b3e817470f8140d03233/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_9cccd7e393e64c973d11/1220ms,69473fbe5f330060bd8aa7a0c02ce81b777e57e7734dc437d9f76ef55daf4dd3,bc5b8322f85434f7449b9bf6ba6cd2afe45a50a6e60024b16b8f0edc94535af2,0.00012523300000000237,0.00010709440000000042,0.02049999999871943,8.18999999929737e-05,0.0016484699999999575,0.0,0.0,0.0,0.1879999999999995,0.06144543649992781,0.020983441686203985,0.25046600000000474,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p200_gap4_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.2,4,4,True,True,s42r3a_59be6c6ceff8458cf09f,s42r3a_f261bfe5bf4883df59d6,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_59be6c6ceff8458cf09f/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_f261bfe5bf4883df59d6/1240ms,23b6f79a3857d12f7d15500d9c6abad16ab840ecd89284c561024a1433b06bfd,a86e8d01852ed443890d64ae73da1bccda71e8e1508cb48bf048c4d1721af40b,0.00017839399999997063,0.00015721180000000112,0.8654999999998836,0.0018843999999962335,0.0018250400000002776,0.0,0.0,0.0,0.12399999999999989,0.05820831842042276,0.02054244265454698,0.35678799999994126,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p200_gap8_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.2,8,4,True,True,s42r3a_5284192ea1cc661efc6d,s42r3a_4fb20141109e95e5c570,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_5284192ea1cc661efc6d/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_4fb20141109e95e5c570/1280ms,a4880589a54001fa7390c98fb716e6cf8922d575853140a406b99b9b784a702c,b2868d0e240818572ab249daced83ccc14ee7f7aa182220cf372399e2c1ca362,0.0002723300000000428,0.0002393366000000008,8.94680000000153,0.0021905999999960457,0.0017361200000001187,0.0,0.0,0.0,0.3350000000000004,0.07531738400484533,0.02953227841464719,0.5446600000000856,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p400_gap2_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,2,4,True,True,s42r3a_45429da55042c591b0bc,s42r3a_6587c0b55c45e9782e48,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_45429da55042c591b0bc/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_6587c0b55c45e9782e48/1220ms,b8617a5a2500283b5b2639dca2ab4f9ad788200bf460481edcb781f50b1104e3,9da2895672253aacf6e9bb5585fe11d41ece9258d8353b21c1ec4eab78d5579e,0.00025711900000002785,0.00018018189999999962,0.7908000000024913,0.00037380000000863944,0.003049589999999991,0.0,0.0,0.0,0.20800000000000018,0.10635974724177064,0.03629391457579888,0.5142380000000557,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p400_gap4_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,4,4,True,True,s42r3a_bdcf78965b777ea0ebf2,s42r3a_402773fb968b1ff22af5,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_bdcf78965b777ea0ebf2/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_402773fb968b1ff22af5/1240ms,552c3afc857250539530a06b8dbe81fb89596e0385e8c936a9f2fea4df0d931b,6cadfc1078911cdde9782a763a80071346198f4a611b580319fb547e11401847,0.0003841369999999511,0.0002704154999999993,3.1794000000008964,0.003651400000004301,0.003936980000000118,0.0,0.0,0.0,0.24399999999999977,0.11707574115360814,0.041348673933513505,0.7682739999999022,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p400_gap8_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,8,4,True,True,s42r3a_88e10119450575b46adf,s42r3a_41cb5c4429c357d8466a,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_88e10119450575b46adf/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_41cb5c4429c357d8466a/1280ms,8ef685ec8b99d523b419c72059798db44bd4840f5278085d2ea6c4b5dab4d583,53146be69185006e8545ea01d6cb4645072a4e19be11e1c1e93898e99191aa98,0.0005692409999999981,0.0004155436000000002,11.349699999998847,0.004460400000005915,0.0034858999999999862,0.0,0.0,0.0,0.14800000000000002,0.08006637871166646,0.031058324828311692,1.1384819999999962,False,False,False,invalid_visible_match,False
p4_q1_a0p800_gap2_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.8,2,4,True,True,s42r3a_c5523ca221f8467b07ec,s42r3a_b8d8e7275cf35e0000a4,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_c5523ca221f8467b07ec/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_b8d8e7275cf35e0000a4/1220ms,9c85f68e18a331b5132f444389ffe6d39a55129afed4105cd8ae7e71ed1b275b,b43188f652693e8ee21fbb8203a8af993c71e3571dde2379b3c8e77031fcfa83,0.00041776400000004266,0.0002935768999999984,1.9906000000009954,0.0006849000000030969,0.005688209999999888,0.0,0.0,0.0,0.30699999999999994,0.16019025147201268,0.054659580409905616,0.8355280000000853,True,False,False,insufficient_hidden_separation,False
p4_q1_a0p800_gap4_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.8,4,4,True,True,s42r3a_d045dd337d53e8d36976,s42r3a_de07a89ea78945153f19,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_d045dd337d53e8d36976/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_de07a89ea78945153f19/1240ms,09dde9a46821a51df53d7de1d39754a2a87f6560c655036a4a65d15d66f6ac53,4b30bac6768d02e6da26bc08d0aa3cd3c246f3b1896ea25f8e9b17bffb304966,0.0006176420000000293,0.0004689880999999979,4.112100000002101,0.006419599999996084,0.0077824399999998906,0.0,0.0,0.0,0.41100000000000003,0.19808578739189409,0.07009494368452764,1.2352840000000587,False,False,False,invalid_visible_match,False
p4_q1_a0p800_gap8_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.8,8,4,True,True,s42r3a_e2c17d473ea919e91aef,s42r3a_7c5950ab6d7b41e94117,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_e2c17d473ea919e91aef/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_7c5950ab6d7b41e94117/1280ms,835689189031aff249a4e880ca74f11dd01dc937c97193d7740c018689ce7f47,c74fe4c9f85208ff4d14fa31acba6b25c675bc70f08dca43b29f7cedcbdcb99b,0.0009894710000000195,0.000731827899999999,12.6404999999977,0.008240799999992277,0.00676508999999989,0.0,0.0,0.0,0.3440000000000002,0.15822419484179193,0.06090659537301606,1.978942000000039,False,False,False,invalid_visible_match,False
p4_q2_a0p200_gap2_settle4,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.2,2,4,True,True,s42r3a_b893d3fdafc2d6909503,s42r3a_cdff497995d45c88fcdd,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_b893d3fdafc2d6909503/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_cdff497995d45c88fcdd/1220ms,b0f3c2a7f0092e9fe5c9fa7ea547046ef780fe80d071f9e2461ad87397afe0ca,ac983b2ff3847210d840715550fd18d873d69016419a41c98e6a103f712bf5e2,0.00011702700000004729,0.00011955240000000034,0.13269999999829452,0.00015290000000556248,0.0017632400000001935,0.0,0.0,0.0,0.18900000000000028,0.06348671120793704,0.021664930176307856,0.23910480000000067,True,False,False,insufficient_hidden_separation,False
