experiment_id,pair_id,history_order,common_prefix_steps,common_prefix_source_experiment_id,common_prefix_action_digest,nullspace_direction_index,amplitude_fraction,gap_steps,settle_steps,horizon_steps,success,failure_reason,failure_class,R,Z,Ip,vR_m_per_s,vZ_m_per_s,wire_rms_a,snapshot_dir,snapshot_manifest_path,snapshot_manifest_digest,snapshot_time_ms
s42r3a_01389071cf6dfe800ebd,p8_q2_a0p400_gap2_settle4,minus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,2,0.4,2,4,16,True,,,0.724432946,0.0234771464,30355.9461,-0.014504100000001241,-0.07012563000000013,1.2486991814818065,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_01389071cf6dfe800ebd/1260ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_01389071cf6dfe800ebd/1260ms/restart_snapshot_manifest.json,5c5c6bb9aa2f9e8757f51d8e4279e11bad5fb1ca6e30a3a3cf18a62a7dfa614a,1260
s42r3a_03230f650aa007b6a514,p8_q2_a0p400_gap4_settle4,minus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,2,0.4,4,4,18,True,,,0.724026122,0.0221000562,30297.1883,-0.016921299999994588,-0.07203815000000023,1.3257113970745418,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_03230f650aa007b6a514/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_03230f650aa007b6a514/1280ms/restart_snapshot_manifest.json,bfb21f7bedcb59f6684b3f2eb9dca7e17822d4e18f8ffab8cead8d98cb860843,1280
s42r3a_0f464051882cc8359f27,p4_q2_a0p800_gap2_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.8,2,4,12,True,,,0.717314283,0.0246132042,30415.6829,-0.0916212999999999,-0.18315897000000003,2.8790004016151163,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_0f464051882cc8359f27/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_0f464051882cc8359f27/1220ms/restart_snapshot_manifest.json,7200adbd0817c8cbd93ab8f02389344a5bfe6d99a24a2f4ac3507c04f06a6ac4,1220
s42r3a_1759499d80719958cde8,p4_q2_a0p800_gap8_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.8,8,4,18,True,,,0.711530389,0.0132227765,30214.878,-0.08795249999999921,-0.19572219999999999,2.580478803277924,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1759499d80719958cde8/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1759499d80719958cde8/1280ms/restart_snapshot_manifest.json,e10cba8a84103aaa14ac09abbc06c48eb1b70718b25ed055090df07b23082989,1280
s42r3a_18cb7c6a3b947d71a097,p8_q1_a0p400_gap2_settle4,minus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,1,0.4,2,4,16,True,,,0.724403525,0.0234594512,30356.0312,-0.014267599999995273,-0.07024210000000017,1.2470222030902256,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_18cb7c6a3b947d71a097/1260ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_18cb7c6a3b947d71a097/1260ms/restart_snapshot_manifest.json,3e971bedd14c5a59fde5576adbcdcda7f6f11b93391f3db85e6e21287ee0be82,1260
s42r3a_1b306c959feacd00eead,p8_q1_a0p200_gap8_settle4,minus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,1,0.2,8,4,22,True,,,0.72294361,0.0189057783,30207.8614,-0.029196600000003237,-0.07819385000000026,1.307515105075272,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1b306c959feacd00eead/1320ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1b306c959feacd00eead/1320ms/restart_snapshot_manifest.json,0c12b8b3c14443a2dd9de8aef7914d5770ed0b2cb206a0e514a98c75e5f10ae5,1320
s42r3a_1c42d0550a1aa070bb8e,p4_q2_a0p200_gap4_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.2,4,4,14,True,,,0.715677344,0.0204894639,30336.9244,-0.09545049999999389,-0.19434560999999975,2.8484567678540134,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1c42d0550a1aa070bb8e/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_1c42d0550a1aa070bb8e/1240ms/restart_snapshot_manifest.json,28d464e18a09309afe4761a28b3dc59632212f7ebb5ef771f7ef6542e505d26c,1240
s42r3a_294475e85e1879c5bc76,p8_q1_a0p400_gap2_settle4,plus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,1,0.4,2,4,16,True,,,0.724597668,0.0232687715,30357.3277,-0.015487800000002494,-0.07352628999999986,1.2789425237932575,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_294475e85e1879c5bc76/1260ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_294475e85e1879c5bc76/1260ms/restart_snapshot_manifest.json,c72d8f502b803ebf979e8839b70ff57a5ec770976aed13bf0248d015b6f9db15,1260
s42r3a_2d8c52164d672da35f90,p8_q1_a0p800_gap8_settle4,plus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,1,0.8,8,4,22,True,,,0.723477208,0.0181548775,30207.8837,-0.03329669999999618,-0.08149497000000012,1.4244488261546404,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_2d8c52164d672da35f90/1320ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_2d8c52164d672da35f90/1320ms/restart_snapshot_manifest.json,9add79eeae275fe51aa6fbe73f2fb0327e8398a1c4911bd308fda66b9f00a518,1320
s42r3a_2fd704aaf23a7327886a,p8_q2_a0p800_gap4_settle4,plus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,2,0.8,4,4,18,True,,,0.724341807,0.0214327427,30298.7288,-0.024756100000000725,-0.07960150999999985,1.4330650572578112,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_2fd704aaf23a7327886a/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_2fd704aaf23a7327886a/1280ms/restart_snapshot_manifest.json,6adbc55cc7aae3b2920ad5b386e2334fd1dfbcfeff57e37277e7508b30acf994,1280
s42r3a_3229d30cbd3d50f60462,p4_q2_a0p400_gap8_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.4,8,4,18,True,,,0.711726727,0.0130005114,30216.3681,-0.09006220000000731,-0.19760851999999998,2.582108364140953,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3229d30cbd3d50f60462/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3229d30cbd3d50f60462/1280ms/restart_snapshot_manifest.json,b99e8888cc6f0c2b0504e8e4ccb5774b5144f774c13805f5e186172afa8b9706,1280
s42r3a_3bb59d23afaf6727dc76,p4_q2_a0p800_gap4_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.8,4,4,14,True,,,0.715897231,0.0202118375,30339.9013,-0.09695060000000089,-0.19805071000000007,2.8814868160089393,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3bb59d23afaf6727dc76/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3bb59d23afaf6727dc76/1240ms/restart_snapshot_manifest.json,b86f38c0408fc6907289ccc8eb4801bfbd37020b69d55a9077a234a4d1d8a691,1240
s42r3a_3d61e9b21a330b510ff1,p8_q2_a0p200_gap4_settle4,plus_first,8,s41r11_076c2e2752cc8914bcf9,ffec30c36c653d48ae6be086313ea3dbd1fd6a103414fe4491b43ed91d058be6,2,0.2,4,4,18,True,,,0.724163251,0.0217727244,30297.9488,-0.020493300000001824,-0.0760268900000003,1.385085684774291,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3d61e9b21a330b510ff1/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3d61e9b21a330b510ff1/1280ms/restart_snapshot_manifest.json,c3089c68ae58850bb57e72d9adb0fe30ddd2215ace9c9b908ab74051edcbf77d,1280
s42r3a_3dc2c1c522d5bfda59e4,p4_q2_a0p400_gap2_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.4,2,4,12,True,,,0.717605671,0.0243175801,30416.837,-0.09086200000000266,-0.18771863,2.957672113898586,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3dc2c1c522d5bfda59e4/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_3dc2c1c522d5bfda59e4/1220ms/restart_snapshot_manifest.json,dab52296c6fb1872e14c98bc65769144a84ecf793cec110b5222d85fb1d9bb1e,1220
s42r3a_402773fb968b1ff22af5,p4_q1_a0p400_gap4_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,4,4,14,True,,,0.715409315,0.0207019057,30335.3983,-0.09267629999999416,-0.19157926000000006,2.8022833063711934,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_402773fb968b1ff22af5/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_402773fb968b1ff22af5/1240ms/restart_snapshot_manifest.json,6cadfc1078911cdde9782a763a80071346198f4a611b580319fb547e11401847,1240
s42r3a_41cb5c4429c357d8466a,p4_q1_a0p400_gap8_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,8,4,18,True,,,0.711665075,0.012924684,30215.8882,-0.08955449999999976,-0.19779611,2.5909560976597037,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_41cb5c4429c357d8466a/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_41cb5c4429c357d8466a/1280ms/restart_snapshot_manifest.json,53146be69185006e8545ea01d6cb4645072a4e19be11e1c1e93898e99191aa98,1280
s42r3a_45429da55042c591b0bc,p4_q1_a0p400_gap2_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.4,2,4,12,True,,,0.717629335,0.0243337587,30416.9968,-0.09096009999999266,-0.18762563000000002,2.961740830997878,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_45429da55042c591b0bc/1220ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_45429da55042c591b0bc/1220ms/restart_snapshot_manifest.json,b8617a5a2500283b5b2639dca2ab4f9ad788200bf460481edcb781f50b1104e3,1220
s42r3a_4dd953d88e9b5622d256,p4_q2_a0p200_gap8_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,2,0.2,8,4,18,True,,,0.712062784,0.0125787249,30226.5869,-0.09290450000000172,-0.20056250000000003,2.5433560751495254,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_4dd953d88e9b5622d256/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_4dd953d88e9b5622d256/1280ms/restart_snapshot_manifest.json,adfd6a5f6cd379bec7424c07cbd7bc715e70d3d783f1b3b431c58729e88b891c,1280
s42r3a_4fb20141109e95e5c570,p4_q1_a0p200_gap8_settle4,minus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.2,8,4,18,True,,,0.71180417,0.0128592062,30217.333,-0.09073310000000667,-0.1986790399999999,2.561149359499884,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_4fb20141109e95e5c570/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_4fb20141109e95e5c570/1280ms/restart_snapshot_manifest.json,b2868d0e240818572ab249daced83ccc14ee7f7aa182220cf372399e2c1ca362,1280
s42r3a_5284192ea1cc661efc6d,p4_q1_a0p200_gap8_settle4,plus_first,4,s41r11_076c2e2752cc8914bcf9,81868c745a90d3fee26bb5ce6683196145c76371f016570dfb2ea32e85f82060,1,0.2,8,4,18,True,,,0.7120765,0.0126198696,30226.2798,-0.09292370000000272,-0.20041516,2.539532880275426,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_5284192ea1cc661efc6d/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3a_runs/stage4_2r3a_delayed_counterpulse_hidden_history_initial_state_20260730_110128/stage4_2r3a_state_generation/snapshots/s42r3a_5284192ea1cc661efc6d/1280ms/restart_snapshot_manifest.json,a4880589a54001fa7390c98fb716e6cf8922d575853140a406b99b9b784a702c,1280
