pair_id,common_prefix_steps,common_prefix_source_experiment_id,common_prefix_action_digest,nullspace_direction_index,amplitude_fraction,gap_steps,settle_steps,pair_members_valid,same_snapshot_clock,plus_first_experiment_id,minus_first_experiment_id,plus_first_snapshot_dir,minus_first_snapshot_dir,plus_first_snapshot_manifest_digest,minus_first_snapshot_manifest_digest,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,accepted,failure_class,selected,centroid_R,centroid_Z,centroid_Ip,centroid_coil_currents_a,centroid_R_difference_m,centroid_Z_difference_m,centroid_Ip_difference_A,centroid_coil_rms_difference_A,different_initial_state_pass
p5_q1_a0p600_gap2_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.6,2,4,True,True,s42r3b_85dea2f69840fd80f396,s42r3b_11af6212fb666bec7b46,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_85dea2f69840fd80f396/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_11af6212fb666bec7b46/1230ms,12ed760ce1c39e6381be50847af71ff15f3c90ad8b1cc0ece5763c49748162b9,e4cc9ed2d9696a4c81adca702d38f5cc3990febdbe90d4a240291c8f07969583,0.00028236100000000874,0.00021011599999999978,1.0460999999995693,0.0009111999999977805,0.005072999999999883,0.0,0.0,0.0,0.242,0.12197702994143335,0.060400202783474514,0.5647220000000175,True,False,False,insufficient_hidden_separation,False,,,,,,,,,
p5_q1_a0p600_gap3_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.6,3,4,True,True,s42r3b_a67d1c0a02fb8c7dd5f3,s42r3b_739c749e8d94ec8a1e2d,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_a67d1c0a02fb8c7dd5f3/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_739c749e8d94ec8a1e2d/1240ms,10aa34aec296b2831977fd66227fe532c084ba6cb50c362dfb3f8b7bb6b99fbd,038f8b173d35a116b49f4b8fc2f1d653fa82276f1d4fcc9b2e2e50925b7a0495,0.00036469000000005636,0.0002905184000000019,2.6247000000003027,0.003018399999987764,0.004034990000000016,0.0,0.0,0.0,0.33399999999999996,0.1168871428629628,0.05498184962917088,0.7293800000001127,True,True,True,,False,,,,,,,,,
p5_q1_a0p600_gap4_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.6,4,4,True,True,s42r3b_35fc1396506981d1d7fb,s42r3b_3676b27ceea1acb88828,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_35fc1396506981d1d7fb/1250ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_3676b27ceea1acb88828/1250ms,5de9efcb2cb210898b32a497f1d05258be11f465015b6a3ae5a4e9ed518d0a38,6cbd845906132c144629a5e21ca9d59cf65e2eff2f8f448885fd25c871f42b20,0.0003930429999999818,0.00040368300000000017,2.750500000001921,0.007425500000002305,0.0068002300000003235,0.0,0.0,0.0,0.27399999999999997,0.13333291666601563,0.059787967355953466,0.8073660000000004,True,True,True,,False,,,,,,,,,
p5_q1_a0p750_gap2_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.75,2,4,True,True,s42r3b_29bad5fe43af373007d4,s42r3b_99ff6d45f05d15b6abc0,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_29bad5fe43af373007d4/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_99ff6d45f05d15b6abc0/1230ms,8e391ce26c84a9d206cfe515c32e2845b9d34e28e4449f3b71c4aa2c2f7ad84b,df71ca5c6c976caad42e0fb916284b60cd359519c6a168590a559c11f45c062e,0.00037995300000004395,0.00029491729999999924,1.0110999999997148,0.0012255000000016558,0.006663250000000037,0.0,0.0,0.0,0.31500000000000006,0.15754542995593365,0.07795183131304961,0.7599060000000879,True,True,True,,False,,,,,,,,,
p5_q1_a0p750_gap3_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.75,3,4,True,True,s42r3b_6fb9a928b4d77dacbf2f,s42r3b_c0989593155fe6769bb1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_6fb9a928b4d77dacbf2f/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_c0989593155fe6769bb1/1240ms,59c400729ba06dea93607d0d34b08bd0030beba8947448524c3792233131a607,7d42f478ce9a480eedc600fdcf60fa926432d35ae3cc22b2f68c0cb9460f61c4,0.0004844689999999874,0.00040832879999999974,3.9025999999976193,0.004752600000001994,0.005456570000000188,0.0,0.0,0.0,0.2849999999999999,0.1329286306005344,0.06251621507256724,0.9689379999999748,True,True,True,,False,,,,,,,,,
p5_q1_a0p750_gap4_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.75,4,4,True,True,s42r3b_cd896036e5931f17e7b6,s42r3b_e8faa109223ec7176dda,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_cd896036e5931f17e7b6/1250ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_e8faa109223ec7176dda/1250ms,fd49328f6e22ad8fa5c197cae2ae9471f83ebabbb19c4e45017de7ae211b5b6d,59375590ad60438e8a785e853bf9366bbdf0692a798fcfc9710edbd2a01c99ef,0.0005453599999999392,0.0005472972999999992,7.908200000001671,0.006339600000004886,0.006667399999999907,0.0,0.0,0.0,0.29700000000000015,0.15083123847532384,0.06879698170544664,1.0945945999999984,False,True,False,invalid_visible_match,False,,,,,,,,,
p5_q1_a0p900_gap2_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.9,2,4,True,True,s42r3b_46ca1104e9f7129c703b,s42r3b_58701a99165df704aa4d,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_46ca1104e9f7129c703b/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_58701a99165df704aa4d/1230ms,4add3b5354fa2a0660cdd9c3f02212989e1f81f76804a8f9f7eba5a2969548b7,0c4141fe324eb930c9929db60c52190e1f745cf7a4c1cc4ff4badcfbb4ab8cf4,0.0004374540000000593,0.0003160320000000008,1.3444000000017695,0.001355299999994397,0.00772988000000005,0.0,0.0,0.0,0.369,0.1828257936762024,0.09044305542997316,0.8749080000001186,True,True,True,,True,0.724315437,0.0187537664,30473.7712,"[-84.0833375,-107.85417083333333,-102.31250416666667,-70.87500416666667,-86.47917083333333,-88.18750416666667,-70.8333375,-63.250002083333335,-6.88,7.89,-78.69,-124.90001000000001,-78.08,-67.66]",0.01928477900000003,0.0025172050000000015,812.6347000000023,8.28148766355582,True
p5_q1_a0p900_gap3_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.9,3,4,True,True,s42r3b_167e23b0b714fdc6ef50,s42r3b_19635f173adeadaeeb9c,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_167e23b0b714fdc6ef50/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_19635f173adeadaeeb9c/1240ms,81b98910677ce1171af23e6068ec319b0c81c0bebeebed8be52bcd92831a01ab,f5ee21458f7bddea872906f4d638e0e6679bd45f65228dbea29bf490bcbf71ba,0.0005569760000000423,0.0004419656000000001,4.677100000000792,0.005587499999992751,0.006668079999999993,0.0,0.0,0.0,0.32999999999999985,0.15756023980264397,0.07409614720016834,1.1139520000000847,False,True,False,invalid_visible_match,False,,,,,,,,,
p5_q1_a0p900_gap4_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.9,4,4,True,True,s42r3b_f92de8af77973ef03abb,s42r3b_514aefa1fa47a05db026,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_f92de8af77973ef03abb/1250ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_514aefa1fa47a05db026/1250ms,fc9267bc6f838a37f4fe5497f40309b63cdf8a1d7b5c50a10fe380326aa9a6a8,6ca3ed40465576f4c2f5c00be43087a385f3e52d8dba62b1d651b8ad00346c25,0.0006381699999999935,0.0005859739999999995,8.532600000002276,0.006329599999999047,0.0076205299999999865,0.0,0.0,0.0,0.3660000000000002,0.18228497606769464,0.08318714868983869,1.276339999999987,False,True,False,invalid_visible_match,False,,,,,,,,,
p5_q2_a0p600_gap2_settle4,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.6,2,4,True,True,s42r3b_7bb447e00ac2339f0547,s42r3b_12899c88e5bfdeb4a961,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_7bb447e00ac2339f0547/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_12899c88e5bfdeb4a961/1230ms,6b00f99b4d0dfd5c5f2241110184e71dfa02dd8313e167f6e0e1572b32d55c86,6a054f018b3a327fbc6ca903a4645020a6488b739405009ff770f38814a18516,0.00026271399999999723,0.00032318630000000015,2.1942999999992026,0.0004893999999922016,0.005809650000000027,0.0,0.0,0.0,0.266,0.1391554137167026,0.06892098421274766,0.6463726000000003,True,True,True,,False,,,,,,,,,
