experiment_id,pair_id,history_order,common_prefix_steps,common_prefix_source_experiment_id,common_prefix_action_digest,nullspace_direction_index,amplitude_fraction,gap_steps,settle_steps,horizon_steps,success,failure_reason,failure_class,R,Z,Ip,vR_m_per_s,vZ_m_per_s,wire_rms_a,snapshot_dir,snapshot_manifest_path,snapshot_manifest_digest,snapshot_time_ms
s42r3b_011754f9dbf090331ce7,p9_q2_a0p750_gap4_settle4,minus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.75,4,4,19,True,,,0.728066202,0.0167427204,30266.76,0.01631200000000721,-0.1262820599999999,1.1268022046185981,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_011754f9dbf090331ce7/1290ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_011754f9dbf090331ce7/1290ms/restart_snapshot_manifest.json,7dd300d57769ec93d2ea0830820ef0f738a4c793951b7addfa7ddf53e147e654,1290
s42r3b_03abcc6378f04ba5be30,p9_q1_a0p750_gap2_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,1,0.75,2,4,17,True,,,0.72824242,0.0187859973,30315.1844,0.029083299999999035,-0.13412045000000017,1.0283980665740935,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_03abcc6378f04ba5be30/1270ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_03abcc6378f04ba5be30/1270ms/restart_snapshot_manifest.json,1edbbc2b7a2d31c7dcdf8e3bbade06e2a55ee91c33bedfa9d13fa0681fa7d910,1270
s42r3b_05c37541fe91137178e5,p9_q1_a0p750_gap3_settle4,minus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,1,0.75,3,4,18,True,,,0.72790789,0.0178881119,30290.0166,0.023186900000005117,-0.12769450999999993,1.0993110058122768,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_05c37541fe91137178e5/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_05c37541fe91137178e5/1280ms/restart_snapshot_manifest.json,f5702ef75db7170713b30abc00f438f52218190c703ecb8241c59d50a15bea1d,1280
s42r3b_0cf5889ed9b52e58e7eb,p5_q2_a0p750_gap2_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.75,2,4,13,True,,,0.724167971,0.0189384784,30473.1111,0.003050599999998571,-0.24554897999999983,2.0160121734090133,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_0cf5889ed9b52e58e7eb/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_0cf5889ed9b52e58e7eb/1230ms/restart_snapshot_manifest.json,a2f8489413e59ac78104907ddc1a3e7246bdbeb4a91316dc00cc0b0815e75743,1230
s42r3b_10c912394afb2b577413,p9_q2_a0p600_gap3_settle4,minus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,2,0.6,3,4,18,True,,,0.728000632,0.0179048706,30289.5198,0.022584800000002847,-0.12807307999999976,1.088331951887842,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_10c912394afb2b577413/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_10c912394afb2b577413/1280ms/restart_snapshot_manifest.json,13528d47c124a4418be674da460edf607dbafe73ca979592ff17ff040f2843f1,1280
s42r3b_11af6212fb666bec7b46,p5_q1_a0p600_gap2_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.6,2,4,13,True,,,0.724179479,0.0188800728,30473.0042,0.003105000000003244,-0.24664058999999994,2.0200700637601656,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_11af6212fb666bec7b46/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_11af6212fb666bec7b46/1230ms/restart_snapshot_manifest.json,e4cc9ed2d9696a4c81adca702d38f5cc3990febdbe90d4a240291c8f07969583,1230
s42r3b_12899c88e5bfdeb4a961,p5_q2_a0p600_gap2_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,2,0.6,2,4,13,True,,,0.724183852,0.0189235522,30472.412,0.002840999999997873,-0.24631953999999998,2.016316799885375,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_12899c88e5bfdeb4a961/1230ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_12899c88e5bfdeb4a961/1230ms/restart_snapshot_manifest.json,6a054f018b3a327fbc6ca903a4645020a6488b739405009ff770f38814a18516,1230
s42r3b_160a6cad518c33a4bcb5,p9_q1_a0p750_gap3_settle4,plus_first,9,s41r11_076c2e2752cc8914bcf9,20847e482d2e619a8b5d66aa0235a4bbe6f937bf6b9117f85ab0116dfd1f8f0f,1,0.75,3,4,18,True,,,0.72852288,0.0174152136,30291.6556,0.020105500000000553,-0.13299675999999988,1.0903702830537279,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_160a6cad518c33a4bcb5/1280ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_160a6cad518c33a4bcb5/1280ms/restart_snapshot_manifest.json,9d40968fe384f5da1fe8c0c31d22d69ece8043566c963988eeda602855016020,1280
s42r3b_167e23b0b714fdc6ef50,p5_q1_a0p900_gap3_settle4,plus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.9,3,4,14,True,,,0.724548865,0.0161156481,30434.9581,-0.007698299999991942,-0.24449101999999973,2.0938980843154713,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_167e23b0b714fdc6ef50/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_167e23b0b714fdc6ef50/1240ms/restart_snapshot_manifest.json,81b98910677ce1171af23e6068ec319b0c81c0bebeebed8be52bcd92831a01ab,1240
s42r3b_19635f173adeadaeeb9c,p5_q1_a0p900_gap3_settle4,minus_first,5,s41r11_076c2e2752cc8914bcf9,6abb946a40dfb78554f0bff835e466d3d6261b2fde2597febd233b94eedb454d,1,0.9,3,4,14,True,,,0.723991889,0.0165576137,30430.281,-0.002110799999999191,-0.23782293999999973,2.1589610927480836,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_19635f173adeadaeeb9c/1240ms,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage4_2r3b_runs/stage4_2r3b_confirmatory_hidden_history_initial_state_20260730_115526/stage4_2r3b_state_generation/snapshots/s42r3b_19635f173adeadaeeb9c/1240ms/restart_snapshot_manifest.json,f5ee21458f7bddea872906f4d638e0e6679bd45f65228dbea29bf490bcbf71ba,1240
