pair_id,target_id,actual_delay_steps,actual_slew_scale,member_count,plus_first_pass,minus_first_pass,both_members_pass,history_sensitive_outcome,history_assessment_status,same_trajectory_length,maximum_action_abs_difference,maximum_R_abs_difference_m,maximum_Z_abs_difference_m,maximum_Ip_abs_difference_A,maximum_coil_abs_difference_A,maximum_wire_abs_difference_A
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.006269296631217003,0.0004374540000000593,0.0003515154000000003,7.046599999997852,0.10000000000000853,0.488
p5_q1_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.005761805921792984,0.0004374540000000593,0.0004282565000000016,3.0262999999977183,0.10000000000000853,0.47000000000000003
p5_q1_a0p900_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.0010254699736833572,0.0004374540000000593,0.0003484824000000025,7.447600000003149,0.010000000000005116,0.369
p5_q1_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.00553852244047448,0.0004374540000000593,0.00036256739999999954,5.305200000002515,0.10000000000000853,0.49500000000000005
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,0,1.0,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.00795610249042511,0.00039006399999996777,0.0005094573999999998,2.6798999999991793,0.10000000000000853,0.45599999999999996
p5_q2_a0p900_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.0058763641864061356,0.00039006399999996777,0.0005858229000000013,4.5054999999993015,0.10000000000000853,0.475
p5_q2_a0p900_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.0011118296533823013,0.00039006399999996777,0.0005100168899999993,7.202099999998609,0.020833333333342807,0.401
p5_q2_a0p900_gap2_settle4,nominal,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.008310362696647644,0.00039006399999996777,0.0005960172,4.468799999998737,0.10000000000000853,0.5330000000000001
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.019317613914608955,0.00046502799999992295,0.000673572439999999,8.19210000000021,0.125,0.6210000000000001
p9_q1_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.5782424360513687,0.0005627139999999642,0.0030026525100000003,96.65200000000186,0.9375,8.329
p9_q1_a0p750_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.5226262211799622,0.00348763299999999,0.00726442834,168.28470000000016,1.5208333333333286,8.559999999999999
p9_q1_a0p750_gap2_settle4,nominal,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.01424618810415268,0.00046502799999992295,0.0005293985000000001,4.887599999998201,0.20000000000000284,0.548
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.019549494609236717,0.0004513839999999991,0.0006374500299999994,3.764999999999418,0.125,0.6230000000000001
p9_q2_a0p750_gap2_settle4,RZ_p10_m10,2,0.9,2,False,False,False,False,masked_by_common_mode_both_fail,True,0.5782424360513687,0.0005291500000000893,0.0028661893,96.22190000000046,0.9375,8.333
p9_q2_a0p750_gap2_settle4,nominal,0,1.0,2,True,True,True,False,both_pass_development_pair_success,True,0.5226262211799622,0.0034643939999999818,0.007363702729999999,167.77839999999924,1.5208333333333286,8.557
p9_q2_a0p750_gap2_settle4,nominal,2,0.9,2,True,True,True,False,both_pass_development_pair_success,True,0.014076940715312958,0.0003814429999999813,0.0006153278199999999,3.943699999999808,0.20000000000000284,0.5369999999999999
