pair_id,history_member,target_id,actual_delay_steps,actual_slew_scale,controller_use_start_state,controller_use_end_state,basis_count,velocity_response_matrix_rank,response_velocity_condition_number,condition_number_pass
p5_q1_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,3,35,6,6,16.860788703296507,True
p5_q1_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,3,37,6,6,28.32327358702273,False
p5_q1_a0p900_gap2_settle4,minus_first,nominal,0,1.0,3,35,6,6,9.34684966154371,True
p5_q1_a0p900_gap2_settle4,minus_first,nominal,2,0.9,3,37,6,6,11.339549312299203,True
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,3,35,6,6,9.663109859089476,True
p5_q1_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,3,37,6,6,23.019391819727097,True
p5_q1_a0p900_gap2_settle4,plus_first,nominal,0,1.0,3,35,6,6,9.49484245702423,True
p5_q1_a0p900_gap2_settle4,plus_first,nominal,2,0.9,3,37,6,6,18.283183819966247,True
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,3,35,6,6,13.261145914630031,True
p5_q2_a0p900_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,3,37,6,6,27.536976129882593,False
p5_q2_a0p900_gap2_settle4,minus_first,nominal,0,1.0,3,35,6,6,16.378603291553077,True
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,3,37,6,6,37.21473908260274,False
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,3,35,6,6,22.904766987276876,True
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,3,37,6,6,24.801558779297125,True
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,3,35,6,6,9.197956895580177,True
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,3,37,6,6,17.86847860690679,True
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,3,35,6,6,38.915075074241074,False
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,3,37,6,6,7.426751954243549,True
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,3,35,6,6,30.828025582671724,False
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,3,37,6,6,20.448233697346215,True
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,3,35,6,6,23.943504081961656,True
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,3,37,6,6,15.251493993155826,True
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,3,35,6,6,14.328046013210173,True
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,3,37,6,6,12.282090923580089,True
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,3,35,6,6,37.628534484925936,False
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,3,37,6,6,6.030511171074643,True
p9_q2_a0p750_gap2_settle4,minus_first,nominal,0,1.0,3,35,6,6,23.868779717969158,True
p9_q2_a0p750_gap2_settle4,minus_first,nominal,2,0.9,3,37,6,6,22.24518327642765,True
p9_q2_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,3,35,6,6,28.487493962194637,False
p9_q2_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,3,37,6,6,10.33635655516292,True
p9_q2_a0p750_gap2_settle4,plus_first,nominal,0,1.0,3,35,6,6,11.28381785353849,True
p9_q2_a0p750_gap2_settle4,plus_first,nominal,2,0.9,3,37,6,6,18.370736453675015,True
