output_step,time_ms_from_start,rank_weighted_RZI,sigma_1,sigma_2,sigma_3,condition_nonzero
1,10,3,0.0016191720093083103,8.889053065926636e-05,3.892940426321738e-05,41.59251958649139
2,20,3,0.0023296540365589364,0.000608505126189649,0.0005528991014395126,4.213524729003021
3,30,3,0.0031284053751146654,0.002455253548004316,0.0023784381144377627,1.3153192240421974
4,40,3,0.006769641780423971,0.005530975504684811,0.003080032816632842,2.1979122247874905
5,50,3,0.010901203832076031,0.009900402601683006,0.0033157404075747736,3.2877132984151434
6,60,3,0.01791302763249263,0.01532008538694308,0.003578329175289006,5.0059753463139325
7,70,3,0.023554139465107878,0.021003422863701226,0.0037165192702706407,6.337687968826983
8,80,3,0.03261131493792003,0.028085869468205276,0.0039035981743829893,8.354167996062925
9,90,3,0.044424725147775304,0.03623737562544368,0.003966332594783447,11.200453841466313
10,100,3,0.05217359309279009,0.04059771530447376,0.004000389492902196,13.04212831909507
