step_index,delta_a_tsc_CS1U,action_norm_tsc_CS1U,delta_a_tsc_CS2U,action_norm_tsc_CS2U,delta_a_tsc_CS3U,action_norm_tsc_CS3U,delta_a_tsc_CS1L,action_norm_tsc_CS1L,delta_a_tsc_CS2L,action_norm_tsc_CS2L,delta_a_tsc_CS3L,action_norm_tsc_CS3L,delta_a_tsc_CS4U,action_norm_tsc_CS4U,delta_a_tsc_CS4L,action_norm_tsc_CS4L,delta_a_tsc_PF2U,action_norm_tsc_PF2U,delta_a_tsc_PF2L,action_norm_tsc_PF2L,delta_a_tsc_PF3U,action_norm_tsc_PF3U,delta_a_tsc_PF3L,action_norm_tsc_PF3L,delta_a_tsc_PF4U,action_norm_tsc_PF4U,delta_a_tsc_PF4L,action_norm_tsc_PF4L,delta_a_display_CS1U,action_norm_display_CS1U,delta_a_display_CS1L,action_norm_display_CS1L,delta_a_display_CS2U,action_norm_display_CS2U,delta_a_display_CS2L,action_norm_display_CS2L,delta_a_display_CS3U,action_norm_display_CS3U,delta_a_display_CS3L,action_norm_display_CS3L,delta_a_display_CS4U,action_norm_display_CS4U,delta_a_display_CS4L,action_norm_display_CS4L,delta_a_display_PF2U,action_norm_display_PF2U,delta_a_display_PF2L,action_norm_display_PF2L,delta_a_display_PF3U,action_norm_display_PF3U,delta_a_display_PF3L,action_norm_display_PF3L,delta_a_display_PF4U,action_norm_display_PF4U,delta_a_display_PF4L,action_norm_display_PF4L
0,-3.000000000000001,-1.0000000000000002,-3.0,-1.0,-3.0000000000000004,-1.0000000000000002,0.35716835099119365,0.11905611699706455,2.980603778758696,0.9935345929195654,2.351630881115292,0.783876960371764,-1.8235267734400347,-0.6078422578133449,1.4488160181778043,0.48293867272593477,-3.0000000000000004,-1.0000000000000002,3.0,1.0,-1.9347264666036537,-0.6449088222012179,3.0,1.0,1.4730292118214428,0.49100973727381425,3.0,1.0,-3.000000000000001,-1.0000000000000002,0.35716835099119365,0.11905611699706455,-3.0,-1.0,2.980603778758696,0.9935345929195654,-3.0000000000000004,-1.0000000000000002,2.351630881115292,0.783876960371764,-1.8235267734400347,-0.6078422578133449,1.4488160181778043,0.48293867272593477,-3.0000000000000004,-1.0000000000000002,3.0,1.0,-1.9347264666036537,-0.6449088222012179,3.0,1.0,1.4730292118214428,0.49100973727381425,3.0,1.0
1,-2.999999999999999,-0.9999999999999997,-3.0000000000000013,-1.0000000000000004,-2.917630477063035,-0.9725434923543449,0.1078577036497511,0.035952567883250366,2.188505767195188,0.729501922398396,1.7525871969812266,0.5841957323270756,-1.4233534972229633,-0.4744511657409878,1.078181296561662,0.35939376552055396,-2.2869624216072815,-0.7623208072024271,2.5647187468671255,0.8549062489557085,-1.3275521475032714,-0.44251738250109046,3.0,1.0,1.3439612466300295,0.4479870822100098,3.0000000000000004,1.0000000000000002,-2.999999999999999,-0.9999999999999997,0.1078577036497511,0.035952567883250366,-3.0000000000000013,-1.0000000000000004,2.188505767195188,0.729501922398396,-2.917630477063035,-0.9725434923543449,1.7525871969812266,0.5841957323270756,-1.4233534972229633,-0.4744511657409878,1.078181296561662,0.35939376552055396,-2.2869624216072815,-0.7623208072024271,2.5647187468671255,0.8549062489557085,-1.3275521475032714,-0.44251738250109046,3.0,1.0,1.3439612466300295,0.4479870822100098,3.0000000000000004,1.0000000000000002
2,-3.0,-1.0,-3.0,-1.0,-2.0900967943770308,-0.6966989314590103,-0.15059383041266636,-0.05019794347088879,1.4951837272592041,0.49839457575306806,1.1964967302985647,0.3988322434328549,-0.9663320549277427,-0.3221106849759142,0.7349506338245474,0.24498354460818247,-1.5790925710624426,-0.5263641903541475,1.7531744353418264,0.5843914784472755,-0.649717317560416,-0.21657243918680533,2.3673457704612386,0.7891152568204128,1.1915837551850554,0.39719458506168515,3.0,1.0,-3.0,-1.0,-0.15059383041266636,-0.05019794347088879,-3.0,-1.0,1.4951837272592041,0.49839457575306806,-2.0900967943770308,-0.6966989314590103,1.1964967302985647,0.3988322434328549,-0.9663320549277427,-0.3221106849759142,0.7349506338245474,0.24498354460818247,-1.5790925710624426,-0.5263641903541475,1.7531744353418264,0.5843914784472755,-0.649717317560416,-0.21657243918680533,2.3673457704612386,0.7891152568204128,1.1915837551850554,0.39719458506168515,3.0,1.0
3,-2.4723037244919124,-0.8241012414973041,-2.6191580980586355,-0.8730526993528785,-1.3021023176958744,-0.4340341058986248,-0.260892581447845,-0.08696419381594833,0.8741745317521074,0.2913915105840358,0.6864588077032645,0.22881960256775483,-0.5639056562116643,-0.18796855207055477,0.420583087726764,0.140194362575588,-0.9055057094640466,-0.3018352364880155,1.0120251888643006,0.33734172962143355,-0.29690075182685494,-0.09896691727561831,1.3994092102389852,0.4664697367463284,0.9714466651342513,0.3238155550447504,2.3276825190721326,0.7758941730240442,-2.4723037244919124,-0.8241012414973041,-0.260892581447845,-0.08696419381594833,-2.6191580980586355,-0.8730526993528785,0.8741745317521074,0.2913915105840358,-1.3021023176958744,-0.4340341058986248,0.6864588077032645,0.22881960256775483,-0.5639056562116643,-0.18796855207055477,0.420583087726764,0.140194362575588,-0.9055057094640466,-0.3018352364880155,1.0120251888643006,0.33734172962143355,-0.29690075182685494,-0.09896691727561831,1.3994092102389852,0.4664697367463284,0.9714466651342513,0.3238155550447504,2.3276825190721326,0.7758941730240442
4,-1.4540430349496969,-0.48468101164989896,-1.4041903800818607,-0.4680634600272869,-0.5959704192105097,-0.19865680640350325,-0.32816897407797646,-0.10938965802599215,0.32389575444760843,0.10796525148253615,0.2530436354872813,0.08434787849576043,-0.2213661588906143,-0.07378871963020477,0.16308346939956872,0.054361156466522904,-0.3382516215997856,-0.11275054053326188,0.40784493540638794,0.13594831180212932,0.010241499608891143,0.0034138332029637146,0.6132189816159381,0.2044063272053127,0.6655845196331083,0.22186150654436942,1.2069680611501235,0.40232268705004115,-1.4540430349496969,-0.48468101164989896,-0.32816897407797646,-0.10938965802599215,-1.4041903800818607,-0.4680634600272869,0.32389575444760843,0.10796525148253615,-0.5959704192105097,-0.19865680640350325,0.2530436354872813,0.08434787849576043,-0.2213661588906143,-0.07378871963020477,0.16308346939956872,0.054361156466522904,-0.3382516215997856,-0.11275054053326188,0.40784493540638794,0.13594831180212932,0.010241499608891143,0.0034138332029637146,0.6132189816159381,0.2044063272053127,0.6655845196331083,0.22186150654436942,1.2069680611501235,0.40232268705004115
5,-0.6462208344430954,-0.21540694481436515,-0.5449684301833334,-0.18165614339444447,-0.13462300331867516,-0.044874334439558385,-0.32783724434377826,-0.10927908144792609,-0.013511570771334558,-0.0045038569237781855,-0.021902256442056522,-0.007300752147352174,-0.021108170763250077,-0.007036056921083359,-0.0019000919240718453,-0.0006333639746906151,-0.0005465040510147973,-0.00018216801700493242,0.031075255079296024,0.010358418359765342,0.15040438462336575,0.05013479487445525,0.1273193897382449,0.04243979657941496,0.372629170828611,0.12420972360953701,0.4354622957135035,0.14515409857116782,-0.6462208344430954,-0.21540694481436515,-0.32783724434377826,-0.10927908144792609,-0.5449684301833334,-0.18165614339444447,-0.013511570771334558,-0.0045038569237781855,-0.13462300331867516,-0.044874334439558385,-0.021902256442056522,-0.007300752147352174,-0.021108170763250077,-0.007036056921083359,-0.0019000919240718453,-0.0006333639746906151,-0.0005465040510147973,-0.00018216801700493242,0.031075255079296024,0.010358418359765342,0.15040438462336575,0.05013479487445525,0.1273193897382449,0.04243979657941496,0.372629170828611,0.12420972360953701,0.4354622957135035,0.14515409857116782
6,-0.19713239216462256,-0.06571079738820752,-0.17188744626925495,-0.057295815423084984,0.017743650482235942,0.005914550160745314,-0.21821603510139143,-0.07273867836713048,-0.15559610022737375,-0.05186536674245792,-0.09730967721096695,-0.032436559070322314,0.03788331538805368,0.012627771796017893,-0.0483677732655232,-0.016122591088507734,0.11121193421213266,0.037070644737377555,-0.0854939484934928,-0.028497982831164267,0.13354850198546533,0.04451616732848845,-0.04188171120613032,-0.01396057040204344,0.154332412209582,0.051444137403194,0.11184048193423164,0.03728016064474388,-0.19713239216462256,-0.06571079738820752,-0.21821603510139143,-0.07273867836713048,-0.17188744626925495,-0.057295815423084984,-0.15559610022737375,-0.05186536674245792,0.017743650482235942,0.005914550160745314,-0.09730967721096695,-0.032436559070322314,0.03788331538805368,0.012627771796017893,-0.0483677732655232,-0.016122591088507734,0.11121193421213266,0.037070644737377555,-0.0854939484934928,-0.028497982831164267,0.13354850198546533,0.04451616732848845,-0.04188171120613032,-0.01396057040204344,0.154332412209582,0.051444137403194,0.11184048193423164,0.03728016064474388
7,-0.05376986219792285,-0.017923287399307618,-0.03584240482887071,-0.011947468276290236,0.06775787579364269,0.022585958597880897,-0.06919905717832536,-0.02306635239277512,-0.12535418004944812,-0.04178472668314937,-0.08223863492076211,-0.027412878306920702,0.052729352720616546,0.017576450906872182,-0.04759150363924447,-0.015863834546414823,0.10071344297604848,0.033571147658682826,-0.09897758521848893,-0.03299252840616298,0.09291286303542352,0.030970954345141175,-0.09664895117639963,-0.032216317058799876,0.013810604420813827,0.004603534806937942,-0.03713631078446947,-0.012378770261489822,-0.05376986219792285,-0.017923287399307618,-0.06919905717832536,-0.02306635239277512,-0.03584240482887071,-0.011947468276290236,-0.12535418004944812,-0.04178472668314937,0.06775787579364269,0.022585958597880897,-0.08223863492076211,-0.027412878306920702,0.052729352720616546,0.017576450906872182,-0.04759150363924447,-0.015863834546414823,0.10071344297604848,0.033571147658682826,-0.09897758521848893,-0.03299252840616298,0.09291286303542352,0.030970954345141175,-0.09664895117639963,-0.032216317058799876,0.013810604420813827,0.004603534806937942,-0.03713631078446947,-0.012378770261489822
8,0.14058354707863013,0.046861182359543375,0.12515277578924858,0.041717591929749526,0.12412820149127672,0.041376067163758905,0.022207149750358167,0.007402383250119389,-0.10755341520422133,-0.035851138401407114,-0.08394619585106015,-0.027982065283686717,0.06913608227986316,0.02304536075995439,-0.05196968498698628,-0.017323228328995428,0.11351862879488968,0.037839542931629895,-0.11779322597014277,-0.03926440865671426,0.06774369818966017,0.022581232729886724,-0.13963911444357718,-0.046546371481192395,-0.060784463664828654,-0.020261487888276218,-0.14399010279186056,-0.04799670093062019,0.14058354707863013,0.046861182359543375,0.022207149750358167,0.007402383250119389,0.12515277578924858,0.041717591929749526,-0.10755341520422133,-0.035851138401407114,0.12412820149127672,0.041376067163758905,-0.08394619585106015,-0.027982065283686717,0.06913608227986316,0.02304536075995439,-0.05196968498698628,-0.017323228328995428,0.11351862879488968,0.037839542931629895,-0.11779322597014277,-0.03926440865671426,0.06774369818966017,0.022581232729886724,-0.13963911444357718,-0.046546371481192395,-0.060784463664828654,-0.020261487888276218,-0.14399010279186056,-0.04799670093062019
9,0.12989274171580795,0.04329758057193598,0.11770879632281193,0.039236265440937314,0.08935720755522916,0.029785735851743055,0.03048986806000172,0.010163289353333906,-0.06495635914789949,-0.021652119715966495,-0.053129852500267076,-0.017709950833422358,0.04506334068206816,0.015021113560689386,-0.03353904817044129,-0.01117968272348043,0.07304844120027418,0.024349480400091394,-0.07741105633277813,-0.025803685444259376,0.03706466310356404,0.012354887701188012,-0.09441114859798405,-0.031470382865994684,-0.05361564957184933,-0.017871883190616444,-0.1160399120410686,-0.0386799706803562,0.12989274171580795,0.04329758057193598,0.03048986806000172,0.010163289353333906,0.11770879632281193,0.039236265440937314,-0.06495635914789949,-0.021652119715966495,0.08935720755522916,0.029785735851743055,-0.053129852500267076,-0.017709950833422358,0.04506334068206816,0.015021113560689386,-0.03353904817044129,-0.01117968272348043,0.07304844120027418,0.024349480400091394,-0.07741105633277813,-0.025803685444259376,0.03706466310356404,0.012354887701188012,-0.09441114859798405,-0.031470382865994684,-0.05361564957184933,-0.017871883190616444,-0.1160399120410686,-0.0386799706803562
