stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_1_tube_window_steps,stage2_1_tube_excess_mean,stage2_1_tube_excess_max,stage2_1_tube_excess_terminal,stage2_1_late_position_core,stage2_1_terminal_position_core,stage2_1_velocity_excess,stage2_1_velocity_core,stage2_1_streak_deficit,stage2_1_continuous_objective,generation_rank
Stage2.1,0,s21g000_bc460db25d98c5d6,12,tail_fd_n2_m0_m,sensitivity,2.947634467971685,3.552463961928325,0.02413869317962713,0.09482257246376062,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.34590544639889226,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",s21g000_bc460db25d98c5d6,,,,,True,,11,-0.027432235000000027,0.0307246956,703.5482000000011,0.04118900868930795,0.0307246956,1.372966956310265,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02749683276368831,0.03146335468083538,0.04178538619908028,0.0180327583161952,0.6494770436362003,0.08613681917501839,0.0962689559398611,0.4143,741.5393869876862,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5256365887566716,13.814277451386014,1000013.8142774514,0.003131814746717475,0.0,1.0,0.46423275701462735,0.2510738098680628,0.06666684661029114,5,0.005902939772886524,0.016987439877562724,0.0005835374585104032,1.9400205553403207,1.8850382631198732,0.0,0.9592892250241223,1.0,13.814277451386014,1
Stage2.1,0,s21g000_b132bc63fc9d730f,94,bridge_p04_d01,bridge,2.931166510472984,3.449938977739613,0.022159881517079705,0.0878447367239796,"[2.3162078790035796,1.2618126628306212,0.523612146605626,1.092369958677923,1.9633976550329215,0.13919663031774104,-0.1484837622299487,1.8673700139483134,-0.3710057436037711,-1.0011768284844447,-1.0736938982850703,0.06689178986852974,-0.20747985549833098,-0.5224818444999532,0.08801181003070283]",s21g000_b132bc63fc9d730f,,,,,True,,11,-0.02647319199999998,0.0312243631,739.6904000000031,0.040936423215389796,0.0312243631,1.3645474405129931,0.5817437020072838,0.7819377724530898,0.02345813317359269,1,0.6279785305916825,0.0,-0.34412761110269746,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02682467482138863,0.0318593102935729,0.04164827525426955,0.00904696686837928,0.649063703699074,0.08092621217521205,0.09234012950713881,0.4133,804.3472130298615,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5285455518721017,13.967066836471748,1000013.9670668364,0.004474584313511217,0.0,1.0,0.45551209871242315,0.22803530251921988,0.03940996035316231,5,0.007391239362950848,0.01905785956070937,0.001665627778490679,1.9273098129504458,1.8619897174105606,0.0,0.8608547126912719,1.0,13.967066836471748,2
Stage2.1,0,s21g000_41b21f8866670d0d,97,bridge_p04_d00,bridge,2.921499890814294,3.4600242308004163,0.02462595389384881,0.08921012565887983,"[2.3162078790035796,1.2618126628306212,0.523612146605626,1.092369958677923,1.9633976550329215,0.13919663031774104,-0.2843300584504425,2.205638104583539,-0.30402582603334816,-0.7714734486310832,-1.266807534131222,0.16111275174503706,-0.3308684411859984,-0.22136060442150407,0.025380663426283263]",s21g000_41b21f8866670d0d,,,,,True,,11,-0.026147143999999956,0.031237184,715.5610000000015,0.04073616088448431,0.031237184,1.3578720294828104,0.5817437020072838,0.7819377724530898,0.02345813317359269,1,0.6279785305916825,0.0,-0.34412761110269746,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026528249068087456,0.03194514893527324,0.04152397547339696,0.006410278927386867,0.649063703699074,0.07972040696427458,0.09155584054607932,0.4133,793.1553385257721,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5308519225630897,13.9697280059492,1000013.9697280059,0.004855458885320957,0.0,1.0,0.4561548636352656,0.24248297245505754,0.08032850487532163,5,0.007760774261773654,0.01938203576758444,0.0017006936109511175,1.9158228212391912,1.8438164484517663,0.0,0.8423563614026001,1.0,13.9697280059492,3
Stage2.1,0,s21g000_3906497bb570db70,128,bridge_p11_d04,bridge,3.0099481864553383,3.716705399369527,0.04717230469460745,0.0983615224455296,"[2.4491041843252,1.142161724532753,0.39072470749461113,1.0802778748951956,2.1397544461013247,0.03556457804887966,-0.13739409616845533,1.694306683631132,-0.41895850140126983,-0.8941377787379534,-1.0013049467278237,0.03445405672365444,-0.027347602261906773,-0.32127170067571487,0.14210747552468936]",s21g000_3906497bb570db70,,,,,True,,11,-0.027597513000000018,0.0311811449,827.0411000000022,0.04163996302904178,0.0311811449,1.3879987676347258,0.5817437020072838,0.7819261657521556,0.023457784972564663,1,0.6279784762570142,0.0,-0.3441076595314227,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027627470765614195,0.03194939164280598,0.04223790675744085,0.019278042221439747,0.6498391949378953,0.07974975979416414,0.0881912498334672,0.4154,795.0504243373871,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5204430615095191,14.102569212144724,1000014.1025692121,0.004913028717112212,0.0,1.0,0.44078645388385734,0.22616817608195416,0.04808625424766902,5,0.00785405634855999,0.019618166874351098,0.001550114749773345,1.9822675191669643,1.926540578955518,0.0,0.814933945908064,1.0,14.102569212144724,4
Stage2.1,0,s21g000_da67dacaffbb3bb2,61,damped_parent_01,damped_tail,2.920729725722084,3.4300149152290347,0.017788355972763126,0.08754869354729404,"[2.262448098066158,1.3153764120015714,0.5273739995583907,1.1656659384422765,1.8886317047274135,-0.022166534434581806,-0.11284241876061234,1.9664436618097954,-0.3187250003178804,-1.1028392978295603,-1.155300239857541,0.10921140347182208,0.01339579395553217,-0.2798245058943573,0.12295023863535061]",s21g000_da67dacaffbb3bb2,,,,,True,,11,-0.026580755999999983,0.0311721553,743.4625000000015,0.04096632587356173,0.0311721553,1.365544195785391,0.5817437020072838,0.7819666303139765,0.023458998909419295,1,0.6280335814122392,0.0,-0.3441772169012426,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026852033714024545,0.03184218801803092,0.04165281085778897,0.004605001437614851,0.6491485105651759,0.08135981663511946,0.09425159264099833,0.41265,798.8503918647766,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5282011705095232,14.12617642717558,1000014.1261764271,0.004454114195146785,0.0,1.0,0.45425627168794475,0.23969595939095653,0.04159089067924921,5,0.007506767626859842,0.01971738135371207,0.001526608941464549,1.9277296137274917,1.8647109506431705,0.0,0.8904568753605124,1.0,14.12617642717558,5
Stage2.1,0,s21g000_2197fac5d6f21ffe,163,random_tail_0075,random_tail,3.0202049376327453,3.7260324053306437,0.038353626041023756,0.10033347824059095,"[2.339489369009755,1.3224142396384448,0.5833157532896533,1.1718787476784842,1.7979022511991183,0.08454061143123859,-0.7264261740094098,2.6,-0.04732999238986907,-0.3930538513632476,-1.872722259570063,0.04789347590291447,-0.7151683508122887,-0.03907420529650357,0.009426497112355117]",s21g000_2197fac5d6f21ffe,,,,,True,,11,-0.026831335999999983,0.0318084411,711.9383000000016,0.04161366983044231,0.0318084411,1.3871223276814102,0.5817437020072838,0.7819390617464997,0.02345817185239499,1,0.6279709924228826,0.0,-0.3441298273594536,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026752042878515223,0.03220401430029139,0.041866100071863505,0.046341294629113745,0.648916908904872,0.07720865345434749,0.08163128293014897,0.4127,764.8900644779205,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5207458736377308,14.262438216260469,1000014.2624382162,0.005761997837080277,0.0,1.0,0.48309734458275116,0.29724223304319525,0.11035213690692286,5,0.008302775379219748,0.018465885547777637,0.003633843569076909,1.9475225946969883,1.9241083519522937,0.0,0.8811181940724356,1.0,14.262438216260469,6
Stage2.1,0,s21g000_06dab50010f52670,66,precise_parent_10,precise_tail,2.9733212756924057,3.491248870115529,0.009210505578117738,0.08900807439327882,"[2.286852234287113,1.3446590934429765,0.566565825370214,1.2697561619254698,1.8222570503860578,0.13733494162032833,-0.5742414270582938,2.6,-0.2861784328974173,-0.6167242063069827,-1.752501518062692,0.1061910121949251,-0.3885026135677266,-0.33678778357630684,-0.02827585625276085]",s21g000_06dab50010f52670,,,,,True,,11,-0.027038346999999963,0.0310916042,712.3947000000007,0.04120388404291354,0.0310916042,1.3734628014304513,0.5817437020072838,0.7819598663766772,0.023458795991300314,1,0.6280169611790367,0.0,-0.34416558989561125,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02687220739048126,0.0316814942195868,0.041543141504016605,0.04921495240459515,0.6487412593301681,0.08818482042251133,0.09315165277311706,0.41240000000000004,741.0069408416748,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.525465273065803,14.314219717317497,1000014.3142197173,0.003722122206346207,0.0,1.0,0.479546714530069,0.2770507089043951,0.14125047703691632,5,0.006428543009520548,0.017254226222217905,0.0013239996993973833,1.9175917844697195,1.8864000669131835,0.0,1.109934195454993,1.0,14.314219717317497,7
Stage2.1,0,s21g000_404152c93b77b3fe,152,global_0013,global,2.890311079998693,3.3693391804865924,0.02499231223377786,0.0838649603194809,"[2.204441540482506,1.3737963456225506,0.5344573391594588,1.1425001641330264,1.8613676941557022,0.02116772612117437,-0.29808318291161623,2.2095914410071527,-0.20309346304846343,-0.6220404185625431,-1.3358119207501822,0.1579089429182792,-0.6066101194387924,-0.368685569061199,-0.22647236566458964]",s21g000_404152c93b77b3fe,,,,,True,,11,-0.02577494800000002,0.0312647312,838.3605000000025,0.04051951827713353,0.0312647312,1.3506506092377846,0.5817437020072838,0.782004985082426,0.023460149552472775,1,0.6281206205108184,0.0,-0.34424314759944724,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0260695754818022,0.03208510613080916,0.04134098210283193,0.01449499199531097,0.6488848829665689,0.08339453613091727,0.09367328256576343,0.41195,759.5572209358215,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5333469407612392,14.377582515450092,1000014.3775825155,0.0055851304725414545,0.0,1.0,0.46143977888253207,0.242875546352339,0.06202900960387688,5,0.008721561044714055,0.021267283333404455,0.0017772722313927137,1.898974223585189,1.8242570682343984,0.0,0.8984788659589488,1.0,14.377582515450092,8
Stage2.1,0,s21g000_a9f05fc345e6490b,69,precise_parent_14,precise_tail,2.990525947417399,3.5519085011498936,0.006103841422450261,0.09282560678942571,"[2.2702180818842796,1.3702119213306037,0.5283333810592434,1.3345849559195415,1.7425908599416275,-0.02802175434023603,-0.2466252180017546,2.2111398630207053,-0.2516348246478385,-1.2090129498837552,-1.4453890800560103,0.28271433006900326,-0.11189183480811415,-0.2204658683112585,-0.08339282169615776]",s21g000_a9f05fc345e6490b,,,,,True,,11,-0.027502115999999965,0.0312676767,717.5844000000034,0.041641733761854545,0.0312676767,1.3880577920618182,0.5817437020072838,0.781996243706331,0.02345988731118993,1,0.6281026934870196,0.0,-0.3442281214357521,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02745903545960824,0.03169647222658958,0.041936439762848096,0.03711783691385546,0.648919041480717,0.08797168156596759,0.09577705407413241,0.41245,778.9767756462097,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5204226684268936,14.40369890168256,1000014.4036989016,0.0037594079010714863,0.0,1.0,0.4705147034794058,0.2646780184333153,0.07032582476828322,5,0.006649112520548085,0.018207930998454486,0.001785560239692094,1.9540721999810968,1.92670443410353,0.0,1.0550977904282854,1.0,14.40369890168256,9
Stage2.1,0,s21g000_41329216e2b021cc,91,bridge_p13_d25,bridge,2.987624115348624,3.3376187008555287,0.024500077968304716,0.07114294405696936,"[2.0599289993035557,1.39799209788944,0.569458785126016,1.3357134412322997,1.8770339127734803,0.020851328870712716,-0.31725775675446455,1.7820453079782919,-0.3630918072930839,-0.7479962393355756,-1.1964999406219599,0.06861634909345429,-0.3227087191062811,0.3311707376175038,-0.24007281086328072]",s21g000_41329216e2b021cc,,,,,True,,11,-0.026370612999999987,0.0318760174,1025.3759000000027,0.041370154885869974,0.0318760174,1.3790051628623323,0.5817437020072838,0.782060967576464,0.023461829027293924,1,0.6282466162535962,0.0,-0.34433937982997226,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026557737691343918,0.03249839379831865,0.04196973946491478,0.002585893507553783,0.6493242787943896,0.06937116129731455,0.0807317332118634,0.41075,770.6945679187775,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5235503737573477,14.416720898628602,1000014.4167208986,0.007453970522884621,0.0,1.0,0.4382109776903754,0.23652760230922512,0.03221715480567237,5,0.010554052850210636,0.0229543821595147,0.00391049031678084,1.9571767008364729,1.9016552392009678,0.0,0.6524299592623897,1.0,14.416720898628602,10
