step_index,mode_1,mode_2,mode_3,action_norm_tsc,action_norm_display
0,2.377578644922012,1.199789854092344,0.47988757453931286,"[-0.2821967279602801,-0.9922563319884898,-0.7441911029114205,0.9014484410153089,1.0,0.6188488528989015,-0.41112033089962163,0.3384810794318789,-0.800811531228279,0.7025825885794681,-0.6830120429028268,0.7841897492011333,-0.28179754133797336,0.862578486675291]","[-0.2821967279602801,0.9014484410153089,-0.9922563319884898,1.0,-0.7441911029114205,0.6188488528989015,-0.41112033089962163,0.3384810794318789,-0.800811531228279,0.7025825885794681,-0.6830120429028268,0.7841897492011333,-0.28179754133797336,0.862578486675291]"
1,1.7796461383894724,1.542677879287165,0.2845400504668853,"[-0.5569545304526191,-1.0,-0.6726890175604288,0.4949853925104008,0.7397674875241144,0.49819264308448913,-0.3508070855946339,0.2860397282903462,-0.6385390323196057,0.6239265956974893,-0.46547979612916784,0.7477425371077144,0.005034931780382559,0.935658680266326]","[-0.5569545304526191,0.4949853925104008,-1.0,0.7397674875241144,-0.6726890175604288,0.49819264308448913,-0.3508070855946339,0.2860397282903462,-0.6385390323196057,0.6239265956974893,-0.46547979612916784,0.7477425371077144,0.005034931780382559,0.935658680266326]"
2,1.1817136318569326,1.885565904481986,0.08919252639445775,"[-0.8233862095374852,-0.9993544478805351,-0.5965799633072915,0.08991289954123324,0.4769220344683273,0.37503916949369426,-0.2884023743242379,0.23193713380228267,-0.47316879127774286,0.5411642604746474,-0.24703009315966093,0.705592976374425,0.2879505876586112,1.0]","[-0.8233862095374852,0.08991289954123324,-0.9993544478805351,0.4769220344683273,-0.5965799633072915,0.37503916949369426,-0.2884023743242379,0.23193713380228267,-0.47316879127774286,0.5411642604746474,-0.24703009315966093,0.705592976374425,0.2879505876586112,1.0]"
3,0.3745387402552104,1.9399458265657836,-0.10154247670180014,"[-0.9885003631816693,-0.8676010106151356,-0.43893495572255503,-0.3351896397369525,0.14725234301023896,0.20172707549579838,-0.1850217787944121,0.14773482847980857,-0.23600893739558834,0.39016698859234544,0.01968063708656591,0.5783149387346596,0.5590836088008275,0.9514847882610493]","[-0.9885003631816693,-0.3351896397369525,-0.8676010106151356,0.14725234301023896,-0.43893495572255503,0.20172707549579838,-0.1850217787944121,0.14773482847980857,-0.23600893739558834,0.39016698859234544,0.01968063708656591,0.5783149387346596,0.5590836088008275,0.9514847882610493]"
4,-0.4326361513465118,1.9943257486495811,-0.292277479798058,"[-1.0,-0.6266354797372817,-0.2344613312727933,-0.6740304980451903,-0.17250255901054978,0.01623109001704937,-0.06532071207416955,0.05065436114670918,0.012221081802045371,0.1985501150329561,0.2589451615212654,0.3818924249332194,0.7268783386053623,0.774312785861674]","[-1.0,-0.6740304980451903,-0.6266354797372817,-0.17250255901054978,-0.2344613312727933,0.01623109001704937,-0.06532071207416955,0.05065436114670918,0.012221081802045371,0.1985501150329561,0.2589451615212654,0.3818924249332194,0.7268783386053623,0.774312785861674]"
5,-0.6096585732446571,0.37282489826101417,0.0023697850631605177,"[-0.20404986434715966,0.026672771984924244,0.09091779730918124,-0.3298853634290011,-0.2163995166209241,-0.09711495551655593,0.07292748796952575,-0.03846836109704017,0.19669892803080913,-0.045762387120017525,0.2739514818003734,0.013420954846545334,0.38231367920108633,0.16128597283872617]","[-0.20404986434715966,-0.3298853634290011,0.026672771984924244,-0.2163995166209241,0.09091779730918124,-0.09711495551655593,0.07292748796952575,-0.03846836109704017,0.19669892803080913,-0.045762387120017525,0.2739514818003734,0.013420954846545334,0.38231367920108633,0.16128597283872617]"
6,-0.7866809951428025,-1.2486759521275528,0.29701704992437905,"[0.7234533237371522,0.7624168338284292,0.44714102969723823,0.10293054063693788,-0.2376032360412205,-0.21259625048619407,0.2197688270735754,-0.13425481916860527,0.3795690536444991,-0.31619476296619636,0.25489277566899854,-0.4052896294405504,-0.057874044393041946,-0.5536040507010414]","[0.7234533237371522,0.10293054063693788,0.7624168338284292,-0.2376032360412205,0.44714102969723823,-0.21259625048619407,0.2197688270735754,-0.13425481916860527,0.3795690536444991,-0.31619476296619636,0.25489277566899854,-0.4052896294405504,-0.057874044393041946,-0.5536040507010414]"
7,-0.6211667717265321,-0.796369573421456,0.24197943697108562,"[0.4813294411312993,0.5313227928326544,0.3214196421379776,0.04180193366077158,-0.18234860909305906,-0.15348085340516665,0.16232117855940123,-0.09407443730022458,0.29220817808803534,-0.21563165499597794,0.22157784918500856,-0.2653298279387701,0.029904139406882916,-0.3395403861913051]","[0.4813294411312993,0.04180193366077158,0.5313227928326544,-0.18234860909305906,0.3214196421379776,-0.15348085340516665,0.16232117855940123,-0.09407443730022458,0.29220817808803534,-0.21563165499597794,0.22157784918500856,-0.2653298279387701,0.029904139406882916,-0.3395403861913051]"
8,-0.45565254831026164,-0.34406319471535907,0.18694182401779216,"[0.23920555852544623,0.3002287518368796,0.19569825457871687,-0.019326673315394727,-0.1270939821448975,-0.09436545632413927,0.10487353004522708,-0.05389405543184387,0.20484730253157166,-0.11506854702575951,0.1882629227010186,-0.12537002643698972,0.11768232320680773,-0.12547672168156887]","[0.23920555852544623,-0.019326673315394727,0.3002287518368796,-0.1270939821448975,0.19569825457871687,-0.09436545632413927,0.10487353004522708,-0.05389405543184387,0.20484730253157166,-0.11506854702575951,0.1882629227010186,-0.12537002643698972,0.11768232320680773,-0.12547672168156887]"
9,-0.29013832489399116,0.1082431839907378,0.13190421106449873,"[-0.002918324080406775,0.06913471084110474,0.06997686701945618,-0.08045528029156103,-0.07183935519673598,-0.03525005924311184,0.047425881531052906,-0.013713673563463152,0.11748642697510793,-0.01450543905554105,0.15494799621702865,0.014589775064790643,0.20546050700673257,0.08858694282816741]","[-0.002918324080406775,-0.08045528029156103,0.06913471084110474,-0.07183935519673598,0.06997686701945618,-0.03525005924311184,0.047425881531052906,-0.013713673563463152,0.11748642697510793,-0.01450543905554105,0.15494799621702865,0.014589775064790643,0.20546050700673257,0.08858694282816741]"
