candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,proposal_rank_score,population_index,generation
s21g000_06a164d5de55750f,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",damped_archive_00,anchor_damped,2.9222063039472856,-0.027187683760857007,0.03190090010138444,909.4922683508848,0.041717449763310446,0.46408910998224934,0.25040645931724936,0.06575194255408535,0.029019077076954607,0.10078479496895638,3.611922411451971,0,0
s21g000_8f5a52f07e64d455,"[2.247030050762817,1.3147295601497544,0.5387612828747051,1.142847997861797,1.830604037163645,-0.02634444110647284,-0.0449245784422273,1.9043616623095327,-0.30995978668261204,-1.041803605395153,-1.0951014304688147,0.04764230812642819,-0.1879435380265099,-0.5436243515862959,0.12205317113612935]",damped_archive_01,anchor_damped,2.8993861877654714,-0.02641066143438231,0.032362036809724715,959.0028738370129,0.04162337351265115,0.4560762304500689,0.22930940433833893,0.026850567371528623,0.01849036194883994,0.08840490596515094,3.419355240656407,1,0
s21g000_943748603b4cd145,"[2.1702746177906564,1.3420738595155202,0.5309182189251581,1.1468060565986158,1.7872350452774226,-0.09114664831608653,-0.22498265607868184,2.228019067161287,-0.187102588874181,-0.5294228127113354,-1.4755453763860205,-0.04283165531039945,-1.2143636086126715,0.26324302442904257,-0.24776977061582597]",damped_archive_02,anchor_damped,2.9427083817557365,-0.026167215812471056,0.0329583316841503,1279.3855028386752,0.04185848680201296,0.4683634681106785,0.2617880926739838,0.06179165452683218,0.0348737874168524,0.09141407862036774,3.52844941351429,2,0
s21g000_ed1c6a61d08c8aac,"[2.1345242863800262,1.356483886123887,0.5457577762959237,1.2264365057610833,1.8607195993767942,0.030475201404284977,-0.16444110053402253,1.7350947505657404,-0.18225306802054064,-0.4981324428969991,-1.1803348769156716,0.10734417549633521,-0.8740735562860584,0.03140283949748218,0.08736528977203496]",damped_archive_03,anchor_damped,2.9236202260975017,-0.02675667514241664,0.03224071929387781,968.3080697035621,0.04183411220415948,0.44351332123301324,0.22705315287137656,0.014008225791224778,0.05358401308092586,0.09763572116999092,3.6437415652674647,3,0
s21g000_c954451f34c62173,"[2.110416686444506,1.5597962470523958,0.45951909290122384,1.4474374636764553,1.9529490290822473,0.06964759567253982,-0.09652126483998504,1.7058858146912987,-0.390662260300405,-0.9002865262386224,-1.0321671090684699,0.05344292464877747,-0.011833804538852133,-0.2906252386106283,0.14729173933499523]",damped_archive_04,anchor_damped,2.9324452584143543,-0.02594924304440438,0.03297839454618109,1010.0796580451679,0.041830184345842944,0.43529591115559974,0.21727818998178053,0.05750996366595586,0.05290117233719439,0.10605597341093098,3.7615054668761947,4,0
s21g000_a2b6679192c74de8,"[2.2645883220547898,1.2997202805848753,0.5495174306996609,1.4512715397549834,2.211817476019101,0.05991386034020828,-0.33108978659923216,2.1438698311080455,-0.4034083111937932,-0.9957630016956409,-0.9154442993481521,-0.16736056521671278,0.11477234513140866,-0.3982914900737462,-0.13011602609394884]",damped_archive_05,anchor_damped,2.883461246959477,-0.025088214675591303,0.0327567660077658,1241.32135244675,0.04139872051593139,0.4509849270534578,0.22451699412026918,0.12160436887420942,0.07790954663988955,0.13273739847127927,4.241156759916642,5,0
s21g000_f79bcef630f797d0,"[2.220974234746594,1.2737054564415586,0.4486918949954881,1.3448137536553675,2.062484208689524,0.04658160163475672,0.30859869457205164,1.7658500522590823,-0.23676304935122824,-1.007892673107946,-0.647590666666096,0.028988913296983693,-0.3187899187357653,-0.37152809739327,0.11836190539686756]",precise_archive_00,anchor_precise,2.6955261833751663,-0.026289904587391777,0.029405324934066057,1016.1945031772811,0.04049852748033753,0.44552252246364543,0.20385926431193485,0.052321481616354,0.11591770313519638,0.1582639010852463,4.79390322501689,6,0
s21g000_9a01c48cdbeace96,"[2.2606992592583808,1.404269133696333,0.5980014101488207,1.1817397989137477,1.990161646202365,0.03404118924906222,0.08373763267911216,2.045056915996485,-0.21625951688949646,-0.9056663361469208,-0.8231672677145154,0.17818535292853807,0.022085080178594618,-0.4793145712885144,0.0011664131713775491]",precise_archive_01,anchor_precise,2.6669002683999903,-0.024379176993576057,0.030878789810609222,927.9916527360765,0.04024393137916895,0.4515196141508601,0.21755663279874868,0.04496882688273693,0.09497498681293753,0.1423261164341181,4.299295974853288,7,0
s21g000_3e43d94724833981,"[2.2672975865638523,1.500740350305654,0.5512969356210442,1.1449038256707602,1.8182732640682946,0.08880741139026146,0.15025656042686056,2.0524390800138717,-0.050128684320243255,-0.6479117735663646,-1.2625035505907207,-0.22809652822123552,-0.5261212904586394,-0.9401370174562932,-0.06851374221665837]",precise_archive_02,anchor_precise,2.7242558962618992,-0.02574001058773623,0.03067715332092437,1017.4500872075951,0.04056169687602023,0.4743643294182446,0.23339435213978743,0.026766109616738802,0.07790207692333126,0.13865917722349316,4.186375454715046,8,0
s21g000_9bf4c84764854a87,"[2.322758309646906,1.4308406360843704,0.5997018582620294,1.281875236156665,1.9328697783597217,0.0856682885260331,-0.13083100566431544,2.0381467565078704,-0.5270289451054507,-0.7269646784069602,-0.8594349103539235,0.1434628959817234,0.13597221373408996,-0.6363432978996646,-0.10875206829376703]",precise_archive_03,anchor_precise,2.795281332390352,-0.025888452993321986,0.031136001094080233,1039.708252688677,0.0409739406326628,0.44384837097668284,0.2108046846447163,0.08818778103041586,0.0874615410314572,0.12983640846298453,4.158751615543109,9,0
