source_stage,source_run,source_generation_group,generation,candidate_id,source_name,source_type,vector,vector_digest,result_relative_path,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1002,2,s21g002_aaa2ceeb56d4f784,bridge_p13_d09,bridge,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.22251386829527,1.903607993302751,0.09519209587785586,-0.24706982000438532,2.0156650835231416,-0.27801237917391874,-0.9696869355305808,-1.233495903924138,0.1463780996856758,-0.4303661927695651,-0.16339027779866988,0.07778491025284465]",v_aaa2ceeb56d4f784,stage2_1_evaluations/gen_002/s21g002_aaa2ceeb56d4f784.json.gz,s21g002_aaa2ceeb56d4f784,,,,,True,,11,-0.027585183999999985,0.0303526609,729.4467000000004,0.041014953370987074,0.0303526609,1.3671651123662358,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027694978132981277,0.03117957526799904,0.041703449829470086,0.01006457515093827,0.6494814909624878,0.09020872146905806,0.10292279411660675,0.41435,702.7179219722748,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5276411399020156,4596.953240528121,1004596.9532405281,0.0024534471031305775,0.0008542725448070984,1.0,0.46290265032173233,0.2435044112463494,0.04495884893377679,3000038.865603286,38.865603285802706,"[0.0312759249,0.0304055126,0.0303526609]",0.0312759249,0.030678032800000005,0.0303526609,0.027702248999999957,0.0312759249,0.04253083000000002,0.0,0.029227941166067417,0.0,0.04253083000000002,0.07175877116606744,0.05160565904332586,5.229496820618644,1004596.9532405281
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1004,4,s21g004_3d812812b5a1f281,random_tail_0066,random_tail,"[2.409019822811895,1.198039450629735,0.48122664718631664,1.1925058003704898,1.8796406997728652,0.10874810926453213,-0.26454598816076086,2.321244730127629,-0.25144256936158627,-0.8637436565762648,-1.5836725533239409,0.1727339653850643,-0.2794655530500083,-0.19322276400711402,0.05948586052709807]",v_3d812812b5a1f281,stage2_1_evaluations/gen_004/s21g004_3d812812b5a1f281.json.gz,s21g004_3d812812b5a1f281,,,,,True,,11,-0.028094139000000018,0.030367221,668.8710000000028,0.041369659865826344,0.030367221,1.3789886621942116,0.5817437020072838,0.7819326651391102,0.023457979954173303,1,0.6279832306637085,0.0,-0.3441188317829352,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278312745231675,0.03120357173738935,0.04181199266662994,0.045459318839754514,0.6496033774182195,0.09789442014614459,0.1040974713504191,0.41435,705.4138474464417,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5235560747781783,4746.435032445705,1004746.4350324457,0.002520906300448184,0.0016789271467505247,1.0,0.4718117414103994,0.26776189304782266,0.08726282454690082,3000039.479158901,39.479158901339645,"[0.031303108,0.0304332181,0.030367221]",0.031303108,0.030701182366666666,0.030367221,0.028094139000000018,0.031303108,0.04343693333333354,0.0,0.04097471350419091,0.0,0.04343693333333354,0.08441164683752445,0.05971343503898421,5.381676723252715,1004746.4350324457
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1003,3,s21g003_4338ac59779c4c9a,damped_parent_03,damped_tail,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.1971401768972367,1.8539570748969636,0.1009763421788616,-0.30900065205519467,2.267651881772964,-0.17136508593500524,-1.0388130457377542,-1.4253087584692328,0.20810607007822168,-0.5381494086987542,-0.2593030047699112,0.010010720846221472]",v_4338ac59779c4c9a,stage2_1_evaluations/gen_003/s21g003_4338ac59779c4c9a.json.gz,s21g003_4338ac59779c4c9a,,,,,True,,11,-0.02729957999999999,0.0307784398,672.8808000000026,0.04114097014775689,0.0307784398,1.3713656715918965,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027473906557257694,0.03133309389370141,0.041672272729819236,0.02115822404751545,0.6493157177046192,0.08869873109991105,0.09912588778895529,0.4144,748.6405630111694,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5261898365081095,4613.994718906935,1004613.9947189069,0.0026448021683428114,0.0,1.0,0.4783643946278272,0.2599754307646949,0.06684632576843982,1000038.7623898109,38.762389810922926,"[0.0313168065,0.0305808141,0.0307784398]",0.0313168065,0.030892020133333337,0.0307784398,0.02749041299999999,0.0313168065,0.04389355000000017,0.0,0.0,0.0,0.04389355000000017,0.04389355000000017,0.04389355000000017,5.171968906827892,1004613.9947189069
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1002,2,s21g002_9562729e87518ce3,precise_parent_10,precise_tail,"[2.4528035550849707,1.2568238840729706,0.48274927294798753,1.2259582867621863,1.8596055417842718,0.10511785864441138,-0.327780740546319,2.2361300123408703,-0.33201431798333375,-1.0729689804288305,-1.2365343731072374,0.27247425254082036,-0.6271720214349937,0.3177836362334182,0.0008533798058159331]",v_9562729e87518ce3,stage2_1_evaluations/gen_002/s21g002_9562729e87518ce3.json.gz,s21g002_9562729e87518ce3,,,,,True,,11,-0.026940803000000013,0.0307406129,780.9031000000032,0.040875324436051345,0.0307406129,1.3625108145350449,0.5817437020072838,0.781928100002112,0.023457843000063358,1,0.6279591681789314,0.0,-0.3441109844491652,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027390140617666734,0.03133630999811573,0.04161951618355942,0.027259326315464575,0.6492808394155369,0.09095923676433235,0.09990192688030276,0.41435,723.9599194526672,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5292492110839174,4692.447686936241,1004692.4476869362,0.0026672131088974634,0.0,1.0,0.4684135762102688,0.25348604603161123,0.08740440766821608,1000038.7923850861,38.7923850860473,"[0.0313392086,0.0305969602,0.0307406129]",0.0313392086,0.030892260566666663,0.0307406129,0.027533668999999983,0.0313392086,0.04464028666666686,0.0,0.0,0.0,0.04464028666666686,0.04464028666666686,0.04464028666666686,5.217586936164003,1004692.4476869362
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1000,0,s21g000_63c19d8845bea51c,tail_fd_n2_m2_p,sensitivity,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.226960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",v_63c19d8845bea51c,stage2_1_evaluations/gen_000/s21g000_63c19d8845bea51c.json.gz,s21g000_63c19d8845bea51c,,,,,True,,11,-0.027513467999999985,0.0302486039,692.3629000000001,0.040889717036024086,0.0302486039,1.3629905678674696,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02754286437757635,0.031191081453319475,0.04161121171450279,0.025876724459634782,0.6494770436362003,0.09494681422854075,0.10425037928969016,0.4143,780.7519912719727,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5290834551447243,4884.041824495303,1004884.0418244953,0.0025891408084557045,0.001806572410622707,1.0,0.46504097289640595,0.2512337419564906,0.060653041006048194,3000039.048772602,39.04877260200088,"[0.0313404952,0.0304143688,0.0302486039]",0.0313404952,0.03066782263333333,0.0302486039,0.027513467999999985,0.0313404952,0.04468317333333327,0.0,0.04250379289690165,0.0,0.04468317333333327,0.08718696623023492,0.06166975263254599,5.3068736085100525,1004884.0418244953
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1007,7,s21g007_5c0d77a29fc530bc,tail_fd_n3_m0_p,sensitivity,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.1862261679559902,1.8279077094025633,0.10745774008274162,-0.35748626233046177,2.0285331231245323,-0.3521861759092953,-0.6707178132641703,-1.232439316850542,0.10960775102737819,-0.5330934518181093,0.13786250362187769,0.15155042464019666]",v_5c0d77a29fc530bc,stage2_1_evaluations/gen_007/s21g007_5c0d77a29fc530bc.json.gz,s21g007_5c0d77a29fc530bc,,,,,True,,11,-0.027634394000000007,0.0300891073,767.9699,0.04085356912019009,0.0300891073,1.36178563733967,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027655071860348976,0.031141138837037265,0.04164821157827424,0.03385123530212815,0.649220739871843,0.09579970139793444,0.10316652926879409,0.41409999999999997,810.7341525554657,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5294997615626256,4857.900300311041,1004857.900300311,0.0025331739640340003,0.001002690761012959,1.0,0.45265892136017116,0.24219764443846215,0.054948588357479136,3000039.0518719265,39.05187192644292,"[0.0313474035,0.0303900722,0.0300891073]",0.0313474035,0.030608861,0.0300891073,0.027634394000000007,0.0313474035,0.04491345000000013,0.0,0.03166529268794083,0.0,0.04491345000000013,0.07657874268794096,0.05495369643541252,5.286633123910814,1004857.900300311
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1004,4,s21g004_408587d0b9cfb2f8,tail_fd_n2_m2_p,sensitivity,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.0986969706242533,-0.226960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.38147750995002294,-0.061233913971990364,0.06203426961659384]",v_408587d0b9cfb2f8,stage2_1_evaluations/gen_004/s21g004_408587d0b9cfb2f8.json.gz,s21g004_408587d0b9cfb2f8,,,,,True,,11,-0.027365237000000042,0.0302026146,713.4558000000034,0.040756031759020706,0.0302026146,1.358534391967357,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027504364638391246,0.03118309643598793,0.04157974960840565,0.022429268489632007,0.6494770436362003,0.09458092949810322,0.10448442325726524,0.4143,794.6552333831787,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.530623074719225,4926.727989103878,1004926.7279891039,0.0026002053734699407,0.002011005195030134,1.0,0.4599335263626138,0.24757238235709325,0.04845464744147495,3000038.9997001286,38.999700128367266,"[0.0313495759,0.0304100676,0.0302026146]",0.0313495759,0.030654086033333333,0.0302026146,0.027510056999999977,0.0313495759,0.04498586333333354,0.0,0.044844232572652354,0.0,0.04498586333333354,0.0898300959059859,0.06351954891901782,5.3017232274827135,1004926.7279891039
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1006,6,s21g006_519e856c05e17310,damped_parent_16,damped_tail,"[2.413946689140234,1.2100260733143955,0.4613863721475013,1.197051859053888,1.855477522949459,0.10383736088870918,-0.32901275573077066,2.1467179882424485,-0.2705235428173692,-0.7884422784208047,-1.5596576366731583,0.3093873663679491,-0.34491304480070173,-0.02172120632249846,0.07996603145473044]",v_519e856c05e17310,stage2_1_evaluations/gen_006/s21g006_519e856c05e17310.json.gz,s21g006_519e856c05e17310,,,,,True,,11,-0.028340986999999984,0.0304394989,616.3775000000023,0.04159055947468451,0.0304394989,1.3863519824894839,0.5817437020072838,0.7819341870162442,0.023458025610487324,1,0.6279889312000577,0.0,-0.3441214478441469,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02800013644160948,0.03125262127007681,0.04196110076010405,0.04769462614932411,0.6493944980421401,0.09577363249403478,0.10124801289596515,0.4146,789.8880326747894,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5210120297687271,4784.496336301789,1004784.4963363018,0.002593283056508316,0.00015575361884953074,1.0,0.46787046845620217,0.26707729825650767,0.06205440840897822,3000039.4067360256,39.40673602562153,"[0.0313507338,0.0305131645,0.0304394989]",0.0313507338,0.030767799066666667,0.0304394989,0.028340986999999984,0.0313507338,0.045024460000000044,0.0,0.012480128959651449,0.0,0.045024460000000044,0.05750458895965149,0.046722110580977985,5.309869882237927,1004784.4963363018
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1002,2,s21g002_0740e70a35417d80,tail_fd_n4_m0_m,sensitivity,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.46147750995002296,-0.14123391397199037,0.06203426961659384]",v_0740e70a35417d80,stage2_1_evaluations/gen_002/s21g002_0740e70a35417d80.json.gz,s21g002_0740e70a35417d80,,,,,True,,11,-0.027345626000000012,0.0302249134,718.0270000000019,0.040759399546231985,0.0302249134,1.3586466515410665,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027488586843260967,0.031190594205659644,0.04157493924880262,0.02071434075001254,0.6494770436362003,0.0942252418102853,0.10449228327472998,0.4143,762.4391129016876,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5305842887644103,4934.073622172349,1004934.0736221723,0.0026104598912543944,0.0020180609020418613,1.0,0.4619232344271834,0.24605186057161943,0.06575194255408535,3000038.9892711095,38.98927110931589,"[0.0313515739,0.0304126708,0.0302249134]",0.0313515739,0.0306630527,0.0302249134,0.027495037,0.0313515739,0.04505246333333335,0.0,0.04492283274729969,0.0,0.04505246333333335,0.08997529608063304,0.06362220802866879,5.303896487777688,1004934.0736221723
Stage2.1,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_1_runs/stage2_1_svd3_dual_archive_tail_cem_100ms_20260720_151221,1001,1,s21g001_5665bd9c10e74563,tail_fd_n4_m0_m,sensitivity,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.2773135959693287,0.15977816185308458,-0.46147750995002296,-0.22123391397199035,0.06203426961659384]",v_5665bd9c10e74563,stage2_1_evaluations/gen_001/s21g001_5665bd9c10e74563.json.gz,s21g001_5665bd9c10e74563,,,,,True,,11,-0.027373407999999988,0.0302322126,710.5800000000017,0.04078345429492286,0.0302322126,1.3594484764974286,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02749699272622308,0.0311927003263417,0.041582077420866344,0.021228528307868838,0.6494770436362003,0.09428919698725088,0.10445591661395517,0.4143,798.7933158874512,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5303072562984998,4932.750181781943,1004932.750181782,0.002611761832175307,0.0019855192870521696,1.0,0.46297306869405075,0.24510726023316964,0.06575194255408535,3000038.997203588,38.99720358803156,"[0.0313516848,0.0304139417,0.0302322126]",0.0313516848,0.03066594636666667,0.0302322126,0.02749550700000003,0.0313516848,0.04505616000000012,0.0,0.04455916613955169,0.0,0.04505616000000012,0.08961532613955181,0.0633685792881439,5.304297935555288,1004932.750181782
