stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_1_tube_window_steps,stage2_1_tube_excess_mean,stage2_1_tube_excess_max,stage2_1_tube_excess_terminal,stage2_1_late_position_core,stage2_1_terminal_position_core,stage2_1_velocity_excess,stage2_1_velocity_core,stage2_1_streak_deficit,stage2_1_continuous_objective,generation_rank
Stage2.1,6,s21g006_0b291509e6d6e307,59,damped_parent_14,damped_tail,2.9708793529990767,3.5390277912582984,0.038741545561458555,0.08906494440506724,"[2.377578644922012,1.199789854092344,0.47988757453931286,1.1817136318569326,1.885565904481986,0.08919252639445775,-0.4326361513465118,1.9943257486495811,-0.292277479798058,-0.7866809951428025,-1.2486759521275528,0.29701704992437905,-0.29013832489399116,0.1082431839907378,0.13190421106449873]",s21g006_0b291509e6d6e307,,,,,True,,11,-0.027317868999999995,0.0310698244,648.6790000000001,0.0413714872218536,0.0310698244,1.379049574061787,0.5817437020072838,0.7819370298443657,0.02345811089533097,1,0.6279967525495519,0.0,-0.3441263345805426,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027465226450963675,0.031708402717514815,0.041949510925621235,0.006700890761681473,0.6493941539488401,0.07604418592964014,0.08755994037695924,0.41424999999999995,786.5750801563263,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5235350295802911,13.497538748582931,1000013.4975387485,0.003831089329000612,0.0,1.0,0.4540347534078743,0.24855397514262823,0.04293549084568858,5,0.0065026571285897285,0.017188928326946188,0.0012716936075948503,1.9552905187764615,1.9017777277199959,0.0,0.7711645095816646,1.0,13.497538748582931,1
Stage2.1,7,s21g007_323fc938dc836042,12,tail_fd_n2_m0_m,sensitivity,2.956095437579527,3.4534597654294155,0.028477192426211946,0.08494170496496682,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.1862261679559902,1.8279077094025633,0.10745774008274162,-0.4374862623304618,2.0285331231245323,-0.3521861759092953,-0.7507178132641703,-1.232439316850542,0.10960775102737819,-0.5330934518181093,0.13786250362187769,0.15155042464019666]",s21g007_323fc938dc836042,,,,,True,,11,-0.02733970699999999,0.0307500211,769.1180000000022,0.04114636528900571,0.0307500211,1.3715455096335236,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02749970665199597,0.031485750748159326,0.041804142930109776,0.007557913849789627,0.649220739871843,0.08076822609122503,0.09255851116651777,0.41409999999999997,708.255535364151,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5261277020288304,13.503434335592521,1000013.5034343356,0.0031584846391285947,0.0,1.0,0.45504028663083584,0.24395998016857065,0.05584201032956573,5,0.005824382197352871,0.01648797243024998,0.0006250351671613469,1.9417626290233858,1.8811370849958822,0.0,0.8624200051123235,1.0,13.503434335592521,2
Stage2.1,5,s21g005_aa1fa1d922105141,153,global_0021,global,3.01235533272606,3.558748921662991,0.039147393215247045,0.08706809404957885,"[2.3719959241969604,1.2254518043584621,0.504273706891896,1.20113520067722,1.839596754596527,0.097422387112408,-0.4562058065127226,1.949019327351317,-0.39323491874250915,-0.8462647034877862,-1.2725134000911102,0.2603641609439734,-0.2402631506851884,0.05785613206167113,-0.05021235899296321]",s21g005_aa1fa1d922105141,,,,,True,,11,-0.02762651599999999,0.0312777721,773.0344000000005,0.0417315637597945,0.0312777721,1.3910521253264834,0.5817437020072838,0.7819358988835939,0.02345807696650782,1,0.6279860907370649,0.0,-0.34412439049284915,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027640402691243633,0.031771644284421544,0.04211210326580619,0.020548192225691465,0.6493121826217115,0.07575536183241262,0.08446084559187891,0.4139,788.7475025653839,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5193881190261977,13.512739502359112,1000013.5127395024,0.003966702817573234,0.0,1.0,0.45292386867939527,0.24816450514911992,0.05003757342089131,5,0.006544973452223764,0.01685805599082588,0.0018141128217093387,1.9704769349665827,1.9350260153753265,0.0,0.7555862641839178,1.0,13.512739502359112,1
Stage2.1,6,s21g006_9899bd6e9447845c,12,tail_fd_n2_m0_m,sensitivity,2.9737238249841416,3.4346893145140327,0.026417905783658033,0.081951091269788,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.1862261679559902,1.8279077094025633,0.10745774008274162,-0.4374862623304618,2.0285331231245323,-0.3521861759092953,-0.7507178132641703,-1.3124393168505422,0.10960775102737819,-0.5330934518181093,0.13786250362187769,0.15155042464019666]",s21g006_9899bd6e9447845c,,,,,True,,11,-0.027554666999999977,0.0308383376,764.9800000000032,0.04135532298764527,0.0308383376,1.3785107662548426,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02758826457905408,0.03152435066155787,0.04189149110639002,0.015557429159375911,0.649220739871843,0.08097670445958985,0.09097722079043526,0.41409999999999997,811.3032584190369,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5237211889835687,13.524507410285988,1000013.5245074102,0.0032455251476268014,0.0,1.0,0.45720643542899003,0.24903096609958217,0.05584201032956573,5,0.005894463525056963,0.01649021703477761,0.0007808999239708493,1.9498855856852826,1.900291932680513,0.0,0.8518888304800605,1.0,13.524507410285988,3
Stage2.1,4,s21g004_15b2028657dc017a,153,global_0063,global,2.947176265446409,3.589932680864933,0.0487286232540491,0.09279005749708458,"[2.4188628646808983,1.2635197633433322,0.5145452478386736,1.1973841503703848,1.848431591192139,0.09162262327233359,-0.5953114325321545,2.2075844145783106,-0.28232381356054237,-0.6295337501207002,-1.2175652884965533,0.23860751069765182,-0.42321125356670136,0.040415531166020535,0.06416466156755125]",s21g004_15b2028657dc017a,,,,,True,,11,-0.026625154999999956,0.0311361917,700.818900000002,0.04096780824443958,0.0311361917,1.365593608147986,0.5817437020072838,0.7819319266147357,0.02345795779844207,1,0.6279680347633761,0.0,-0.3441175622816548,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027035875782170985,0.031796167606241064,0.041736493069652526,0.012673803284980406,0.6492340978530599,0.07794362036957281,0.08772622789392835,0.4138,757.9399011135101,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5281840984184795,13.534327426808467,1000013.5343274268,0.004156062160192784,0.0,1.0,0.45457992107957174,0.24705853538983585,0.07731822042777997,5,0.006799932863135351,0.01737541567490562,0.001434368421276546,1.935483170836837,1.8648459026146353,0.0,0.7856516350203832,1.0,13.534327426808467,1
Stage2.1,4,s21g004_1ab4ea44e70a27bb,146,global_0042,global,2.9971780831518124,3.460570444444399,0.025860486519135032,0.08227398828000203,"[2.394514375144936,1.1987730415027087,0.47742722490888867,1.172001652129545,1.847213378995894,0.1156475782309182,-0.4408013115873217,2.1575013686932776,-0.3810408517158905,-0.8477591010812752,-1.279796066494783,0.21592372367509358,-0.48475272034523376,0.15941177344367194,0.08595985908539167]",s21g004_1ab4ea44e70a27bb,,,,,True,,11,-0.02734521099999998,0.0312217241,747.1787000000004,0.041503694057409404,0.0312217241,1.3834564685803135,0.5817437020072838,0.7819294675665593,0.023457884026996778,1,0.6279726254795096,0.0,-0.34411333525149046,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027543851872131472,0.031750119275035446,0.04203253323240104,0.011762652235992092,0.6495295214204908,0.07653908898301387,0.08706682586432289,0.4143,761.5693647861481,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5220124368425781,13.55039767154266,1000013.5503976715,0.003924564976641597,0.0,1.0,0.45776700562357797,0.2500551668504593,0.08112180989864821,5,0.006559439707646905,0.01709893863166814,0.0016584553072453497,1.9630376110365533,1.913951800456712,0.0,0.7718992153713214,1.0,13.55039767154266,2
Stage2.1,7,s21g007_a0c6d49d1252863b,151,global_0033,global,2.960729568277812,3.4917863294103877,0.029843002275518307,0.08769576725720968,"[2.3675050030074654,1.2245897222338291,0.4788416415445973,1.2019320063933598,1.8733629596317027,0.1059155723983694,-0.5219481337218594,2.3643975578491907,-0.30461025141653897,-0.7031480584928452,-1.3346794276870348,0.22178505171370505,-0.36335402518833704,-0.08715477450129665,0.08881541437099584]",s21g007_a0c6d49d1252863b,,,,,True,,11,-0.026915396000000036,0.0309796911,676.7064000000028,0.04103875975816323,0.0309796911,1.3679586586054409,0.5817437020072838,0.7819264310302289,0.023457792930906867,1,0.6279527302389383,0.0,-0.34410811553648535,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02716492825308378,0.03165979784689438,0.041716616913424404,0.005589586416914156,0.6492392009492948,0.07863399106858003,0.09059910401287023,0.41405000000000003,792.9587712287903,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5273669677529492,13.552956911538187,1000013.5529569115,0.003689953562464222,0.0,1.0,0.45950825996207195,0.25276019381372716,0.10543619073398837,5,0.006375430362195227,0.017117337561119245,0.0010664385015769057,1.933640140779341,1.871310891653597,0.0,0.8239441124247029,1.0,13.552956911538187,3
Stage2.1,6,s21g006_9d382ed3639c5aa8,46,damped_parent_03,damped_tail,2.9618252706333505,3.519935587070508,0.03605516681761807,0.0888049885586423,"[2.3710969602030634,1.1924640034595264,0.4718339490518498,1.2003537483542075,1.859352611672595,0.09660287268992822,-0.47357121315985606,2.141575079361943,-0.30037770311776174,-0.7809748674245992,-1.264434221146122,0.18295214645330013,-0.21088480608096793,-0.09403132416623719,0.0980466838944307]",s21g006_9d382ed3639c5aa8,,,,,True,,11,-0.027304176999999985,0.0310449794,698.7459000000017,0.04134378825886366,0.0310449794,1.3781262752954553,0.5817437020072838,0.781941117224381,0.023458233516731427,1,0.6280103358214598,0.0,-0.344133360664368,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02747353306356508,0.03168724425704998,0.04193896121270472,0.008677897010340399,0.6494898521974035,0.07777783266795238,0.08898272795402916,0.41435,735.9848918914795,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5238540315419776,13.553800728647905,1000013.5538007286,0.0037573306732744246,0.0,1.0,0.45615683571803434,0.24770192088240267,0.06685996808045834,5,0.0064340221962250945,0.017140788288027783,0.001213313273804844,1.954307186223056,1.899232030659725,0.0,0.7993231770662835,1.0,13.553800728647905,4
Stage2.1,6,s21g006_ef3f722d0943e6b5,143,global_0031,global,2.970354790157987,3.405089043221746,0.027996208271100505,0.07915920514519116,"[2.35104743008907,1.289310192260792,0.5219148530966953,1.1622562235890752,1.8360848893666808,0.09480983844300447,-0.49960046215214393,2.0503597765943478,-0.3452926785500771,-0.701125261785467,-1.291406180473784,0.26917599552127985,-0.6026395108409075,0.014416186398033198,-0.11172604049970693]",s21g006_ef3f722d0943e6b5,,,,,True,,11,-0.02673457400000001,0.0314816272,784.9472000000023,0.04130169848954467,0.0314816272,1.3767232829848224,0.5817437020072838,0.7819384923592178,0.023458154770776528,1,0.6279711614840405,0.0,-0.34412884859976955,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.026977285798692074,0.03198173267656384,0.04184023391497118,0.011040356483325173,0.6490736772360921,0.0732732319113618,0.08326244492617821,0.4133,762.8475215435028,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5243387687859157,13.58140087749897,1000013.5814008774,0.0048267905502127235,0.0,1.0,0.45799322972508744,0.2474570070739833,0.059327288165334814,5,0.007479621604175013,0.01809094582002417,0.0024391323997553843,1.9451168600661162,1.8953669979125072,0.0,0.7054524206363758,1.0,13.58140087749897,5
Stage2.1,7,s21g007_2c7dedfb1b0c50ef,149,global_0009,global,2.995018759731498,3.5880680977100545,0.03288111598994744,0.09242114854316902,"[2.4299063290880425,1.2101326081430526,0.4389145346066841,1.2408052591633438,1.8709387080876543,0.10384803028488428,-0.48532866570063676,2.27329522737022,-0.30556584996754227,-0.8624011401500232,-1.3579025452028706,0.19113993477949456,-0.3742476840690564,0.025694608441571933,0.1512544293858898]",s21g007_2c7dedfb1b0c50ef,,,,,True,,11,-0.027501509000000035,0.0310850206,693.9880000000012,0.04150435522905406,0.0310850206,1.3834785076351355,0.5817437020072838,0.7819359374101618,0.02345807812230485,1,0.6279879073488334,0.0,-0.3441244567188653,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027628532585830187,0.031630966599862295,0.04199826021263124,0.015510490428228918,0.6495429448619444,0.07948833788007306,0.08968403985032239,0.41495,793.1349005699158,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5220048222957182,13.582070944179163,1000013.5820709441,0.0035128533795598985,0.0,1.0,0.46236378916079235,0.2562574690446021,0.09098882798921128,5,0.006146513406186242,0.01668115351269162,0.0013080774471381782,1.9598376232087609,1.9140127810883416,0.0,0.8283802317198394,1.0,13.582070944179163,4
