step_index,time_ms_from_start,R,Z,Ip,vessel_current_total_a,vessel_current_abs_sum_a
0,0,0.743600216,0.0162365614,31286.4059,730.7040000000001,856.61
1,10,0.739445855,0.0210101725,31262.0123,546.078,586.2420000000001
2,20,0.735081806,0.0262075089,31191.2139,445.485,484.529
3,30,0.730553875,0.0319859191,31114.635,385.94899999999996,426.74699999999996
4,40,0.725932772,0.0379751775,31031.4875,351.40599999999995,395.53600000000006
5,50,0.721819313,0.0436687522,30956.3866,321.89,370.26000000000005
6,60,0.718030313,0.0496714527,30894.1014,293.113,340.353
7,70,0.714289004,0.0558069191,30836.5671,270.603,321.83500000000004
8,80,0.71069432,0.0614254594,30790.3237,250.252,304.7339999999999
9,90,0.707162757,0.0673701698,30757.3033,228.445,286.365
10,100,0.703815205,0.0735284023,30730.6695,207.507,269.71900000000005
