stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank
Stage2.2,5,s22g005_adf586ba25597d7e,49,corner_local_0088,corner_local,2.955348998037384,44.146565963167916,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.264828462341373,1.8058785189844317,0.11909880277857489,-0.32742752958288246,2.2788439928251627,-0.2163958623919818,-1.0879326812337369,-1.4821006429944532,0.2055197261884271,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458]",s22g005_adf586ba25597d7e,0.03126004787085465,0.022242182067934123,0.10108838237556543,0.04200159569515516,0.05288541945080949,,,,,True,,11,-0.027860905000000047,0.0304908684,696.449700000001,0.0413028217341763,0.0304908684,1.3767607244725435,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02788075920752113,0.031066557653222422,0.04174287649897605,0.026640452894990247,0.6492793452001951,0.09273065878724637,0.10295809996098128,0.41465,256.84373235702515,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5243258326611564,3789.7407778286142,1003789.7407778286,0.0019887793566585924,0.0008750355379157356,1.0,0.4791503566894423,0.2659535551354423,0.0744920444174498,3000039.0278666653,39.0278666654811,"[0.0310443736,0.0302909874,0.0304908684]",0.0310443736,0.030608743133333335,0.0304908684,0.027860905000000047,0.0310443736,0.03481245333333338,0.0,0.02958099960981264,0.0,0.03481245333333338,0.06439345294314602,0.04568306518833046,5.238567534213698,1003789.7407778286,2
Stage2.2,4,s22g004_b034e7d0314c08d6,15,probe_c0_h01_p,multi_center_probes,2.9506016191143845,45.489697070363896,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",s22g004_b034e7d0314c08d6,0.03128252390498092,0.023625545516144666,0.10249840587041852,0.042750796832697446,0.06773485553688263,,,,,True,,11,-0.02772740699999998,0.0305295905,714.4581000000035,0.04124154452783429,0.0305295905,1.3747181509278095,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278260471449306,0.031081317033860602,0.041717348528774616,0.025239988889105364,0.6492791664455781,0.09247586268802246,0.10292384536629184,0.41465,265.3243944644928,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5250315467717124,3809.890905322274,1003809.8909053223,0.0020087617326147813,0.0008548871725986288,1.0,0.4811125546871861,0.2619869085620431,0.07461407105668431,3000038.991620855,38.99162085474234,"[0.0310505996,0.0303035016,0.0305295905]",0.0310505996,0.03062789723333333,0.0305295905,0.027823103000000016,0.0310505996,0.035019986666666725,0.0,0.02923845366291844,0.0,0.035019986666666725,0.06425844032958516,0.04562112053350009,5.237356803780768,1003809.8909053223,1
Stage2.2,5,s22g005_fe6e232ce2c851ad,15,probe_c0_h05_p,multi_center_probes,2.9520025797935774,44.51103325731957,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2814807968972368,1.7958604548969637,0.1240610621788616,-0.3589663020551947,2.2692832317729636,-0.19393423593500525,-1.117715595737754,-1.412016208469233,0.2046426900782217,-0.5951009586987541,-0.1869614547699112,-0.04516989915377853]",s22g005_fe6e232ce2c851ad,0.03126021179509254,0.023307155133997823,0.10198542750411685,0.04200705983641817,0.061861334877586494,,,,,True,,11,-0.027675157999999977,0.0306069667,717.0074000000022,0.041263795037537104,0.0306069667,1.3754598345845703,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027835361802613815,0.03110494471352849,0.04174116615900993,0.027793535941518774,0.6492932120464047,0.09236468069794099,0.10236427159545632,0.4147,263.3111343383789,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247752932705867,3789.1523028827505,1003789.1523028828,0.0020230029240709967,0.0005589780177081541,1.0,0.4817074885712401,0.26130249095124586,0.0701197953510941,3000038.9907295033,38.990729503482214,"[0.0310520357,0.0303341702,0.0306069667]",0.0310520357,0.03066439086666667,0.0306069667,0.027860474000000024,0.0310520357,0.035067856666666675,0.0,0.02364271595456313,0.0,0.035067856666666675,0.058710572621229806,0.0422934107031111,5.2309350280338265,1003789.1523028828,1
Stage2.2,4,s22g004_54c30ebb7f0d4602,48,corner_local_0072,corner_local,2.9541579728869825,45.204968356891214,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.242849787353827,1.7997330678930357,0.1078284617050061,-0.3014638557833348,2.1760601716041026,-0.22562057149904513,-1.058672785812392,-1.4562157175476935,0.21003690441795672,-0.5972722134565953,-0.10576424338602372,0.01680324414797135]",s22g004_54c30ebb7f0d4602,0.031303137310879685,0.022899304931010347,0.09969422637292111,0.043437910362656096,0.043437910362656096,,,,,True,,11,-0.02798601199999995,0.0304463151,701.3745000000017,0.041354503634218956,0.0304463151,1.3784834544739655,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02795738349758764,0.031058681114072978,0.041788239548667984,0.02640856926351871,0.649284013555224,0.09328791103076726,0.10349041625853456,0.41465,267.9944717884064,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237306252700609,3845.749864409212,1003845.7498644092,0.0020053972729704573,0.0012183005657842294,1.0,0.47854834008497554,0.26217873295679467,0.05905042667784508,3000039.0914364164,39.091436416437325,"[0.0310532819,0.030273767,0.0304463151]",0.0310532819,0.030591121333333332,0.0304463151,0.02798601199999995,0.0310532819,0.03510939666666668,0.0,0.034904162585345455,0.0,0.03510939666666668,0.07001355925201214,0.04950727522376459,5.248685510657541,1003845.7498644092,2
Stage2.2,5,s22g005_b3b698b6f3917692,75,bridge_d03_p01_c06_031,boundary_bridge,2.9544621819416523,47.50036348068918,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2458030615228177,1.803215567668814,0.13022623181869028,-0.35792491894142353,2.231130936912068,-0.23256257832920066,-1.0388983889481067,-1.4511818998467088,0.20977470413259777,-0.6383673326806282,-0.13350135138420602,0.0031812862480701453]",s22g005_b3b698b6f3917692,0.03136935054400586,0.02109283432052585,0.09761929810272638,0.045645018133528614,0.045645018133528614,,,,,True,,11,-0.02765757999999996,0.03049941,705.5214000000014,0.04117226908739058,0.03049941,1.372408969579686,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027737114089063108,0.031073079216772225,0.041651935729345224,0.023783879157611525,0.6492651178128878,0.09173859930486718,0.1023150729104779,0.4146,268.5391502380371,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5258293745245515,3794.940044782823,1003794.9400447828,0.0019982911242245713,0.0005359562580828512,1.0,0.48007454139109007,0.26181768980072334,0.06926948032949576,3000038.8938829335,38.893882933601326,"[0.0310543386,0.0302988821,0.03049941]",0.0310543386,0.03061754356666667,0.03049941,0.027720227999999958,0.0310543386,0.03514462000000007,0.0,0.023150729104778778,0.0,0.03514462000000007,0.05829534910477885,0.04208444573743673,5.212202626338633,1003794.9400447828,3
Stage2.2,5,s22g005_9a8ff4b42d70c0a7,56,corner_local_0020,corner_local,2.950653996393129,44.349576158303336,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.270160320442334,1.8214570769706822,0.10438827053487837,-0.3213043378593836,2.2530130333882608,-0.20322371898004693,-1.1163506615885033,-1.4180440782705794,0.20833124798134442,-0.5215014115775589,-0.20328013632098524,-0.019106912605219694]",s22g005_9a8ff4b42d70c0a7,0.031244860824321468,0.02389880915067511,0.10291223593798797,0.04149536081071559,0.07061772019059531,,,,,True,,11,-0.027668384000000046,0.0305261885,703.2595000000001,0.04119936477069751,0.0305261885,1.3733121590232502,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02778856665791991,0.031084228559518597,0.0416945284424953,0.024067088556834086,0.6492812050289554,0.0925869495540758,0.10329403688586718,0.41465,262.97313952445984,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5255173203826226,3840.8868296480505,1003840.886829648,0.0020242090448794854,0.0010850679005453548,1.0,0.4797479459941587,0.26121364141925957,0.0688527483564525,3000038.992470381,38.9924703808264,"[0.031054531,0.030303524,0.0305261885]",0.031054531,0.030628081166666665,0.0305261885,0.027795404000000024,0.031054531,0.03515103333333336,0.0,0.0329403688586718,0.0,0.03515103333333336,0.06809140219200516,0.048173260684185246,5.244626862289387,1003840.886829648,7
Stage2.2,5,s22g005_7af4f53f3beddae7,72,bridge_d07_p07_c16_045,boundary_bridge,2.9530841592037715,48.53823001226796,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.239958437240124,1.7945788376528806,0.13406064877671206,-0.3551305248405896,2.210135477474296,-0.30135178562056686,-1.00913197089949,-1.3897030293015087,0.19348385514360117,-0.5614635433516807,-0.08309100820487741,0.02556844557512208]",s22g005_7af4f53f3beddae7,0.03139928939915411,0.018867069625333924,0.09582823332553662,0.04664297997180378,0.04664297997180378,,,,,True,,11,-0.027709540000000032,0.0303798207,725.1258000000016,0.041118756216302926,0.0303798207,1.3706252072100975,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027788725309645105,0.031038723612115602,0.041660720322675815,0.016308438502757282,0.6492659586059512,0.09066973567192184,0.1025592155850405,0.4146,263.81420946121216,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5264456687467806,3817.3503334992565,1003817.3503334993,0.0019761121881139484,0.0006549584410714119,1.0,0.47341694697700576,0.25680758452365227,0.07588130032115084,3000038.844494391,38.844494391032335,"[0.0310575635,0.0302666716,0.0303798207]",0.0310575635,0.0305680186,0.0303798207,0.027776335999999957,0.0310575635,0.03525211666666661,0.0,0.025592155850404863,0.0,0.03525211666666661,0.060844272517071474,0.04356225626103044,5.199320503227747,1003817.3503334993,5
Stage2.2,5,s22g005_97ecbff66a304bf4,14,probe_c0_h05_m,multi_center_probes,2.9493687068798837,44.41490443225082,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2602231568972369,1.8171180948969636,0.11461322217886159,-0.31763200205519465,2.3106175317729636,-0.21164893593500528,-1.0645714957377541,-1.4651603084692328,0.18338505007822167,-0.5419568586987542,-0.24010555476991122,-0.023912259153778523]",s22g005_97ecbff66a304bf4,0.031239783114317004,0.023915583134246944,0.10351565695548143,0.04132610381056678,0.07648267336538095,,,,,True,,11,-0.027790750999999947,0.0304780714,711.6226999999999,0.04124607469090236,0.0304780714,1.374869156363412,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027826669394551178,0.03107533848891204,0.04171330952818428,0.025260322206113777,0.6492819353611109,0.0929556248346724,0.10334000406041066,0.4146,272.1719467639923,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5249793740277002,3876.3195630381815,1003876.3195630382,0.0020314557782867373,0.0011155627123559707,1.0,0.48062915582479804,0.2627203077685565,0.07913180133263549,3000039.027173925,39.027173925371834,"[0.0310640623,0.0302922201,0.0304780714]",0.0310640623,0.03061145126666667,0.0304780714,0.027795203000000046,0.0310640623,0.035468743333333386,0.0,0.03340004060410662,0.0,0.035468743333333386,0.06886878393744,0.04871954911533821,5.250544839773996,1003876.3195630382,13
Stage2.2,4,s22g004_7b0aab303f40c745,33,probe_c2_h12_p,multi_center_probes,2.968785324233707,42.698729152796034,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.785660286921846,0.13358125403562732,-0.3824613495828374,2.197430148757632,-0.33131052265432653,-0.9135307129819165,-1.4398591074137583,0.18984711051340608,-0.6294257891487809,0.0306486940965105,0.04047750769184573]",s22g004_7b0aab303f40c745,0.03123083772979482,0.025284004585510278,0.09884371233122961,0.041027924326493936,0.041027924326493936,,,,,True,,11,-0.02815669300000001,0.0302854788,741.4470000000001,0.04135226217320522,0.0302854788,1.3784087391068407,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028064004746811488,0.031013798584443388,0.041826356105516535,0.025007845509993572,0.6494524714715972,0.09312594589547436,0.10316556217898014,0.4147,259.4963083267212,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237564396104998,3868.519434807822,1003868.5194348078,0.00197253848491401,0.0010020783908989501,1.0,0.4716395599396997,0.25960912938093933,0.0789314972244249,3000039.0671160133,39.06711601319151,"[0.0310641697,0.0302413992,0.0302854788]",0.0310641697,0.030530349233333337,0.0302854788,0.02815669300000001,0.0310641697,0.03547232333333339,0.0,0.031655621789801414,0.0,0.03547232333333339,0.0671279451231348,0.04754328673496921,5.23203424700839,1003868.5194348078,3
Stage2.2,3,s22g003_da81ee67066f0a3d,13,probe_c0_h12_p,multi_center_probes,2.9445598166250857,47.21037394366272,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1140883421788616,-0.31533565205519465,2.2669868817729637,-0.19295008593500526,-1.120668045737754,-1.409063758469233,0.18220407007822167,-0.5390044086987542,-0.2430580047699112,-0.022731279153778525]",s22g003_da81ee67066f0a3d,0.031328731250422015,0.024531032239021002,0.1027956124938332,0.044291041680733834,0.07224716661906583,,,,,True,,11,-0.027570151000000043,0.030551238,710.7912000000033,0.041152051826068736,0.030551238,1.371735060868958,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027728316743667842,0.031098954082093094,0.04166538724693802,0.024159345489001918,0.649282047084511,0.09256445797489611,0.10319521429818013,0.4146,266.9550278186798,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.526062211617548,3875.8530568613205,1003875.8530568613,0.002051264444593907,0.001020939441129472,1.0,0.4806748053577073,0.26018758889977656,0.0694325157325768,3000038.968308294,38.96830829424165,"[0.0310658699,0.0303189393,0.030551238]",0.0310658699,0.03064534906666667,0.030551238,0.027749525000000053,0.0310658699,0.03552899666666676,0.0,0.03195214298180127,0.0,0.03552899666666676,0.06748113964846802,0.047783355316150515,5.245476284694018,1003875.8530568613,1
