stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank
Stage2.2,0,s22g000_571ab4a158d29207,29,probe_c2_h10_p,multi_center_probes,2.9411571879472933,58.10235923027309,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.2042261679559902,1.8459077094025633,0.09945774008274161,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.49809345181810927,0.18286250362187767,0.16955042464019665]",s22g000_571ab4a158d29207,0.03167518118245366,0.029515473039052345,0.09036012449882486,0.05583937274845541,0.05583937274845541,,,,,True,,11,-0.027431536000000034,0.030649538,773.8056000000033,0.04113250961141007,0.030649538,1.371083653713669,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02754933805798032,0.03141450789365023,0.04178321832546047,0.010081189677419512,0.6492383287639514,0.08324777864381867,0.09481818063529814,0.41409999999999997,263.18604588508606,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5262872743686003,5276.8830534957815,1005276.8830534958,0.0029815935557918494,0.0,1.0,0.4574431692397247,0.24803930535447694,0.058879663186409976,1000038.5901472762,38.59014727617652,"[0.0315062376,0.0307113869,0.030649538]",0.0315062376,0.030955720833333335,0.030649538,0.027548106000000017,0.0315062376,0.05020792000000007,0.0,0.0,0.0,0.05020792000000007,0.05020792000000007,0.05020792000000007,5.05145349589647,1005276.8830534958,74
Stage2.2,2,s22g002_e66fb8b248b46533,58,corner_local_0076,corner_local,2.956140357831291,58.046290199446375,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.1933289621186378,1.8372189280910176,0.10983315169765231,-0.37819104507947054,2.1398741735245332,-0.29441008756638437,-0.9196148923676775,-1.310906582737987,0.18446901041852423,-0.6123570383020945,-0.06513165996609745,0.04384139339374735]",s22g002_e66fb8b248b46533,0.03167355948449619,0.022760350933649746,0.0920598688787331,0.05578531614987314,0.05578531614987314,,,,,True,,11,-0.02735616900000004,0.0308257613,740.9024000000027,0.04121392412863814,0.0308257613,1.3737974709546046,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02753791428534447,0.0314244531703139,0.04178316623043579,0.01239653987732595,0.649314019602587,0.08351736656638876,0.09498881938965426,0.4144,276.880224943161,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5253496439340262,5046.509790207492,1005046.5097902075,0.0029067433925011724,0.0,1.0,0.46745758269918775,0.24996006087783817,0.06434790027355466,1000038.6174459198,38.617445919772685,"[0.0314404141,0.0307080564,0.0308257613]",0.0314404141,0.0309914106,0.0308257613,0.027562587000000027,0.0314404141,0.048013803333333493,0.0,0.0,0.0,0.048013803333333493,0.048013803333333493,0.048013803333333493,5.0604402074342625,1005046.5097902075,76
Stage2.2,0,s22g000_08ebc4c47521991a,57,corner_local_0037,corner_local,2.9792314057456704,54.383676255506344,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.210627386817371,1.9390939434388446,0.12712154815418839,-0.36979893056547597,2.0673124031561376,-0.31576213023521976,-0.9337004934345428,-1.3002588102032153,0.17025607940293364,-0.42766631207706063,-0.12610654327603157,0.13122274397855763]",s22g000_08ebc4c47521991a,0.03156790049831103,0.03367794394155757,0.09837076688233436,0.052263349943700854,0.052263349943700854,,,,,True,,11,-0.02730315900000002,0.0311605671,693.1806000000033,0.041429982299934484,0.0311605671,1.3809994099978162,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027464993060584756,0.031673349023503175,0.04192286824851823,0.017970756932217797,0.64946224871793,0.08074794517531088,0.09058018266177138,0.4143,255.60835933685303,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5228613565383226,5823.723704733071,1005823.7237047331,0.003658128738499314,0.0,1.0,0.463174514164685,0.24819131420330467,0.06142061341622263,1000038.6385231991,38.63852319913656,"[0.0316624908,0.0309981158,0.0311605671]",0.0316624908,0.03127372456666667,0.0311605671,0.027479243000000042,0.0316624908,0.05541635999999994,0.0,0.0,0.0,0.05541635999999994,0.05541635999999994,0.05541635999999994,5.005904733077737,1005823.7237047331,80
Stage2.2,0,s22g000_459fe0b5cbfc4a1a,35,probe_c2_h13_p,multi_center_probes,2.9410246755712297,58.67213726813541,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.2042261679559902,1.8099077094025633,0.11545774008274162,-0.3924862623304618,1.9935331231245323,-0.3371861759092953,-0.7957178132641703,-1.1874393168505422,0.09160775102737818,-0.4080934518181093,0.09286250362187769,0.16955042464019665]",s22g000_459fe0b5cbfc4a1a,0.031691617125616724,0.03392832637807534,0.09231735562445804,0.05638723752055741,0.05638723752055741,,,,,True,,11,-0.027505875000000013,0.0304582331,755.9287000000004,0.04103994545670792,0.0304582331,1.367998181890264,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02764660489819845,0.03129647215405667,0.041758878477357785,0.013795206166332934,0.6492303712697887,0.08612540102423603,0.0970017976438075,0.41415,266.4250752925873,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.527353312362245,4963.750435791211,1004963.7504357912,0.0026996286551606435,0.0,1.0,0.4527243866282751,0.24056497702728705,0.04769340331897035,1000038.6405141293,38.64051412934046,"[0.0314167606,0.0305853785,0.0304582331]",0.0314167606,0.030820124066666666,0.0304582331,0.02766392399999995,0.0314167606,0.04722535333333355,0.0,0.0,0.0,0.04722535333333355,0.04722535333333355,0.04722535333333355,5.08833579121395,1004963.7504357912,56
Stage2.2,2,s22g002_04d565e3ae6a5984,90,random_corner_parent_13_0002,random_local,2.9273021669249784,50.38417508155052,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.1926267570022948,1.855920907572726,0.10871066679965737,-0.33959982497397984,2.175055398503334,-0.29043676757950854,-0.9062449866656572,-1.2553777298521145,0.1425859704280112,-0.46602643266902705,1.8991632498599822e-05,0.0545618103190114]",s22g002_04d565e3ae6a5984,0.03144976079702021,0.028534855189798012,0.10024131940795165,0.04832535990067366,0.050738553980190115,,,,,True,,11,-0.027218819999999977,0.0306128151,761.1390000000029,0.04096350339679441,0.0306128151,1.3654501132264802,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02748197500713184,0.031362612710911904,0.04169978928420709,0.00299921768606447,0.6494885753962506,0.08477519143293272,0.09850071865904432,0.41435,284.70914936065674,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.528233676261667,5044.316294358228,1005044.3162943582,0.002845243949614565,0.0,1.0,0.46187942839981533,0.24740947813761716,0.06969872352687671,1000038.6441370777,38.644137077704016,"[0.031439764,0.0306314329,0.0306128151]",0.031439764,0.030894670666666665,0.0306128151,0.027541449999999967,0.031439764,0.04799213333333352,0.0,0.0,0.0,0.04799213333333352,0.04799213333333352,0.04799213333333352,5.142294358145557,1005044.3162943582,75
Stage2.2,3,s22g003_d5bd75ee46ab1942,88,trust_mix_0044,trust_mix,2.9263769016660888,53.30811837511978,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.194252959094087,1.853472780085176,0.11214326614628482,-0.31282770911186686,2.1191360821782794,-0.232468452727907,-0.9989906388435393,-1.2740504858621358,0.1999114244364871,-0.5545935114415751,-0.07681684916477671,0.02022696484139309]",s22g003_d5bd75ee46ab1942,0.03153689003671451,0.025193248787151776,0.09802116209613881,0.05122966789048378,0.05122966789048378,,,,,True,,11,-0.02712387100000002,0.0306652489,722.9655000000021,0.0409397345878499,0.0306652489,1.3646578195949968,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02742355197288335,0.03131105700337211,0.04162251185930339,0.011640336886690063,0.6493114154672998,0.08726202297967144,0.099356783895937,0.41435,265.96550726890564,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5285074156317294,4685.009701260831,1004685.0097012608,0.002634226298241653,0.0,1.0,0.4687166374868533,0.2496068197144609,0.05175348427414165,1000038.649243612,38.649243611962184,"[0.0313371012,0.0305653105,0.0306652489]",0.0313371012,0.030855886866666668,0.0306652489,0.027498396000000036,0.0313371012,0.0445700400000002,0.0,0.0,0.0,0.0445700400000002,0.0445700400000002,0.0445700400000002,5.155501260815085,1004685.0097012608,73
Stage2.2,2,s22g002_ae183a2664daa660,54,corner_local_0053,corner_local,2.944869517478446,52.91428881948138,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.1832889945139082,1.833914729373787,0.08164683891201041,-0.35587389002297837,2.132286884044008,-0.25271896317250536,-0.8825817765918247,-1.3240771641418831,0.17325000634347765,-0.4602128890124276,-0.02537913354123253,0.07791638216201704]",s22g002_ae183a2664daa660,0.031525524234355,0.02772093812359201,0.09678963546353483,0.050850807811833265,0.050850807811833265,,,,,True,,11,-0.027457198999999988,0.0307337543,721.7036000000007,0.041212394134512116,0.0307337543,1.373746471150404,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027583652700082187,0.03142699377083908,0.04181523446964168,0.009328980937182953,0.6494955084912529,0.08369648950957496,0.0957835325342053,0.41445,276.24039793014526,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5253672644899924,5193.615802897955,1005193.615802898,0.0029843260803980457,0.0,1.0,0.46369409862719935,0.2518717072306462,0.057363909108339925,1000038.6505203238,38.650520323729886,"[0.031482439,0.0307089651,0.0307337543]",0.031482439,0.0309750528,0.0307337543,0.027584684999999998,0.031482439,0.0494146333333334,0.0,0.0,0.0,0.0494146333333334,0.0494146333333334,0.0494146333333334,5.079302897852921,1005193.615802898,80
Stage2.2,0,s22g000_b260185d47b9b429,90,random_corner_parent_26_0017,random_local,2.927880381165338,51.00500890345913,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.2038334938880324,1.9128593968284897,0.10158316245378328,-0.3169418155775542,2.038624238870603,-0.287297516287598,-0.8866239740169685,-1.2267031857855566,0.14894833295180668,-0.38577236727709074,-0.11912726524553433,0.08800031272652074]",s22g000_b260185d47b9b429,0.031426867650826716,0.03897033695378898,0.10377746217747001,0.047562255027557176,0.08533687680225732,,,,,True,,11,-0.027326057999999986,0.0306053678,728.375,0.04102928203116209,0.0306053678,1.3676427343720696,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027500923064603625,0.031387096529670304,0.04173069131907701,0.007326272517622304,0.6494776172391141,0.08525801821710399,0.09783494403730812,0.4143,268.6889750957489,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5274761203413255,5181.351952800527,1005181.3519528005,0.00294265729204576,0.0,1.0,0.45935195663658707,0.24312571444879227,0.0503514433613439,1000038.6533419801,38.65334198005608,"[0.0314789216,0.0306576603,0.0306053678]",0.0314789216,0.030913983233333334,0.0306053678,0.027525962999999987,0.0314789216,0.04929738666666683,0.0,0.0,0.0,0.04929738666666683,0.04929738666666683,0.04929738666666683,5.126352800560216,1005181.3519528005,71
Stage2.2,0,s22g000_bb4043c52a375467,30,probe_c2_h11_m,multi_center_probes,2.9619964271375565,61.93159920498857,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.1682261679559902,1.8459077094025633,0.11545774008274162,-0.3924862623304618,1.9935331231245323,-0.3371861759092953,-0.7057178132641703,-1.277439316850542,0.12760775102737817,-0.49809345181810927,0.09286250362187769,0.16955042464019665]",s22g000_bb4043c52a375467,0.03178563401655915,0.032384941575019366,0.08867426301144535,0.059521133885305,0.059521133885305,,,,,True,,11,-0.027566431000000002,0.0307147886,734.7664000000004,0.04127113224543823,0.0307147886,1.3757044081812744,0.5817437020072838,0.7819287599363928,0.023457862798091783,1,0.6279649485659721,0.0,-0.3441121188564283,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027583332317566354,0.03151204624013673,0.04187898375058564,0.02033828035212072,0.6492219153268897,0.0838155741006886,0.09276189481949033,0.41409999999999997,263.7549469470978,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5246907925001206,5699.765998134739,1005699.7659981347,0.003299583045017212,0.0,1.0,0.4537494306504733,0.24514882506245622,0.04796923748762506,1000038.6593241914,38.65932419135131,"[0.0316270669,0.030825499,0.0307147886]",0.0316270669,0.031055784833333332,0.0307147886,0.027566431000000002,0.0316270669,0.05423556333333335,0.0,0.0,0.0,0.05423556333333335,0.05423556333333335,0.05423556333333335,5.031848134755803,1005699.7659981347,78
Stage2.2,1,s22g001_99d0a15bdcd1e023,18,probe_c0_h07_m,multi_center_probes,2.9333004925884043,48.76911453678599,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2243138682952701,1.901807993302751,0.11039209587785585,-0.3135698200043853,2.0821650835231416,-0.30651237917391877,-0.9651869355305808,-1.237995903924138,0.1481780996856758,-0.4348661927695651,-0.07789027779866989,0.043584910252844646]",s22g001_99d0a15bdcd1e023,0.03135925905033371,0.034082736595522585,0.10404700280072837,0.04530863501112381,0.08577866301840742,,,,,True,,11,-0.027355362999999966,0.0306670393,761.849000000002,0.041094807266727894,0.0306670393,1.3698269088909298,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02756312234787721,0.031365444698440575,0.04175544077955569,0.0037264817758289235,0.6494913235923215,0.08424932729080192,0.09791583141307152,0.4143,275.40151047706604,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5267214827509922,4965.678530153586,1004965.6785301536,0.002819167367704403,0.0,1.0,0.46247563116829726,0.24525526670876305,0.05921426017617352,1000038.6619047126,38.661904712500565,"[0.0314173018,0.0306313377,0.0306670393]",0.0314173018,0.03090522626666667,0.0306670393,0.027605391000000035,0.0314173018,0.04724339333333338,0.0,0.0,0.0,0.04724339333333338,0.04724339333333338,0.04724339333333338,5.122230153613489,1004965.6785301536,69
