stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank,source_stage,source_run,source_generation_group,vector,vector_digest,result_relative_path
Stage2.2,1,s22g001_e7867931b32c3a50,25,probe_c1_h11_p,multi_center_probes,2.931989674530063,51.72276360006642,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2313401768972367,1.8197570748969636,0.1017763421788616,-0.31250065205519467,2.2641518817729636,-0.16986508593500527,-1.1243130457377541,-1.3398087584692329,0.20990607007822168,-0.5426494086987542,-0.1738030047699112,-0.024189279153778526]",s22g001_e7867931b32c3a50,0.031471229104557276,0.026012323887996933,0.10172708686333883,0.049040970151909224,0.06631183878529745,,,,,True,,11,-0.027195579999999997,0.0305993209,703.2738000000027,0.040937977613428544,0.0305993209,1.3645992537809515,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027526226292183237,0.031163960378957706,0.041579869653351795,0.022308996880408334,0.6493183822112883,0.09240294721537548,0.10303488188646727,0.41455,281.1035053730011,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5285276502624356,4134.26152562676,1004134.2615256268,0.0022141411124952212,0.0009210508064807048,1.0,0.4778043992820854,0.2573830546892362,0.06558217933974088,3000038.8796804743,38.8796804745003,"[0.0311419994,0.0303911549,0.0305993209]",0.0311419994,0.03071082506666667,0.0305993209,0.027617522000000005,0.0311419994,0.03806664666666659,0.0,0.030348818864672555,0.0,0.03806664666666659,0.06841546553133915,0.04868388229101643,5.251114543764836,1004134.2615256268,1,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2313401768972367,1.8197570748969636,0.1017763421788616,-0.31250065205519467,2.2641518817729636,-0.16986508593500527,-1.1243130457377541,-1.3398087584692329,0.20990607007822168,-0.5426494086987542,-0.1738030047699112,-0.024189279153778526]",v_e7867931b32c3a50,
Stage2.2,1,s22g001_6c0a81d032160a6b,47,corner_local_0069,corner_local,2.937491794991349,47.870616825605815,"[2.413946689140234,1.2100260733143955,0.4613863721475013,1.2220793333517084,1.8401236494395452,0.11182770269536833,-0.2907054552366149,2.144993810348946,-0.32607706802793784,-0.9406740570622067,-1.3339244057681552,0.11298138700819443,-0.4040272337461903,-0.11661957328049315,-0.0007773303144941457]",s22g001_6c0a81d032160a6b,0.03135874470939356,0.03107922188090457,0.10184522995503104,0.04529149031311874,0.06374378986342899,,,,,True,,11,-0.027904936999999963,0.0302777786,797.0258000000031,0.04117559211383104,0.0302777786,1.3725197371277014,0.5817437020072838,0.7819341870162442,0.023458025610487324,1,0.6279889312000577,0.0,-0.3441214478441469,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02788602693978361,0.031096735871199536,0.04176885778100097,0.020311992498545484,0.6494045298806584,0.09272149906377852,0.1033953631719034,0.4147,268.6623432636261,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5257911040682305,4309.75985870813,1004309.7598587081,0.0022405370479422473,0.001152849106911783,1.0,0.46456298558777875,0.25023008423073245,0.06933345653507296,3000039.0076852436,39.00768524349217,"[0.0311874663,0.0303229739,0.0302777786]",0.0311874663,0.030596072933333333,0.0302777786,0.027904936999999963,0.0311874663,0.03958221000000006,0.0,0.03395363171903387,0.0,0.03958221000000006,0.07353584171903393,0.05214978864191003,5.245703189999742,1004309.7598587081,5,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.413946689140234,1.2100260733143955,0.4613863721475013,1.2220793333517084,1.8401236494395452,0.11182770269536833,-0.2907054552366149,2.144993810348946,-0.32607706802793784,-0.9406740570622067,-1.3339244057681552,0.11298138700819443,-0.4040272337461903,-0.11661957328049315,-0.0007773303144941457]",v_6c0a81d032160a6b,
Stage2.2,1,s22g001_bf14ac8d10aca52f,22,probe_c1_h10_m,multi_center_probes,2.930690116840093,54.11250832780521,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.1989401768972368,1.8197570748969636,0.1161763421788616,-0.31250065205519467,2.201151881772964,-0.16986508593500527,-1.0433130457377542,-1.3398087584692329,0.24230607007822166,-0.5426494086987542,-0.2548030047699112,-0.024189279153778526]",s22g001_bf14ac8d10aca52f,0.03156009234884529,0.025568370297214642,0.09906113428935424,0.052003078294843075,0.052003078294843075,,,,,True,,11,-0.027224307999999975,0.0305463906,666.7050000000017,0.04091753810735234,0.0305463906,1.3639179369117447,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027485852828335378,0.0311799572053346,0.041565151714235436,0.013670250488195758,0.649306036043951,0.08993079776695631,0.10210060232916943,0.41445,253.2462739944458,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5287630468921427,4267.246724988101,1004267.2467249881,0.0022969809183298975,0.0004412530145311996,1.0,0.475955738779446,0.25469413254613094,0.0551775224980422,3000038.745215789,38.74521578881718,"[0.0311922295,0.0304101556,0.0305463906]",0.0311922295,0.030716258566666668,0.0305463906,0.027544188000000025,0.0311922295,0.039740983333333535,0.0,0.02100602329169421,0.0,0.039740983333333535,0.060747006625027744,0.04495107085300075,5.209294301527238,1004267.2467249881,2,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.1989401768972368,1.8197570748969636,0.1161763421788616,-0.31250065205519467,2.201151881772964,-0.16986508593500527,-1.0433130457377542,-1.3398087584692329,0.24230607007822166,-0.5426494086987542,-0.2548030047699112,-0.024189279153778526]",v_bf14ac8d10aca52f,
Stage2.2,1,s22g001_5a2247fba3914382,40,corner_local_0062,corner_local,2.925224678034833,46.85587176017217,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2209606746221755,1.825798890810067,0.1070612357205479,-0.3166939484790194,2.2086973358122193,-0.2529045027886017,-0.9782854707309516,-1.335869231055953,0.2012724813115775,-0.522579802252218,-0.06603837744821768,0.06204331512710955]",s22g001_5a2247fba3914382,0.031314279228443494,0.030268735557319862,0.10316234898504328,0.04380930761478319,0.07543279746521603,,,,,True,,11,-0.027517213999999957,0.0303753382,701.1671999999999,0.04098607369688115,0.0303753382,1.3662024565627051,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027681288763703397,0.031129872245681645,0.041657204582784865,0.005248403280990713,0.649446147325156,0.08883856404631182,0.10286413788207387,0.41455,280.5220010280609,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5279737398154493,4305.181912818574,1004305.1819128186,0.0022676050360671603,0.0008203285807530591,1.0,0.4701133991789401,0.25386406674954604,0.06881663943553927,3000038.814868153,38.81486815323688,"[0.0311931885,0.0303559862,0.0303753382]",0.0311931885,0.0306415043,0.0303753382,0.027703432000000028,0.0311931885,0.03977295000000014,0.0,0.028641378820738694,0.0,0.03977295000000014,0.06841432882073883,0.04901240794386224,5.217189591773946,1004305.1819128186,4,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2209606746221755,1.825798890810067,0.1070612357205479,-0.3166939484790194,2.2086973358122193,-0.2529045027886017,-0.9782854707309516,-1.335869231055953,0.2012724813115775,-0.522579802252218,-0.06603837744821768,0.06204331512710955]",v_5a2247fba3914382,
Stage2.2,1,s22g001_f1ddb5d6f77ddb98,79,trust_mix_0018,trust_mix,2.934248275174936,46.46977171464294,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2076693441429442,1.7951924962800323,0.11000970569433265,-0.30800068055680846,2.1853691005143565,-0.2959246331752649,-0.9450046374333884,-1.3163383207554125,0.18346056466245675,-0.5178255547065058,-0.009949582802316087,0.07766646058549811]",s22g001_f1ddb5d6f77ddb98,0.03132648878332099,0.028764190780933178,0.10113871185857538,0.044216292777366384,0.05560341136312008,,,,,True,,11,-0.02772401400000002,0.0303204699,723.9891000000025,0.04108469115411485,0.0303204699,1.3694897051371617,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027817519454522883,0.031118473029446526,0.041739354957727244,0.009814969746258282,0.64945753712256,0.08993290231478723,0.1028049873717538,0.41455,257.9319272041321,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5268379874652436,4332.278785852133,1004332.2787858521,0.0022724652048788188,0.0007867954155698215,1.0,0.46620604876845817,0.25149230655292754,0.07106241028877772,3000038.873544102,38.87354410215007,"[0.0312017193,0.0303465039,0.0303204699]",0.0312017193,0.030622897700000002,0.0303204699,0.027815047000000037,0.0312017193,0.040057310000000124,0.0,0.028049873717537865,0.0,0.040057310000000124,0.06810718371753799,0.04890177399651194,5.217276985462908,1004332.2787858521,7,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2076693441429442,1.7951924962800323,0.11000970569433265,-0.30800068055680846,2.1853691005143565,-0.2959246331752649,-0.9450046374333884,-1.3163383207554125,0.18346056466245675,-0.5178255547065058,-0.009949582802316087,0.07766646058549811]",v_f1ddb5d6f77ddb98,
Stage2.2,1,s22g001_ae6ef04e6c7e6920,35,probe_c2_h01_p,multi_center_probes,2.9589895562389943,46.70674738772056,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.220493434942497,1.8015524869218462,0.11602045403562732,-0.3515598495828374,2.2232286487576323,-0.3226840226543265,-0.8803612129819165,-1.4139796074137585,0.20019891051340608,-0.5962562891487809,0.05652819409651051,0.05374530769184573]",s22g001_ae6ef04e6c7e6920,0.03134645646611994,0.028566940678141254,0.09832785744573468,0.04488188220399825,0.04488188220399825,,,,,True,,11,-0.02795326499999995,0.0303523467,735.4354000000021,0.041263179401946515,0.0303523467,1.3754393133982172,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02790777958497807,0.031126582590883117,0.04180560136095146,0.021295953611009964,0.649443178448678,0.09135784385483771,0.10169074140445837,0.41455,279.6130611896515,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247823833902114,4285.3933956647525,1004285.3933956648,0.0022614969856309106,0.00028586064967498734,1.0,0.4681843067722571,0.25789945304439105,0.08157948300961382,3000038.9291310855,38.92913108570985,"[0.0312026107,0.0303626942,0.0303523467]",0.0312026107,0.0306392172,0.0303523467,0.02795326499999995,0.0312026107,0.04008702333333347,0.0,0.016907414044583735,0.0,0.04008702333333347,0.056994437377917206,0.0435066671833434,5.2066456363043665,1004285.3933956648,3,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.220493434942497,1.8015524869218462,0.11602045403562732,-0.3515598495828374,2.2232286487576323,-0.3226840226543265,-0.8803612129819165,-1.4139796074137585,0.20019891051340608,-0.5962562891487809,0.05652819409651051,0.05374530769184573]",v_ae6ef04e6c7e6920,
Stage2.2,1,s22g001_892d4e420d25fa5c,42,corner_local_0057,corner_local,2.9321602494322327,47.00853643505475,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2067900718970233,1.818936887817145,0.11613457946536736,-0.3238013612679115,2.130654151108831,-0.326253935684422,-0.8966153628953288,-1.2718897420015214,0.20369951868870906,-0.5699454997941561,0.00640641205342608,0.11593613016039261]",s22g001_892d4e420d25fa5c,0.03134583426732227,0.03221954733056355,0.10080906724680434,0.04486114224407567,0.05295181471211907,,,,,True,,11,-0.027618142999999984,0.0302733522,710.4067000000032,0.04097850261043823,0.0302733522,1.3659500870146077,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027736552337416356,0.031111681855499267,0.04168036808191644,0.009921035883354554,0.6494312323690303,0.09001586907439177,0.10269311218129594,0.41450000000000004,261.87416100502014,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5280609341060176,4375.542433579452,1004375.5424335795,0.0022853370864470415,0.0007252853221044529,1.0,0.4638680033614493,0.2473007551838422,0.06721392316364465,3000038.824258508,38.82425850812004,"[0.0312155635,0.0303422705,0.0302733522]",0.0312155635,0.0306103954,0.0302733522,0.027743033000000028,0.0312155635,0.040518783333333364,0.0,0.026931121812959313,0.0,0.040518783333333364,0.06744990514629268,0.04865241129602999,5.212068364916854,1004375.5424335795,9,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.2067900718970233,1.818936887817145,0.11613457946536736,-0.3238013612679115,2.130654151108831,-0.326253935684422,-0.8966153628953288,-1.2718897420015214,0.20369951868870906,-0.5699454997941561,0.00640641205342608,0.11593613016039261]",v_892d4e420d25fa5c,
Stage2.2,1,s22g001_41d186d18526876e,28,probe_c2_h14_m,multi_center_probes,2.9531369213282153,48.046215900413024,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.188093434942497,1.8015524869218462,0.11602045403562732,-0.28855984958283737,2.2232286487576323,-0.2956840226543265,-0.9613612129819165,-1.4139796074137585,0.20019891051340608,-0.515256289148781,-0.02447180590348949,0.05374530769184573]",s22g001_41d186d18526876e,0.03138509666916922,0.02551431066466457,0.09907038168483771,0.04616988897230745,0.04616988897230745,,,,,True,,11,-0.027798796999999986,0.0304236941,714.9243999999999,0.04121133675746982,0.0304236941,1.373711225248994,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027800138161951978,0.03116137223581204,0.041759774920878776,0.01858899626855404,0.6494310312546883,0.09085234236880788,0.10187891322260367,0.41450000000000004,273.39213037490845,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5253794420343596,4349.0975595542695,1004349.0975595543,0.0023292495764861212,0.000353031489807492,1.0,0.46964893818950154,0.2580403694889855,0.0767829716663679,3000038.8966092775,38.89660927761895,"[0.0312184551,0.0303905759,0.0304236941]",0.0312184551,0.030677575033333335,0.0304236941,0.027798796999999986,0.0312184551,0.040615170000000145,0.0,0.01878913222603673,0.0,0.040615170000000145,0.059404302226036876,0.044750681826497385,5.212668823652417,1004349.0975595543,8,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.188093434942497,1.8015524869218462,0.11602045403562732,-0.28855984958283737,2.2232286487576323,-0.2956840226543265,-0.9613612129819165,-1.4139796074137585,0.20019891051340608,-0.515256289148781,-0.02447180590348949,0.05374530769184573]",v_41d186d18526876e,
Stage2.2,0,s22g000_723e3eb8dfa35275,15,probe_c0_h01_p,multi_center_probes,2.9265834042065055,83.420467700893,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.24051386829527,1.885607993302751,0.10319209587785586,-0.2820698200043853,2.0506650835231417,-0.29301237917391876,-0.9246869355305808,-1.278495903924138,0.1643780996856758,-0.4753661927695651,-0.11839027779866988,0.059784910252844645]",s22g000_723e3eb8dfa35275,0.03119892747925785,0.03993170427093986,0.10786467614370261,0.07864676143702609,0.11861101074562108,,,,,True,,11,-0.02777091399999998,0.030280849,734.122800000001,0.041087144955036674,0.030280849,1.3695714985012226,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02780568580202907,0.031126377606751996,0.04173736390620846,0.016133782195096116,0.6494912716243346,0.09199571129682539,0.1034398042584584,0.41445,263.6263689994812,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5268097276597073,4460.626181714819,1004460.6261817148,0.0023377382423469687,0.001183225333650855,1.0,0.4637118293334959,0.24624835981552629,0.05193750639601316,3000038.9563989732,38.95639897312414,"[0.0312300782,0.0303502273,0.030280849]",0.0312300782,0.030620384833333333,0.030280849,0.02778053199999997,0.0312300782,0.04100260666666666,0.0,0.03439804258458401,0.0,0.04100260666666666,0.07540064925125067,0.05352045484777042,5.242463195420213,1004460.6261817148,1,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2000,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.24051386829527,1.885607993302751,0.10319209587785586,-0.2820698200043853,2.0506650835231417,-0.29301237917391876,-0.9246869355305808,-1.278495903924138,0.1643780996856758,-0.4753661927695651,-0.11839027779866988,0.059784910252844645]",v_723e3eb8dfa35275,
Stage2.2,0,s22g000_b01b8c0b556a0bca,27,probe_c1_h08_p,multi_center_probes,2.918565931761255,90.11216660421518,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2151401768972367,1.8719570748969636,0.1089763421788616,-0.27400065205519464,2.302651881772964,-0.15636508593500525,-0.9938130457377542,-1.3803087584692328,0.1901060700782217,-0.5831494086987542,-0.3043030047699112,-0.007989279153778527]",s22g000_b01b8c0b556a0bca,0.03137988463241564,0.035342170586481834,0.10848491680464842,0.08484916804648401,0.13084532246033853,,,,,True,,11,-0.027299187999999974,0.0304133532,682.1005000000005,0.0408682972281363,0.0304133532,1.36227657427121,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027493162086768056,0.031142420975446897,0.04154183849736619,0.008501873175416988,0.6493112713769881,0.09067518369996122,0.1041085823724111,0.41435,267.64426016807556,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.529330141662831,4494.54012025299,1004494.540120253,0.002298406346616643,0.0016880449110887189,1.0,0.4770285863946149,0.2559126804501162,0.07142206975080276,3000038.86665013,38.86665012993234,"[0.0311936878,0.0303514785,0.0304133532]",0.0311936878,0.030652839833333334,0.0304133532,0.02752037399999996,0.0311936878,0.03978959333333343,0.0,0.04108582372411096,0.0,0.04108582372411096,0.08087541705744439,0.05719490054821995,5.26117906380756,1004494.540120253,3,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2000,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2151401768972367,1.8719570748969636,0.1089763421788616,-0.27400065205519464,2.302651881772964,-0.15636508593500525,-0.9938130457377542,-1.3803087584692328,0.1901060700782217,-0.5831494086987542,-0.3043030047699112,-0.007989279153778527]",v_b01b8c0b556a0bca,
