stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank,source_stage,source_run,source_generation_group,vector,vector_digest
Stage2.2,3,s22g003_fc29a0a4a8f8207e,35,probe_c2_h09_p,multi_center_probes,2.9709388517547453,45.86982205539864,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.773850486921846,0.12833245403562732,-0.4054248495828374,2.220393648757632,-0.32146902265432653,-0.8840062129819165,-1.4103346074137584,0.2016569105134061,-0.5999012891487809,0.06017319409651051,0.05228730769184573]",s22g003_fc29a0a4a8f8207e,0.03132231094231388,0.025008669602592577,0.09675817221819119,0.0440770314104626,0.0440770314104626,,,,,True,,11,-0.028066727000000014,0.0303986466,733.6794000000009,0.0413741329770694,0.0303986466,1.3791377659023132,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028024845229689517,0.031119261686649354,0.04187840013742423,0.02069177505876031,0.6494544093505583,0.09011839165085718,0.100610243945795,0.4147,266.56987714767456,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5235045590856271,4136.575008210959,1004136.575008211,0.0021869149135138473,3.7239767337943376e-05,1.0,0.4688170385268849,0.25844792316448784,0.08131329131199051,3000038.906841708,38.90684170766974,"[0.0311732918,0.0303668751,0.0303986466]",0.0311732918,0.030646271166666666,0.0303986466,0.028066727000000014,0.0311732918,0.03910972666666668,0.0,0.00610243945794986,0.0,0.03910972666666668,0.04521216612461654,0.039582957030511526,5.170720015447061,1004136.575008211,16,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.773850486921846,0.12833245403562732,-0.4054248495828374,2.220393648757632,-0.32146902265432653,-0.8840062129819165,-1.4103346074137584,0.2016569105134061,-0.5999012891487809,0.06017319409651051,0.05228730769184573]",v_fc29a0a4a8f8207e
Stage2.2,2,s22g002_967ed9090f44e00c,35,probe_c2_h05_p,multi_center_probes,2.959287683748103,46.9777471566381,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.235073434942497,1.7869724869218462,0.12250045403562732,-0.3799098495828374,2.194878648757632,-0.3105340226543265,-0.9168112129819165,-1.3775296074137584,0.21477891051340608,-0.6327062891487809,0.09297819409651051,0.03916530769184573]",s22g002_967ed9090f44e00c,0.03135427368114809,0.02674804214196467,0.09749269675744189,0.04514245603826983,0.04514245603826983,,,,,True,,11,-0.027862795999999967,0.0304482904,736.3578000000016,0.04127267606080743,0.0304482904,1.375755868693581,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02790924240502331,0.03115423057552938,0.041827166941780805,0.013389365569750712,0.6494555395659283,0.088224562288918,0.10019776714025508,0.41465,274.93580317497253,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5246730127683872,4221.836000131443,1004221.8360001314,0.002263835836944113,3.911184176467188e-06,1.0,0.46922283149171434,0.2569548990439794,0.07546213329357854,3000038.805107632,38.80510763204316,"[0.0312024927,0.0304007406,0.0304482904]",0.0312024927,0.03068384123333333,0.0304482904,0.02788521300000002,0.0312024927,0.04008308999999999,0.0,0.0019776714025507847,0.0,0.04008308999999999,0.04206076140255077,0.040131848800230546,5.152105720949723,1004221.8360001314,9,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2002,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.235073434942497,1.7869724869218462,0.12250045403562732,-0.3799098495828374,2.194878648757632,-0.3105340226543265,-0.9168112129819165,-1.3775296074137584,0.21477891051340608,-0.6327062891487809,0.09297819409651051,0.03916530769184573]",v_967ed9090f44e00c
Stage2.2,3,s22g003_d2161da6e6d9f2b6,28,probe_c2_h06_m,multi_center_probes,2.9648511898914256,46.3032643285494,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.221951434942497,1.773850486921846,0.12833245403562732,-0.3543948495828374,2.220393648757632,-0.2995990226543265,-0.9496162129819165,-1.4103346074137584,0.2016569105134061,-0.6655112891487809,0.1257831940965105,0.05228730769184573]",s22g003_d2161da6e6d9f2b6,0.031334815840864914,0.023300944910497518,0.09740066873182526,0.04449386136216393,0.04449386136216393,,,,,True,,11,-0.027882388999999952,0.0305068095,738.5840000000026,0.041329082281325924,0.0305068095,1.3776360760441977,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027922352205423155,0.031174287865715515,0.04185085395327313,0.015661476792095664,0.6494527576321965,0.08859105102193154,0.10020024491141852,0.4146,274.143830537796,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5240233965714467,4228.282533485908,1004228.2825334859,0.00229178659388641,4.009802454900339e-06,1.0,0.4715664071562481,0.25987171692941424,0.07749569701761742,3000038.840543195,38.840543195012394,"[0.0312043036,0.0304166481,0.0305068095]",0.0312043036,0.03070925373333333,0.0305068095,0.027895283999999965,0.0312043036,0.040143453333333357,0.0,0.002002449114185012,0.0,0.040143453333333357,0.04214590244751837,0.04019336572097954,5.160224641462193,1004228.2825334859,30,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.221951434942497,1.773850486921846,0.12833245403562732,-0.3543948495828374,2.220393648757632,-0.2995990226543265,-0.9496162129819165,-1.4103346074137584,0.2016569105134061,-0.6655112891487809,0.1257831940965105,0.05228730769184573]",v_d2161da6e6d9f2b6
Stage2.2,3,s22g003_ff758b52837a5751,34,probe_c2_h09_m,multi_center_probes,2.9477364212151604,46.8491606704793,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.221951434942497,1.8000944869218463,0.11666845403562731,-0.3543948495828374,2.169363648757632,-0.2995990226543265,-0.9496162129819165,-1.3447246074137584,0.22790091051340608,-0.6655112891487809,0.1257831940965105,0.026043307691845728]",s22g003_ff758b52837a5751,0.031350567787680785,0.02618300604782666,0.09848480911895417,0.045018926256026104,0.045018926256026104,,,,,True,,11,-0.027654100999999986,0.0304796306,745.3076000000001,0.04115528135769037,0.0304796306,1.3718427119230125,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027787068890786255,0.031169797280133513,0.04175736414126159,0.008183326370128105,0.649443589029739,0.08717178591889271,0.10033399714413183,0.4146,253.06343460083008,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5260250179174444,4255.220190045657,1004255.2201900457,0.002295743316242861,1.1155409228821554e-05,1.0,0.46978452870538673,0.2555542405077133,0.06964145206064991,3000038.7419684213,38.74196842113139,"[0.0312104486,0.0304129926,0.0304796306]",0.0312104486,0.030701023933333335,0.0304796306,0.02779858099999999,0.0312104486,0.04034828666666668,0.0,0.003339971441318257,0.0,0.04034828666666668,0.043688258107984934,0.04048628960727734,5.1522013398654884,1004255.2201900457,31,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.221951434942497,1.8000944869218463,0.11666845403562731,-0.3543948495828374,2.169363648757632,-0.2995990226543265,-0.9496162129819165,-1.3447246074137584,0.22790091051340608,-0.6655112891487809,0.1257831940965105,0.026043307691845728]",v_ff758b52837a5751
Stage2.2,3,s22g003_9a38726fe805d1d7,29,probe_c2_h06_p,multi_center_probes,2.9600481294766143,46.41691696419565,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.8000944869218463,0.11666845403562731,-0.4054248495828374,2.169363648757632,-0.32146902265432653,-0.8840062129819165,-1.3447246074137584,0.22790091051340608,-0.5999012891487809,0.06017319409651051,0.026043307691845728]",s22g003_9a38726fe805d1d7,0.031338095667775984,0.02787823041209533,0.09783784548643616,0.04460318892586623,0.04460318892586623,,,,,True,,11,-0.027842495999999994,0.0304325636,738.125,0.041247369743755306,0.0304325636,1.3749123247918438,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027891241969876242,0.03116225291227479,0.04182113562770342,0.012687795678291258,0.6494449219864435,0.0877788061081758,0.09974965583509365,0.41465,267.5575942993164,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5249644592310442,4286.298342821305,1004286.2983428213,0.0022941467428648195,0.0,1.0,0.4665901449569199,0.25409481627534436,0.07348845128191231,1000038.778143125,38.77814312499335,"[0.0312231882,0.0304152057,0.0304325636]",0.0312231882,0.03069031916666667,0.0304325636,0.02786838700000005,0.0312231882,0.04077294000000009,0.0,0.0,0.0,0.04077294000000009,0.04077294000000009,0.04077294000000009,5.13964282127856,1004286.2983428213,36,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.248195434942497,1.8000944869218463,0.11666845403562731,-0.4054248495828374,2.169363648757632,-0.32146902265432653,-0.8840062129819165,-1.3447246074137584,0.22790091051340608,-0.5999012891487809,0.06017319409651051,0.026043307691845728]",v_9a38726fe805d1d7
Stage2.2,2,s22g002_477bfcc758a86df6,57,corner_local_0050,corner_local,2.957572919201639,48.6641603246962,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2375031783137358,1.8354496935078448,0.10405129574045012,-0.3149202373877035,2.195372618380991,-0.26945749265186997,-1.021031183197771,-1.4359471532910104,0.15972302708580283,-0.5827840543312799,-0.06761365005531708,0.04376453478622129]",s22g002_477bfcc758a86df6,0.03140292070948569,0.023349514864312974,0.0982685566439679,0.046764023649523256,0.046764023649523256,,,,,True,,11,-0.027757608000000045,0.0305758415,737.0255000000034,0.041296088014662946,0.0305758415,1.3765362671554315,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027782390033414896,0.031185510804834688,0.041765982331644635,0.022648398212692787,0.6493246718346385,0.09030545716293185,0.1007443100217996,0.41455,263.79247760772705,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5244033832082647,4189.275611049845,1004189.2756110498,0.0022896857316233635,5.539974085512866e-05,1.0,0.4748177927945601,0.2597348059759726,0.06903291779159129,3000038.8788348413,38.87883484137878,"[0.0311867486,0.0304206167,0.0305758415]",0.0311867486,0.0307277356,0.0305758415,0.027757608000000045,0.0311867486,0.03955828666666683,0.0,0.007443100217995768,0.0,0.03955828666666683,0.0470013868846626,0.04025242582574769,5.188971018756699,1004189.2756110498,7,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2002,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2375031783137358,1.8354496935078448,0.10405129574045012,-0.3149202373877035,2.195372618380991,-0.26945749265186997,-1.021031183197771,-1.4359471532910104,0.15972302708580283,-0.5827840543312799,-0.06761365005531708,0.04376453478622129]",v_477bfcc758a86df6
Stage2.2,3,s22g003_24cd24e5fe391b99,17,probe_c0_h14_p,multi_center_probes,2.9383604422643335,49.230367284234745,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1024243421788616,-0.36636565205519467,2.2669868817729637,-0.19295008593500526,-1.055058045737754,-1.343453758469233,0.18220407007822167,-0.5390044086987542,-0.1774480047699112,0.0035127208462214735]",s22g003_24cd24e5fe391b99,0.031407764529089416,0.02519657048330071,0.10099620001178099,0.04692548430298049,0.05688748442079028,,,,,True,,11,-0.027344373000000033,0.0305646775,713.566700000003,0.041011147819125196,0.0305646775,1.3670382606375067,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027609197390099625,0.031157274130927698,0.041629839199728604,0.01711507103842698,0.6493232396611771,0.09024129189597924,0.10176114897261827,0.41465,273.7790219783783,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5276849674817585,4108.897813690244,1004108.8978136902,0.0022022247441959735,0.0003101645703754409,1.0,0.47562527132243654,0.25608058529141564,0.06996500389938712,3000038.781888953,38.78188895280392,"[0.0311512575,0.0303948673,0.0305646775]",0.0311512575,0.03070360076666667,0.0305646775,0.02767268700000003,0.0311512575,0.03837525000000008,0.0,0.01761148972618276,0.0,0.03837525000000008,0.055986739726182844,0.042223505100097355,5.202349685414415,1004108.8978136902,10,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1024243421788616,-0.36636565205519467,2.2669868817729637,-0.19295008593500526,-1.055058045737754,-1.343453758469233,0.18220407007822167,-0.5390044086987542,-0.1774480047699112,0.0035127208462214735]",v_24cd24e5fe391b99
Stage2.2,3,s22g003_1f0da96595c8e8bf,58,corner_local_0033,corner_local,2.9605223628298245,49.51965338656817,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2443710083089257,1.805951654035178,0.11283581435021856,-0.32530755387450794,2.2526985014551824,-0.21786844321592802,-1.1463850977510428,-1.449735573259424,0.18457517851753696,-0.5601039749192617,-0.1539483633917712,0.007341001722484794]",s22g003_1f0da96595c8e8bf,0.031427597543161725,0.01908415577034575,0.09779512187111057,0.04758658477205757,0.04758658477205757,,,,,True,,11,-0.027628377999999953,0.0307687104,711.7029000000002,0.041352639705222564,0.0307687104,1.3784213235074187,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027753999678214424,0.03121305841873171,0.041767685044654855,0.03270717993838844,0.6492819949469225,0.09155497011283566,0.1006010323691244,0.4146,255.38918709754944,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237520916695976,4018.73605940328,1004018.7360594033,0.0022539431679538553,3.6123990873527454e-05,1.0,0.4819049188096433,0.2636674775923338,0.07031281125369537,3000038.991967773,38.99196777323985,"[0.0311397156,0.0304533465,0.0307687104]",0.0311397156,0.030787257499999998,0.0307687104,0.02776093199999996,0.0311397156,0.03799051999999992,0.0,0.0060103236912438796,0.0,0.03799051999999992,0.044000843691243796,0.03846301601205918,5.217668626187658,1004018.7360594033,5,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2443710083089257,1.805951654035178,0.11283581435021856,-0.32530755387450794,2.2526985014551824,-0.21786844321592802,-1.1463850977510428,-1.449735573259424,0.18457517851753696,-0.5601039749192617,-0.1539483633917712,0.007341001722484794]",v_1f0da96595c8e8bf
Stage2.2,3,s22g003_1510fab5260eb641,84,trust_mix_0012,trust_mix,2.93720583893849,46.9775226046388,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2450909988820462,1.841521624385982,0.10649435856981719,-0.33416790472668273,2.1840111782401253,-0.29081844926810746,-0.977367057196672,-1.3156594316811152,0.16474228249870185,-0.6305406261849877,0.011144775217400482,0.09632038854207842]",s22g003_1510fab5260eb641,0.03135041960895621,0.02600425705410549,0.10033401025608511,0.04501398696520709,0.04835408952605813,,,,,True,,11,-0.027527387000000014,0.0304172992,734.4032000000007,0.04102400669937166,0.0304172992,1.3674668899790552,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02769771659096967,0.031129988104011123,0.04166820926929247,0.006280970882123155,0.6493210559433619,0.08812474381197259,0.10185927209126915,0.41455,271.23299074172974,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5275368750053289,4204.260342719033,1004204.260342719,0.002226518173193344,0.0003456892709372353,1.0,0.4697127004143186,0.25194413984559755,0.07079974400759897,3000038.7558834995,38.755883499290704,"[0.0311772915,0.0303621003,0.0304172992]",0.0311772915,0.030652230333333332,0.0304172992,0.027725073000000044,0.0311772915,0.03924305000000006,0.0,0.018592720912691485,0.0,0.03924305000000006,0.05783577091269154,0.04342471927646441,5.187539791732035,1004204.260342719,27,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2450909988820462,1.841521624385982,0.10649435856981719,-0.33416790472668273,2.1840111782401253,-0.29081844926810746,-0.977367057196672,-1.3156594316811152,0.16474228249870185,-0.6305406261849877,0.011144775217400482,0.09632038854207842]",v_1510fab5260eb641
Stage2.2,1,s22g001_ae6ef04e6c7e6920,35,probe_c2_h01_p,multi_center_probes,2.9589895562389943,46.70674738772056,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.220493434942497,1.8015524869218462,0.11602045403562732,-0.3515598495828374,2.2232286487576323,-0.3226840226543265,-0.8803612129819165,-1.4139796074137585,0.20019891051340608,-0.5962562891487809,0.05652819409651051,0.05374530769184573]",s22g001_ae6ef04e6c7e6920,0.03134645646611994,0.028566940678141254,0.09832785744573468,0.04488188220399825,0.04488188220399825,,,,,True,,11,-0.02795326499999995,0.0303523467,735.4354000000021,0.041263179401946515,0.0303523467,1.3754393133982172,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02790777958497807,0.031126582590883117,0.04180560136095146,0.021295953611009964,0.649443178448678,0.09135784385483771,0.10169074140445837,0.41455,279.6130611896515,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5247823833902114,4285.3933956647525,1004285.3933956648,0.0022614969856309106,0.00028586064967498734,1.0,0.4681843067722571,0.25789945304439105,0.08157948300961382,3000038.9291310855,38.92913108570985,"[0.0312026107,0.0303626942,0.0303523467]",0.0312026107,0.0306392172,0.0303523467,0.02795326499999995,0.0312026107,0.04008702333333347,0.0,0.016907414044583735,0.0,0.04008702333333347,0.056994437377917206,0.0435066671833434,5.2066456363043665,1004285.3933956648,3,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2001,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.220493434942497,1.8015524869218462,0.11602045403562732,-0.3515598495828374,2.2232286487576323,-0.3226840226543265,-0.8803612129819165,-1.4139796074137585,0.20019891051340608,-0.5962562891487809,0.05652819409651051,0.05374530769184573]",v_ae6ef04e6c7e6920
