stage,generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,proposal_rank_score,parameter_vector,validation_id,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,stage2_legacy_selection_score,stage2_legacy_continuous_objective,stage2_2_final3_box_errors_m,stage2_2_final3_box_max_error_m,stage2_2_final3_box_mean_error_m,stage2_2_terminal_box_error_m,stage2_2_final3_R_abs_max_error_m,stage2_2_final3_Z_abs_max_error_m,stage2_2_position_violation,stage2_2_terminal_speed_violation,stage2_2_late_speed_violation,stage2_2_ip_violation,stage2_2_max_violation,stage2_2_sum_violation,stage2_2_l2_violation,stage2_2_quality,stage2_2_selection_score,generation_rank,source_stage,source_run,source_generation_group,vector,vector_digest
Stage2.2,4,s22g004_b034e7d0314c08d6,15,probe_c0_h01_p,multi_center_probes,2.9506016191143845,45.489697070363896,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",s22g004_b034e7d0314c08d6,0.03128252390498092,0.023625545516144666,0.10249840587041852,0.042750796832697446,0.06773485553688263,,,,,True,,11,-0.02772740699999998,0.0305295905,714.4581000000035,0.04124154452783429,0.0305295905,1.3747181509278095,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0278260471449306,0.031081317033860602,0.041717348528774616,0.025239988889105364,0.6492791664455781,0.09247586268802246,0.10292384536629184,0.41465,265.3243944644928,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5250315467717124,3809.890905322274,1003809.8909053223,0.0020087617326147813,0.0008548871725986288,1.0,0.4811125546871861,0.2619869085620431,0.07461407105668431,3000038.991620855,38.99162085474234,"[0.0310505996,0.0303035016,0.0305295905]",0.0310505996,0.03062789723333333,0.0305295905,0.027823103000000016,0.0310505996,0.035019986666666725,0.0,0.02923845366291844,0.0,0.035019986666666725,0.06425844032958516,0.04562112053350009,5.237356803780768,1003809.8909053223,1,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",v_b034e7d0314c08d6
Stage2.2,4,s22g004_54c30ebb7f0d4602,48,corner_local_0072,corner_local,2.9541579728869825,45.204968356891214,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.242849787353827,1.7997330678930357,0.1078284617050061,-0.3014638557833348,2.1760601716041026,-0.22562057149904513,-1.058672785812392,-1.4562157175476935,0.21003690441795672,-0.5972722134565953,-0.10576424338602372,0.01680324414797135]",s22g004_54c30ebb7f0d4602,0.031303137310879685,0.022899304931010347,0.09969422637292111,0.043437910362656096,0.043437910362656096,,,,,True,,11,-0.02798601199999995,0.0304463151,701.3745000000017,0.041354503634218956,0.0304463151,1.3784834544739655,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02795738349758764,0.031058681114072978,0.041788239548667984,0.02640856926351871,0.649284013555224,0.09328791103076726,0.10349041625853456,0.41465,267.9944717884064,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237306252700609,3845.749864409212,1003845.7498644092,0.0020053972729704573,0.0012183005657842294,1.0,0.47854834008497554,0.26217873295679467,0.05905042667784508,3000039.0914364164,39.091436416437325,"[0.0310532819,0.030273767,0.0304463151]",0.0310532819,0.030591121333333332,0.0304463151,0.02798601199999995,0.0310532819,0.03510939666666668,0.0,0.034904162585345455,0.0,0.03510939666666668,0.07001355925201214,0.04950727522376459,5.248685510657541,1003845.7498644092,2,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.242849787353827,1.7997330678930357,0.1078284617050061,-0.3014638557833348,2.1760601716041026,-0.22562057149904513,-1.058672785812392,-1.4562157175476935,0.21003690441795672,-0.5972722134565953,-0.10576424338602372,0.01680324414797135]",v_54c30ebb7f0d4602
Stage2.2,4,s22g004_7b0aab303f40c745,33,probe_c2_h12_p,multi_center_probes,2.968785324233707,42.698729152796034,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.785660286921846,0.13358125403562732,-0.3824613495828374,2.197430148757632,-0.33131052265432653,-0.9135307129819165,-1.4398591074137583,0.18984711051340608,-0.6294257891487809,0.0306486940965105,0.04047750769184573]",s22g004_7b0aab303f40c745,0.03123083772979482,0.025284004585510278,0.09884371233122961,0.041027924326493936,0.041027924326493936,,,,,True,,11,-0.02815669300000001,0.0302854788,741.4470000000001,0.04135226217320522,0.0302854788,1.3784087391068407,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028064004746811488,0.031013798584443388,0.041826356105516535,0.025007845509993572,0.6494524714715972,0.09312594589547436,0.10316556217898014,0.4147,259.4963083267212,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5237564396104998,3868.519434807822,1003868.5194348078,0.00197253848491401,0.0010020783908989501,1.0,0.4716395599396997,0.25960912938093933,0.0789314972244249,3000039.0671160133,39.06711601319151,"[0.0310641697,0.0302413992,0.0302854788]",0.0310641697,0.030530349233333337,0.0302854788,0.02815669300000001,0.0310641697,0.03547232333333339,0.0,0.031655621789801414,0.0,0.03547232333333339,0.0671279451231348,0.04754328673496921,5.23203424700839,1003868.5194348078,3,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.785660286921846,0.13358125403562732,-0.3824613495828374,2.197430148757632,-0.33131052265432653,-0.9135307129819165,-1.4398591074137583,0.18984711051340608,-0.6294257891487809,0.0306486940965105,0.04047750769184573]",v_7b0aab303f40c745
Stage2.2,3,s22g003_da81ee67066f0a3d,13,probe_c0_h12_p,multi_center_probes,2.9445598166250857,47.21037394366272,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1140883421788616,-0.31533565205519465,2.2669868817729637,-0.19295008593500526,-1.120668045737754,-1.409063758469233,0.18220407007822167,-0.5390044086987542,-0.2430580047699112,-0.022731279153778525]",s22g003_da81ee67066f0a3d,0.031328731250422015,0.024531032239021002,0.1027956124938332,0.044291041680733834,0.07224716661906583,,,,,True,,11,-0.027570151000000043,0.030551238,710.7912000000033,0.041152051826068736,0.030551238,1.371735060868958,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027728316743667842,0.031098954082093094,0.04166538724693802,0.024159345489001918,0.649282047084511,0.09256445797489611,0.10319521429818013,0.4146,266.9550278186798,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.526062211617548,3875.8530568613205,1003875.8530568613,0.002051264444593907,0.001020939441129472,1.0,0.4806748053577073,0.26018758889977656,0.0694325157325768,3000038.968308294,38.96830829424165,"[0.0310658699,0.0303189393,0.030551238]",0.0310658699,0.03064534906666667,0.030551238,0.027749525000000053,0.0310658699,0.03552899666666676,0.0,0.03195214298180127,0.0,0.03552899666666676,0.06748113964846802,0.047783355316150515,5.245476284694018,1003875.8530568613,1,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2590421768972369,1.8182990748969636,0.1140883421788616,-0.31533565205519465,2.2669868817729637,-0.19295008593500526,-1.120668045737754,-1.409063758469233,0.18220407007822167,-0.5390044086987542,-0.2430580047699112,-0.022731279153778525]",v_da81ee67066f0a3d
Stage2.2,4,s22g004_55ac80dad456bfb4,45,corner_local_0010,corner_local,2.9514178946253695,44.64239379465368,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2567016388816485,1.8421382546424367,0.11550245430710485,-0.29751446101718565,2.165267685656124,-0.2228072625939908,-1.0738137630666105,-1.4553222836363389,0.18856786365225925,-0.5899111401552009,-0.18704148122445732,0.028889362001502418]",s22g004_55ac80dad456bfb4,0.031262569479391454,0.025094257911237393,0.10210951082534224,0.04208564931304859,0.0631807575664709,,,,,True,,11,-0.027825867999999976,0.0304926862,693.8873000000021,0.041280538291610165,0.0304926862,1.376017943053672,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027828610917019266,0.031081781821931467,0.04171940491901812,0.027151284974887543,0.6493196645953874,0.09322991551656358,0.10330170741855986,0.41455,271.07049202919006,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.524582465441752,3883.27760760847,1003883.2776076085,0.002043338029054701,0.0010901271877773232,1.0,0.4800818301963391,0.26114955918719646,0.05765123349497787,3000039.047473213,39.04747321328298,"[0.0310665694,0.0302968536,0.0304926862]",0.0310665694,0.03061870306666667,0.0304926862,0.027825867999999976,0.0310665694,0.03555231333333331,0.0,0.03301707418559863,0.0,0.03555231333333331,0.06856938751893193,0.04851900834857234,5.249715850856946,1003883.2776076085,5,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2567016388816485,1.8421382546424367,0.11550245430710485,-0.29751446101718565,2.165267685656124,-0.2228072625939908,-1.0738137630666105,-1.4553222836363389,0.18856786365225925,-0.5899111401552009,-0.18704148122445732,0.028889362001502418]",v_55ac80dad456bfb4
Stage2.2,4,s22g004_493c953c60f07abe,25,probe_c1_h07_p,multi_center_probes,2.958919397798331,45.39255073960008,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8272252748969635,0.1167595421788616,-0.31505215205519466,2.203703381772964,-0.17095858593500526,-1.0619835457377542,-1.4831382584692328,0.23483787007822168,-0.6859789086987541,-0.25152250476991117,-0.025501479153778525]",s22g004_493c953c60f07abe,0.031271790551173025,0.026890474038810376,0.1031855560957265,0.042393018372434144,0.07424857932969897,,,,,True,,11,-0.027842810999999967,0.0305462404,670.8544000000002,0.04133152461446724,0.0305462404,1.377717487148908,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02785168116580564,0.0310996294251176,0.04174809090415193,0.029845042636312255,0.6493309015503749,0.09354679616444068,0.10317609939037108,0.4146,274.2146487236023,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5239952688374425,3889.7083797679516,1003889.708379768,0.0020631520884895685,0.0010087607337515468,1.0,0.48446989956811015,0.2633667714619575,0.05632727559293367,3000039.0894958186,39.08949581843415,"[0.0310700903,0.0303129098,0.0305462404]",0.0310700903,0.03064308016666667,0.0305462404,0.027842810999999967,0.0310700903,0.03566967666666665,0.0,0.03176099390371068,0.0,0.03566967666666665,0.06743067057037733,0.047760722013555135,5.257308806138167,1003889.708379768,6,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8272252748969635,0.1167595421788616,-0.31505215205519466,2.203703381772964,-0.17095858593500526,-1.0619835457377542,-1.4831382584692328,0.23483787007822168,-0.6859789086987541,-0.25152250476991117,-0.025501479153778525]",v_493c953c60f07abe
Stage2.2,4,s22g004_9e6cb2afb7b54664,27,probe_c1_h08_p,multi_center_probes,2.9423180919731577,60.14554433740708,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8508448748969635,0.1272571421788616,-0.31505215205519466,2.2496303817729637,-0.17095858593500526,-1.0619835457377542,-1.4240892584692328,0.21121827007822166,-0.6859789086987541,-0.25152250476991117,-0.04912107915377853]",s22g004_9e6cb2afb7b54664,0.03126838452972956,0.028605465748546825,0.1056177828637995,0.05617782863799481,0.09845731296231364,,,,,True,,11,-0.02752458400000002,0.0304999533,697.2423000000017,0.04108345014327835,0.0304999533,1.3694483381092786,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.0276702995522708,0.03108653234071923,0.04161751999198151,0.021622362186469103,0.6493048913946,0.09249031715588606,0.10350839072009671,0.41450000000000004,279.9978666305542,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5268522798736439,3912.623189865728,1003912.6231898657,0.0020554360784251907,0.0012308805444860634,1.0,0.48256171884198046,0.2597795087991678,0.06460975820977304,3000038.939417286,38.93941728585752,"[0.0310721999,0.0302980656,0.0304999533]",0.0310721999,0.030623406266666667,0.0304999533,0.02768225099999999,0.0310721999,0.03573999666666672,0.0,0.03508390720096699,0.0,0.03573999666666672,0.07082390386763371,0.050082211474928015,5.245696253659906,1003912.6231898657,7,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2562719768972368,1.8508448748969635,0.1272571421788616,-0.31505215205519466,2.2496303817729637,-0.17095858593500526,-1.0619835457377542,-1.4240892584692328,0.21121827007822166,-0.6859789086987541,-0.25152250476991117,-0.04912107915377853]",v_9e6cb2afb7b54664
Stage2.2,4,s22g004_ab52c47b99f5295c,31,probe_c2_h11_p,multi_center_probes,2.963687846452603,42.30860884118522,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.7620406869218461,0.12308365403562732,-0.3824613495828374,2.243357148757632,-0.33131052265432653,-0.9135307129819165,-1.3808101074137584,0.18984711051340608,-0.570376789148781,0.08969769409651052,0.04047750769184573]",s22g004_ab52c47b99f5295c,0.031219585729693862,0.024085633262178455,0.09929445685004534,0.040652857656462205,0.040652857656462205,,,,,True,,11,-0.028086873999999984,0.0302511295,754.5795000000035,0.04127957518092507,0.0302511295,1.3759858393641693,0.5817437020072838,0.7819410457617871,0.023458231372853616,1,0.6280101555085302,0.0,-0.3441332378223096,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.028078327489747163,0.03102010441958031,0.041840642356722454,0.0166997001488921,0.6494047587756094,0.0914957714908661,0.1030893800840142,0.41479999999999995,255.6192009449005,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5245935573442893,3950.740489708842,1003950.7404897088,0.0020151846685176906,0.000954426930350361,1.0,0.46760803501539394,0.2571750692490996,0.08613092806545454,3000038.9894590196,38.989459019577026,"[0.0310887371,0.0302511518,0.0302511295]",0.0310887371,0.030530339466666667,0.0302511295,0.028086873999999984,0.0310887371,0.03629123666666678,0.0,0.03089380084014204,0.0,0.03629123666666678,0.06718503750680882,0.04766005443918817,5.216618575758145,1003950.7404897088,9,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.260005234942497,1.7620406869218461,0.12308365403562732,-0.3824613495828374,2.243357148757632,-0.33131052265432653,-0.9135307129819165,-1.3808101074137584,0.18984711051340608,-0.570376789148781,0.08969769409651052,0.04047750769184573]",v_ab52c47b99f5295c
Stage2.2,4,s22g004_a9a763633fd58796,58,corner_local_0044,corner_local,2.9552189726316067,45.5009581075787,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2501277021444333,1.8357394861086753,0.11096479789996043,-0.3115092784688397,2.2008772286849925,-0.22743981636329189,-1.048204595031187,-1.4730624452319767,0.21345115375330537,-0.5864658064728068,-0.15057607866948683,0.015993303533179706]",s22g004_a9a763633fd58796,0.03130318748105202,0.024256540175821288,0.10073559977012259,0.04343958270173398,0.05079558040295984,,,,,True,,11,-0.02781503299999999,0.0305076928,694.3919000000024,0.041284323668558026,0.0305076928,1.3761441222852675,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.027812144325447333,0.03110306737248851,0.04172428755481718,0.026825587061048952,0.6493217886253072,0.09270479234816931,0.10272803488224544,0.41455,272.13842391967773,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5245388702113989,3946.0264378780266,1003946.026437878,0.002092674419510277,0.0007442174318747797,1.0,0.47941982917456244,0.26281357194111843,0.06382463554828866,3000039.007538808,39.00753880787204,"[0.0310921657,0.0303227988,0.0305076928]",0.0310921657,0.030640885766666667,0.0305076928,0.02781503299999999,0.0310921657,0.036405523333333356,0.0,0.027280348822454226,0.0,0.036405523333333356,0.06368587215578758,0.045492631942421834,5.237983979189391,1003946.026437878,8,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2004,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2501277021444333,1.8357394861086753,0.11096479789996043,-0.3115092784688397,2.2008772286849925,-0.22743981636329189,-1.048204595031187,-1.4730624452319767,0.21345115375330537,-0.5864658064728068,-0.15057607866948683,0.015993303533179706]",v_a9a763633fd58796
Stage2.2,3,s22g003_96f3cb5d7f89acac,25,probe_c1_h03_p,multi_center_probes,2.9440294249425887,47.898630671085485,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2444621768972368,1.8390350748969635,0.11034434217886159,-0.28698565205519466,2.226666881772964,-0.18080008593500527,-1.1571180457377541,-1.3880037584692329,0.22302807007822167,-0.6564544086987542,-0.2876080047699112,-0.011067279153778526]",s22g003_96f3cb5d7f89acac,0.031336696169550454,0.025366382955012323,0.10382597458105088,0.044556538985015104,0.08281628479552383,,,,,True,,11,-0.027431996999999986,0.0306333957,678.7186000000002,0.04112079025895279,0.0306333957,1.37069300863176,0.5817437020072838,0.7819332053556993,0.02345799616067098,1,0.6279867362113741,0.0,-0.3441197603990719,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02764206481333605,0.03114254084786008,0.04164062436618002,0.027914263746693552,0.6493188393606788,0.09352040939690809,0.10346454725118619,0.41455,261.59624099731445,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,3,POSITION_40MM_SPEED_FAIL,False,False,0.5264222431912572,3983.8069027165184,1003983.8069027165,0.002141968845148513,0.0012003087655701782,1.0,0.48428014742801284,0.25843926279738977,0.06128959028559166,3000039.0195411798,39.01954117953947,"[0.031093175,0.0303548717,0.0306333957]",0.031093175,0.030693814133333334,0.0306333957,0.027684960999999952,0.031093175,0.0364391666666668,0.0,0.0346454725118619,0.0,0.0364391666666668,0.0710846391785287,0.05028042991991316,5.271249415782205,1003983.8069027165,3,Stage2.2,/home/yangshen0711/tsc_all/tsc_rzip_rllib/stage2_2_runs/stage2_2_svd3_corner_feasibility_100ms_20260721_085327,2003,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2444621768972368,1.8390350748969635,0.11034434217886159,-0.28698565205519466,2.226666881772964,-0.18080008593500527,-1.1571180457377541,-1.3880037584692329,0.22302807007822167,-0.6564544086987542,-0.2876080047699112,-0.011067279153778526]",v_96f3cb5d7f89acac
