step_index,time_ms_from_start,mode_1_coefficient,mode_2_coefficient,mode_3_coefficient,action_norm_tsc_CS1U,delta_a_tsc_CS1U,action_norm_tsc_CS2U,delta_a_tsc_CS2U,action_norm_tsc_CS3U,delta_a_tsc_CS3U,action_norm_tsc_CS1L,delta_a_tsc_CS1L,action_norm_tsc_CS2L,delta_a_tsc_CS2L,action_norm_tsc_CS3L,delta_a_tsc_CS3L,action_norm_tsc_CS4U,delta_a_tsc_CS4U,action_norm_tsc_CS4L,delta_a_tsc_CS4L,action_norm_tsc_PF2U,delta_a_tsc_PF2U,action_norm_tsc_PF2L,delta_a_tsc_PF2L,action_norm_tsc_PF3U,delta_a_tsc_PF3U,action_norm_tsc_PF3L,delta_a_tsc_PF3L,action_norm_tsc_PF4U,delta_a_tsc_PF4U,action_norm_tsc_PF4L,delta_a_tsc_PF4L,action_norm_display_CS1U,action_norm_display_CS1L,action_norm_display_CS2U,action_norm_display_CS2L,action_norm_display_CS3U,action_norm_display_CS3L,action_norm_display_CS4U,action_norm_display_CS4L,action_norm_display_PF2U,action_norm_display_PF2L,action_norm_display_PF3U,action_norm_display_PF3L,action_norm_display_PF4U,action_norm_display_PF4L
0,0,2.140277648746757,1.4994631350872818,0.4909813834093269,-0.41534173331603,-1.24602519994809,-1.0,-3.0,-0.7074052624767032,-2.1222157874301097,0.7175538648418857,2.152661594525657,0.888354094243255,2.6650622827297648,0.5718870066004551,1.7156610198013653,-0.3775231490536996,-1.1325694471610988,0.321372798783737,0.964118396351211,-0.7038980874215262,-2.1116942622645785,0.6869077627278928,2.060723288183678,-0.5399242157145886,-1.619772647143766,0.8037001156248367,2.41110034687451,-0.06984105826488297,-0.20952317479464894,0.9677888767415741,2.9033666302247223,-0.41534173331603,0.7175538648418857,-1.0,0.888354094243255,-0.7074052624767032,0.5718870066004551,-0.3775231490536996,0.321372798783737,-0.7038980874215262,0.6869077627278928,-0.5399242157145886,0.8037001156248367,-0.06984105826488297,0.9677888767415741
1,10,1.627664815950442,1.7100442361975832,0.3319901627989398,-0.6047648219105387,-1.8142944657316162,-0.9829846214923692,-2.9489538644771076,-0.6395651218728529,-1.9186953656185586,0.4073442555897816,1.222032766769345,0.68012436395475,2.0403730918642498,0.47179910666580965,1.415397319997429,-0.3252255859603643,-0.975676757881093,0.27627957646301743,0.8288387293890522,-0.5701481299181279,-1.7104443897543837,0.6148072556787599,1.84442176703628,-0.3695459414712269,-1.1086378244136808,0.7597675609952683,2.279302682985805,0.1406725846201157,0.4220177538603471,1.0,3.0,-0.6047648219105387,0.4073442555897816,-0.9829846214923692,0.68012436395475,-0.6395651218728529,0.47179910666580965,-0.3252255859603643,0.27627957646301743,-0.5701481299181279,0.6148072556787599,-0.3695459414712269,0.7597675609952683,0.1406725846201157,1.0
2,20,1.1150519831541275,1.9206253373078843,0.1729989421885526,-0.7715534222648034,-2.31466026679441,-0.9352097309339644,-2.8056291928018933,-0.5527654404482578,-1.6582963213447734,0.0900150142154033,0.2700450426462099,0.4542586738103087,1.3627760214309261,0.35865384965463154,1.0759615489638947,-0.2636172879097084,-0.7908518637291252,0.22328924077839163,0.6698677223351749,-0.42085648930475095,-1.2625694679142527,0.5246089616213295,1.5738268848639887,-0.19064753408111457,-0.5719426022433437,0.6926317240337131,2.0778951721011394,0.34283173769063396,1.0284952130719018,1.0,3.0,-0.7715534222648034,0.0900150142154033,-0.9352097309339644,0.4542586738103087,-0.5527654404482578,0.35865384965463154,-0.2636172879097084,0.22328924077839163,-0.42085648930475095,0.5246089616213295,-0.19064753408111457,0.6926317240337131,0.34283173769063396,1.0
3,30,0.5644104488792597,1.9419950455484254,-0.09826392405831516,-0.9812779220477598,-2.943833766143279,-0.9201064176351794,-2.7603192529055383,-0.48704430918076175,-1.4611329275422853,-0.25734406032502705,-0.7720321809750812,0.21777268016984674,0.6533180405095402,0.24086219484113655,0.7225865845234096,-0.2147610425478564,-0.6442831276435692,0.16711091965124808,0.5013327589537442,-0.30204340681630143,-0.9061302204489043,0.4255399605494508,1.2766198816483525,-0.05312905235774797,-0.1593871570732439,0.608087003609537,1.8242610108286113,0.48689388411920437,1.4606816523576132,0.9618517930386999,2.8855553791161,-0.9812779220477598,-0.25734406032502705,-0.9201064176351794,0.21777268016984674,-0.48704430918076175,0.24086219484113655,-0.2147610425478564,0.16711091965124808,-0.30204340681630143,0.4255399605494508,-0.05312905235774797,0.608087003609537,0.48689388411920437,0.9618517930386999
4,40,0.013768914604392002,1.9633647537889665,-0.36952679030518293,-1.0,-3.0,-0.7379781332646105,-2.2139343997938314,-0.3362016393210892,-1.0086049179632677,-0.5379466780509055,-1.6138400341527164,-0.04496846364040937,-0.1349053909212281,0.08583645075253842,0.25750935225761523,-0.12950368634194448,-0.38851105902583344,0.08364328038478915,0.25092984115436745,-0.13489111690947572,-0.40467335072842714,0.25447265574839434,0.7634179672451831,0.08624456824624796,0.2587337047387439,0.41740786450054324,1.2522235935016297,0.5339036446460261,1.6017109339380784,0.7503752346358002,2.251125703907401,-1.0,-0.5379466780509055,-0.7379781332646105,-0.04496846364040937,-0.3362016393210892,0.08583645075253842,-0.12950368634194448,0.08364328038478915,-0.13489111690947572,0.25447265574839434,0.08624456824624796,0.41740786450054324,0.5339036446460261,0.7503752346358002
5,50,-0.41307483663910105,0.3149244506166492,-0.08794214092463308,-0.21010613734723288,-0.6303184120416987,-0.02628117024301736,-0.07884351072905207,0.04075205392240928,0.12225616176722784,-0.2793073384026394,-0.8379220152079181,-0.16767913337508844,-0.5030374001252653,-0.07224756512363024,-0.21674269537089075,0.03978114077522136,0.11934342232566408,-0.028308469336381446,-0.08492540800914433,0.11623993529218629,0.3487198058765589,-0.03339049519985923,-0.1001714855995777,0.1702498119764613,0.5107494359293839,0.007663052495825073,0.02298915748747522,0.24866820465107375,0.7460046139532213,0.10866133972393947,0.3259840191718184,-0.21010613734723288,-0.2793073384026394,-0.02628117024301736,-0.16767913337508844,0.04075205392240928,-0.07224756512363024,0.03978114077522136,-0.028308469336381446,0.11623993529218629,-0.03339049519985923,0.1702498119764613,0.007663052495825073,0.24866820465107375,0.10866133972393947
6,60,-0.8399185878825941,-1.333515852555668,0.19364250845591677,0.7158071104270141,2.147421331281042,0.7857951246983257,2.357385374094977,0.46343568742319585,1.3903070622695877,0.05250317762225349,0.15750953286676048,-0.2842732203355414,-0.8528196610066243,-0.24200700225216937,-0.726021006756508,0.22668097967958348,0.6800429390387505,-0.15163732662503462,-0.4549119798751039,0.3857187942742249,1.1571563828226747,-0.3558668603132395,-1.0676005809397184,0.24252412256375247,0.7275723676912574,-0.458857320583127,-1.376571961749381,-0.10918848080274819,-0.3275654424082446,-0.6351181332134691,-1.9053543996404074,0.7158071104270141,0.05250317762225349,0.7857951246983257,-0.2842732203355414,0.46343568742319585,-0.24200700225216937,0.22668097967958348,-0.15163732662503462,0.3857187942742249,-0.3558668603132395,0.24252412256375247,-0.458857320583127,-0.10918848080274819,-0.6351181332134691
7,70,-0.7576393469381414,-0.9369131737816703,0.06708875107136271,0.46527815826493957,1.3958344747948188,0.5825578052514216,1.747673415754265,0.36023783205683635,1.080713496170509,-0.06295491887264765,-0.18886475661794294,-0.2782792959231986,-0.8348378877695959,-0.21245745429614982,-0.6373723628884495,0.18112004054059622,0.5433601216217887,-0.12795369343299712,-0.38386108029899135,0.3187181774608089,0.9561545323824266,-0.2906699926608233,-0.8720099779824698,0.21898006474089377,0.6569401942226814,-0.36208575356817313,-1.0862572607045193,-0.03762119566831714,-0.11286358700495142,-0.4779481214272452,-1.4338443642817356,0.46527815826493957,-0.06295491887264765,0.5825578052514216,-0.2782792959231986,0.36023783205683635,-0.21245745429614982,0.18112004054059622,-0.12795369343299712,0.3187181774608089,-0.2906699926608233,0.21898006474089377,-0.36208575356817313,-0.03762119566831714,-0.4779481214272452
8,80,-0.6753601059936885,-0.5403104950076723,-0.05946500631319136,0.21474920610286496,0.6442476183085949,0.37932048580451755,1.1379614574135526,0.2570399766904768,0.7711199300714304,-0.17841301536754878,-0.5352390461026464,-0.27228537151085574,-0.8168561145325672,-0.18290790634013024,-0.5487237190203907,0.1355591014016089,0.40667730420482673,-0.10427006024095957,-0.3128101807228787,0.2517175606473928,0.7551526819421784,-0.22547312500840697,-0.6764193750252209,0.19543600691803503,0.5863080207541052,-0.2653141865532192,-0.7959425596596577,0.033946089466113924,0.10183826839834177,-0.3207781096410212,-0.9623343289230637,0.21474920610286496,-0.17841301536754878,0.37932048580451755,-0.27228537151085574,0.2570399766904768,-0.18290790634013024,0.1355591014016089,-0.10427006024095957,0.2517175606473928,-0.22547312500840697,0.19543600691803503,-0.2653141865532192,0.033946089466113924,-0.3207781096410212
9,90,-0.5930808650492356,-0.14370781623367432,-0.18601876369774545,-0.035779746059209645,-0.10733923817762894,0.17608316635761345,0.5282494990728404,0.15384212132411723,0.4615263639723517,-0.29387111186244985,-0.8816133355873496,-0.2662914470985129,-0.7988743412955386,-0.15335835838411066,-0.460075075152332,0.08999816226262163,0.26999448678786486,-0.08058642704892206,-0.2417592811467662,0.18471694383397674,0.5541508315019302,-0.1602762573559907,-0.48082877206797203,0.17189194909517627,0.5156758472855288,-0.16854261953826521,-0.5056278586147956,0.10551337460054495,0.3165401238016349,-0.1636080978547973,-0.4908242935643919,-0.035779746059209645,-0.29387111186244985,0.17608316635761345,-0.2662914470985129,0.15384212132411723,-0.15335835838411066,0.08999816226262163,-0.08058642704892206,0.18471694383397674,-0.1602762573559907,0.17189194909517627,-0.16854261953826521,0.10551337460054495,-0.1636080978547973
