step_index,time_ms_from_start,absolute_time_ms,mode_1,mode_2,mode_3,action_norm_tsc_CS1U,delta_a_tsc_CS1U,action_norm_tsc_CS2U,delta_a_tsc_CS2U,action_norm_tsc_CS3U,delta_a_tsc_CS3U,action_norm_tsc_CS1L,delta_a_tsc_CS1L,action_norm_tsc_CS2L,delta_a_tsc_CS2L,action_norm_tsc_CS3L,delta_a_tsc_CS3L,action_norm_tsc_CS4U,delta_a_tsc_CS4U,action_norm_tsc_CS4L,delta_a_tsc_CS4L,action_norm_tsc_PF2U,delta_a_tsc_PF2U,action_norm_tsc_PF2L,delta_a_tsc_PF2L,action_norm_tsc_PF3U,delta_a_tsc_PF3U,action_norm_tsc_PF3L,delta_a_tsc_PF3L,action_norm_tsc_PF4U,delta_a_tsc_PF4U,action_norm_tsc_PF4L,delta_a_tsc_PF4L,action_norm_display_CS1U,action_norm_display_CS1L,action_norm_display_CS2U,action_norm_display_CS2L,action_norm_display_CS3U,action_norm_display_CS3L,action_norm_display_CS4U,action_norm_display_CS4L,action_norm_display_PF2U,action_norm_display_PF2L,action_norm_display_PF3U,action_norm_display_PF3L,action_norm_display_PF4U,action_norm_display_PF4L
0,0,1100,2.3705445176467634,1.218059178969841,0.480262669915016,-0.2917738869313852,-0.8753216607941555,-0.9992690486248273,-2.997807145874482,-0.7470719461551291,-2.2412158384653873,0.8966383527275104,2.689915058182531,1.0,3.0,0.6200864435791505,1.8602593307374518,-0.4119958663819148,-1.2359875991457445,0.3396213939823961,1.0188641819471882,-0.8008549409936256,-2.402564822980877,0.7060123607692875,2.1180370823078625,-0.6799108309047013,-2.039732492714104,0.7899620276074177,2.369886082822253,-0.2726010763916445,-0.8178032291749335,0.8733041547078377,2.619912464123513,-0.2917738869313852,0.8966383527275104,-0.9992690486248273,1.0,-0.7470719461551291,0.6200864435791505,-0.4119958663819148,0.3396213939823961,-0.8008549409936256,0.7060123607692875,-0.6799108309047013,0.7899620276074177,-0.2726010763916445,0.8733041547078377
1,10,1110,1.7873853428013768,1.5319834441862021,0.28986020499887877,-0.5508091113798973,-1.6524273341396918,-1.0,-3.0,-0.6743233567192243,-2.022970070157673,0.5044628681780112,1.5133886045340337,0.745997037408722,2.237991112226166,0.5011915480770185,1.5035746442310556,-0.35211385051350436,-1.056341551540513,0.2874156747814923,0.862247024344477,-0.6418957408481966,-1.9256872225445898,0.6262081506312607,1.878624451893782,-0.46967962034331323,-1.4090388610299396,0.7493776280508192,2.2481328841524575,2.0621964038042074e-05,6.186589211412623e-05,0.9354917984504362,2.8064753953513084,-0.5508091113798973,0.5044628681780112,-1.0,0.745997037408722,-0.6743233567192243,0.5011915480770185,-0.35211385051350436,0.2874156747814923,-0.6418957408481966,0.6262081506312607,-0.46967962034331323,0.7493776280508192,2.0621964038042074e-05,0.9354917984504362
2,20,1120,1.2042261679559902,1.8459077094025633,0.09945774008274161,-0.8083994979409388,-2.4251984938228164,-1.0,-3.0,-0.6013770141420297,-1.8041310424260892,0.11350049853012854,0.3405014955903856,0.4924745515434134,1.4774236546302402,0.38241089819980334,1.14723269459941,-0.29221680290447405,-0.8766504087134221,0.23521109097846257,0.7056332729353877,-0.48310980174694484,-1.4493294052408345,0.5462696478476657,1.638808943542997,-0.25995365824240907,-0.7798609747272272,0.7084112219544597,2.1252336658633793,0.27154370965082975,0.8146311289524892,0.9967477984266094,2.9902433952798284,-0.8083994979409388,0.11350049853012854,-1.0,0.4924745515434134,-0.6013770141420297,0.38241089819980334,-0.29221680290447405,0.23521109097846257,-0.48310980174694484,0.5462696478476657,-0.25995365824240907,0.7084112219544597,0.27154370965082975,0.9967477984266094
3,30,1130,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-1.0,-3.0,-0.88355569852778,-2.6506670955833402,-0.4501928262471452,-1.3505784787414354,-0.33305234793552424,-0.9991570438065727,0.154319086393581,0.462957259180743,0.20649854841240417,0.6194956452372125,-0.1914706215617158,-0.5744118646851474,0.15021054527689431,0.45063163583068294,-0.2497385940570896,-0.7492157821712688,0.3948388725182874,1.1845166175548623,0.004784324542730619,0.014352973628191856,0.5819743912289742,1.7459231736869225,0.5444414161754658,1.6333242485263975,0.9515749996293743,2.854724998888123,-1.0,-0.33305234793552424,-0.88355569852778,0.154319086393581,-0.4501928262471452,0.20649854841240417,-0.1914706215617158,0.15021054527689431,-0.2497385940570896,0.3948388725182874,0.004784324542730619,0.5819743912289742,0.5444414161754658,0.9515749996293743
4,40,1140,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-1.0,-3.0,-0.6388180028370897,-1.916454008511269,-0.24681889199576953,-0.7404566759873086,-0.660877749343444,-1.9826332480303321,-0.16064410952834002,-0.48193232858502005,0.02193709566009531,0.06581128698028593,-0.07375694069323781,-0.22127082207971344,0.05275455927039308,0.15826367781117925,-0.008866188016621363,-0.02659856404986409,0.20033787867746627,0.6010136360323988,0.23075328219489805,0.6922598465846941,0.3781704338524127,1.1345113015572381,0.6888361323282861,2.066508396984858,0.7567203090416161,2.2701609271248486,-1.0,-0.660877749343444,-0.6388180028370897,-0.16064410952834002,-0.24681889199576953,0.02193709566009531,-0.07375694069323781,0.05275455927039308,-0.008866188016621363,0.20033787867746627,0.23075328219489805,0.3781704338524127,0.6888361323282861,0.7567203090416161
5,50,1150,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.2710001290086041,-0.8130003870258122,-0.014081257650485087,-0.04224377295145526,0.06929468225050511,0.20788404675151534,-0.38642791201315596,-1.1592837360394679,-0.24132827342393454,-0.7239848202718036,-0.10771943642428392,-0.3231583092728517,0.06114681958718747,0.1834404587615624,-0.044078927452582434,-0.1322367823577473,0.17050853175379815,0.5115255952613944,-0.05788372068985079,-0.17365116206955236,0.23989269425232504,0.7196780827569751,-0.00497898039786728,-0.01493694119360184,0.33607807512562754,1.0082342253768826,0.12760291583645467,0.382808747509364,-0.2710001290086041,-0.38642791201315596,-0.014081257650485087,-0.24132827342393454,0.06929468225050511,-0.10771943642428392,0.06114681958718747,-0.044078927452582434,0.17050853175379815,-0.05788372068985079,0.23989269425232504,-0.00497898039786728,0.33607807512562754,0.12760291583645467
6,60,1160,-0.7957178132641703,-1.277439316850542,0.09160775102737818,0.6428513023577229,1.9285539070731688,0.7287419921561525,2.1862259764684575,0.43103311381220927,1.2930993414366279,0.010186208500340254,0.030558625501020762,-0.292317123008174,-0.8769513690245219,-0.24143107487152587,-0.7242932246145777,0.209684665443239,0.629053996329717,-0.1506641767735819,-0.4519925303207457,0.3515221802136676,1.0545665406410027,-0.3531380895329011,-1.0594142685987034,0.20637700203438836,0.6191310061031651,-0.4580337894334304,-1.3741013683002912,-0.14401241598054715,-0.43203724794164144,-0.6413954072624496,-1.9241862217873487,0.6428513023577229,0.010186208500340254,0.7287419921561525,-0.292317123008174,0.43103311381220927,-0.24143107487152587,0.209684665443239,-0.1506641767735819,0.3515221802136676,-0.3531380895329011,0.20637700203438836,-0.4580337894334304,-0.14401241598054715,-0.6413954072624496
7,70,1170,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.418664076293088,1.255992228879264,0.5214135826632011,1.5642407479896034,0.32541499318137107,0.9762449795441133,-0.04785289532677109,-0.14355868598031327,-0.24070345810374624,-0.7221103743112387,-0.18349993865959546,-0.5504998159787864,0.16576419009572332,0.49729257028717,-0.10962123787813487,-0.3288637136344046,0.29862157677762047,0.8958647303328614,-0.24669551945979715,-0.7400865583793914,0.22161270702990263,0.6648381210897079,-0.3012841346123145,-0.9038524038369435,0.013926898029316112,0.041780694087948336,-0.3841377361999141,-1.1524132085997423,0.418664076293088,-0.04785289532677109,0.5214135826632011,-0.24070345810374624,0.32541499318137107,-0.18349993865959546,0.16576419009572332,-0.10962123787813487,0.29862157677762047,-0.24669551945979715,0.22161270702990263,-0.3012841346123145,0.013926898029316112,-0.3841377361999141
8,80,1180,-0.5973015723001297,-0.30390476986892895,0.14356953343592382,0.19447685022845312,0.5834305506853594,0.31408517317024975,0.9422555195107493,0.21979687255053285,0.6593906176515986,-0.10589199915388232,-0.317675997461647,-0.18908979319931837,-0.5672693795979551,-0.12556880244766502,-0.3767064073429951,0.12184371474820757,0.36553114424462274,-0.06857829898268777,-0.20573489694806332,0.24572097334157322,0.7371629200247196,-0.14025294938669308,-0.42075884816007925,0.23684841202541682,0.7105452360762504,-0.14453447979119863,-0.4336034393735959,0.17186621203917926,0.5155986361175378,-0.12688006513737843,-0.3806401954121353,0.19447685022845312,-0.10589199915388232,0.31408517317024975,-0.18908979319931837,0.21979687255053285,-0.12556880244766502,0.12184371474820757,-0.06857829898268777,0.24572097334157322,-0.14025294938669308,0.23684841202541682,-0.14453447979119863,0.17186621203917926,-0.12688006513737843
9,90,1190,-0.3625934518181101,0.31836250362187624,0.14993042464019693,-0.10064233302891795,-0.30192699908675386,0.013062657511273914,0.03918797253382174,0.05438117150815595,0.16314351452446785,-0.14895726685813057,-0.4468718005743917,-0.09017308732049373,-0.2705192619614812,-0.03284632179149717,-0.09853896537449151,0.04701529196308704,0.14104587588926112,-0.007096024610566786,-0.02128807383170036,0.13608048911523501,0.40824146734570504,0.01147996843839621,0.03443990531518863,0.2079612319259886,0.6238836957779658,0.0663820377461992,0.1991461132385976,0.3213135240333337,0.9639405721000011,0.1970922607515023,0.5912767822545069,-0.10064233302891795,-0.14895726685813057,0.013062657511273914,-0.09017308732049373,0.05438117150815595,-0.03284632179149717,0.04701529196308704,-0.007096024610566786,0.13608048911523501,0.01147996843839621,0.2079612319259886,0.0663820377461992,0.3213135240333337,0.1970922607515023
10,100,1200,0.2869999999999997,0.27099999999999996,0.038150000000000024,-0.10571503435556841,-0.31714510306670524,-0.17404377365432294,-0.5221313209629688,-0.11486192986842565,-0.34458578960527697,0.07243805158153521,0.21731415474460564,0.1196464284425793,0.3589392853277379,0.08223592368153965,0.24670777104461894,-0.05932678634417719,-0.17798035903253157,0.04767004225853081,0.14301012677559244,-0.10682525644321916,-0.3204757693296575,0.10490756278854654,0.31472268836563966,-0.07592127353517021,-0.22776382060551065,0.12706050115473053,0.38118150346419155,0.006387046825497624,0.019161140476492873,0.1616212606163536,0.48486378184906076,-0.10571503435556841,0.07243805158153521,-0.17404377365432294,0.1196464284425793,-0.11486192986842565,0.08223592368153965,-0.05932678634417719,0.04767004225853081,-0.10682525644321916,0.10490756278854654,-0.07592127353517021,0.12706050115473053,0.006387046825497624,0.1616212606163536
