variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.020000000000000018,257.6518202803094,True,True
1,9,1,central,0.020000000000000018,218.14632565053472,True,True
2,9,2,central,0.008000000000000007,706.555583726492,True,True
3,10,0,central,0.03200000000000003,108.55108651647632,True,True
4,10,1,central,0.03200000000000003,118.5372838915269,True,True
5,10,2,central,0.011999999999999997,797.2232525795298,True,True
6,11,0,central,0.040000000000000036,84.17743919865286,True,True
7,11,1,central,0.040000000000000036,122.4209995449208,True,True
8,11,2,central,0.016000000000000014,692.838897180826,True,True
9,12,0,central,0.04800000000000004,96.02289914255832,True,True
10,12,1,central,0.04800000000000004,137.91925778472168,True,True
11,12,2,central,0.017999999999999995,527.3910703491404,True,True
12,13,0,central,0.04800000000000004,73.55489171077888,True,True
13,13,1,central,0.04799999999999999,151.00715601684786,True,True
14,13,2,central,0.018000000000000016,488.1694796241777,True,True
15,14,0,central,0.04800000000000004,92.20000001646567,True,True
16,14,1,central,0.04799999999999999,164.45625001476805,True,True
17,14,2,central,0.018000000000000016,416.5944444463334,True,True
