candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r999p_d0af7736e29ae2f1,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.3725934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38133574028596834,0.20857653637928014,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,0,-1,0.01,-0.010000000000000009,two_sided,0
s30r999p_c100a0376c13f0bd,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.3525934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812451722973729,0.208381300404611,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,0,1,0.01,0.010000000000000009,two_sided,1
s30r999p_d02c0b3409051870,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.3625934518181101,0.3083625036218762,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38125069687977015,0.20831500035776068,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,1,-1,0.01,-0.010000000000000009,two_sided,2
s30r999p_0689536ae7ea1c79,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.3625934518181101,0.32836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813302169356511,0.20864275331829785,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,1,1,0.01,0.010000000000000009,two_sided,3
s30r999p_8a70b5b3885837a9,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14593042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38128244448771326,0.20846532015125574,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,2,-1,0.004,-0.0040000000000000036,two_sided,4
s30r999p_47126a7c645c4cf0,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.15393042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812974242569374,0.20848845026718882,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,2,1,0.004,0.0040000000000000036,two_sided,5
s30r999p_96da7db22a3ba584,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.25499999999999967,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812372774648331,0.20827701483888483,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,3,-1,0.016,-0.016000000000000014,two_sided,6
s30r999p_3d650586695d1458,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2869999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813455810744221,0.20868830022204465,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,3,1,0.016,0.016000000000000014,two_sided,7
s30r999p_1c988663fbc48ac6,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.25499999999999995,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812372774648331,0.20854373975911594,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,4,-1,0.016,-0.016000000000000014,two_sided,8
s30r999p_bbef3274ce1ddb91,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.287,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813455810744221,0.20842176030118692,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,4,1,0.016,0.016000000000000014,two_sided,9
