variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,35.50962977001086,True,True
1,9,1,central,0.035999999999999976,141.59518536288357,True,True
2,9,2,central,0.014000000000000012,640.4122493829843,True,True
3,10,0,central,0.05600000000000002,28.977429246700435,True,True
4,10,1,central,0.055999999999999994,171.63563581893158,True,True
5,10,2,central,0.01999999999999999,574.7625001420892,True,True
6,11,0,central,0.07,45.87192973664144,True,True
7,11,1,central,0.07,110.79069768940172,True,True
8,11,2,central,0.026,412.5062792056387,True,True
9,12,0,central,0.08,15.792642578363246,True,True
10,12,1,central,0.08,109.72012777673199,True,True
11,12,2,central,0.03,409.81706783980707,True,True
12,13,0,central,0.08,13.658497209233055,True,True
13,13,1,central,0.08,104.6007338161363,True,True
14,13,2,central,0.03,332.7543190914743,True,True
15,14,0,central,0.08,8.355000198524348,True,True
16,14,1,central,0.08,91.44250002481017,True,True
17,14,2,central,0.03,219.48333333617344,True,True
