variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,67.43223262288448,True,True
1,9,1,central,0.035999999999999976,203.52330846212294,True,True
2,9,2,central,0.014000000000000012,607.1919235479533,True,True
3,10,0,central,0.056,53.51412966183143,True,True
4,10,1,central,0.056,231.51563321366407,True,True
5,10,2,central,0.02,578.4777196049492,True,True
6,11,0,central,0.07,46.093341623670014,True,True
7,11,1,central,0.07,114.24168100113526,True,True
8,11,2,central,0.026,420.3440624954917,True,True
9,12,0,central,0.08,15.948851359381205,True,True
10,12,1,central,0.08,123.53402172308901,True,True
11,12,2,central,0.03,435.5748287015112,True,True
12,13,0,central,0.08,16.527101352319438,True,True
13,13,1,central,0.08,127.47556134189753,True,True
14,13,2,central,0.03,369.6248215641916,True,True
15,14,0,central,0.08,7.37500023393858,True,True
16,14,1,central,0.08,112.17500110054225,True,True
17,14,2,central,0.03,217.2866666696363,True,True
