variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,47.42841468040592,True,True
1,9,1,central,0.035999999999999976,161.88752796142583,True,True
2,9,2,central,0.014000000000000012,548.6390308756191,True,True
3,10,0,central,0.05600000000000001,90.81838824583942,True,True
4,10,1,central,0.055999999999999994,89.08890706670475,True,True
5,10,2,central,0.020000000000000004,739.4564406922818,True,True
6,11,0,central,0.07,22.43656692637827,True,True
7,11,1,central,0.07,110.5099835607186,True,True
8,11,2,central,0.025999999999999995,511.8862003136374,True,True
9,12,0,central,0.08000000000000002,54.92836411980807,True,True
10,12,1,central,0.08000000000000002,66.03932892765047,True,True
11,12,2,central,0.03,503.2653500970688,True,True
12,13,0,central,0.08000000000000002,20.172220888517955,True,True
13,13,1,central,0.08000000000000002,116.74535262309631,True,True
14,13,2,central,0.03,321.13259748851806,True,True
15,14,0,central,0.08000000000000002,24.01000007622187,True,True
16,14,1,central,0.08000000000000002,98.0350000316142,True,True
17,14,2,central,0.03,212.5100000037064,True,True
