variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,61.274607091678504,True,True
1,9,1,central,0.036000000000000004,154.16817075476115,True,True
2,9,2,central,0.014000000000000012,550.9501154172975,True,True
3,10,0,central,0.055999999999999994,19.529164991047267,True,True
4,10,1,central,0.055999999999999994,131.14921384234188,True,True
5,10,2,central,0.020000000000000004,529.3977615210266,True,True
6,11,0,central,0.07,92.37843824412003,True,True
7,11,1,central,0.07,80.13054736301693,True,True
8,11,2,central,0.025999999999999995,541.4489154289249,True,True
9,12,0,central,0.08000000000000002,61.750429794161114,True,True
10,12,1,central,0.08000000000000002,67.58923714938808,True,True
11,12,2,central,0.029999999999999992,514.487490490648,True,True
12,13,0,central,0.08000000000000002,53.768270873369715,True,True
13,13,1,central,0.08000000000000002,64.46662131500754,True,True
14,13,2,central,0.03,418.66936430188406,True,True
15,14,0,central,0.08000000000000002,44.72625003936398,True,True
16,14,1,central,0.08000000000000002,60.0787500384955,True,True
17,14,2,central,0.03,277.6766666696506,True,True
