candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,sqp_center_candidate_id,sqp_profile,sqp_endpoint_step,sqp_step_scale,sqp_solver_success,sqp_solver_message,predicted_linear_objective,predicted_max_violation,predicted_sum_violation,predicted_position_box_m,predicted_endpoint_speed_m_per_s,predicted_late_speed_m_per_s,unavailable_jacobian_variables_frozen,population_index
s30r01s_341150084ff015bd,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_46e233f658ec22e4_balanced_e12_s1.0,real_tsc_sqp_step,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772055596757935,0.20656288002334966,0.04807504367787985,s30r00s_46e233f658ec22e4,balanced,12,1.0,True,Optimization terminated successfully,3.4522519503875566,0.1839170678882791,0.36129576819594256,0.03551751203664837,0.10999617148009373,0.07422929820414918,[],0
s30r01s_a41b0f020132d509,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_46e233f658ec22e4_position_e15_s1.0,real_tsc_sqp_step,"[-0.40309345181811007,0.27786250362187676,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999963,0.26599999999999924,0.2659999999999999,0.0049999999999999975,0.3039999999999997,0.304,0.1139999999999998,0.30400000000000005,-0.016000000000000403,0.053598346724084166,0.30399999999999894,-0.01600000000000129,0.08772124206273806]",0.37705136060179484,0.20680112845089849,0.04807504367787985,s30r00s_46e233f658ec22e4,position,15,1.0,True,Optimization terminated successfully,5.994114796760892,0.18405822756117662,0.26342425156572613,0.035521746826835295,0.084149455744117,0.10793660240045495,[],1
s30r01s_03a5f2f3468a3333,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_46e233f658ec22e4_balanced_e12_s0.5,real_tsc_sqp_step,"[-0.42559345181811004,0.2553625036218767,0.14345042464019692,0.14499999999999996,0.14499999999999996,0.050749999999999976,0.20299999999999968,0.203,0.07250000000000001,0.2319999999999997,0.23199999999999987,0.08699999999999991,0.23199999999999993,-0.08800000000000023,0.087,0.2319999999999991,-0.088,0.08699999999999987]",0.37567729905064234,0.20584083424530267,0.04807504367787985,s30r00s_46e233f658ec22e4,balanced,12,0.5,True,Optimization terminated successfully,3.6321835333915,0.19949831061080636,0.5546184852871496,0.03598494931832419,0.11267376453569507,0.07573598725435526,[],2
s30r01s_80541d6c924c813d,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_46e233f658ec22e4_position_e15_s0.5,real_tsc_sqp_step,"[-0.42559345181811004,0.25536250362187674,0.1434504246401969,0.14499999999999996,0.14499999999999996,0.050749999999999816,0.20299999999999963,0.20299999999999996,0.0275,0.23199999999999973,0.23199999999999998,0.08699999999999986,0.232,-0.0880000000000002,0.056799173362042085,0.23199999999999898,-0.08800000000000065,0.07386062103136896]",0.37560785320692897,0.20589784339539494,0.04807504367787985,s30r00s_46e233f658ec22e4,position,15,0.5,True,Optimization terminated successfully,6.19948992737154,0.1995688904472548,0.5263002891237389,0.03598706671341764,0.10478482231469063,0.11831867292357656,[],3
s30r01s_f29900e74cb40b26,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_007,real_tsc_sqp_fill,"[-0.4403889582015207,0.2228926340146982,0.15672457709913884,0.10546322621287188,0.10342265324521803,0.03871957687676755,0.17048593784637178,0.12861899051909254,0.05822504294019712,0.1559331148645553,0.11208746287893188,0.06061710516171305,0.12067418542928426,-0.13170244910863654,0.04900931511995266,0.15497976627223267,-0.15247273531108177,0.07198112487026673]",0.37450364405965203,0.20456082228993183,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.504044492724542,0.2823900718162953,1.2599913961144011,,,,[],4
s30r01s_29d0e9e7788d45e4,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_003,real_tsc_sqp_fill,"[-0.4589626944522763,0.2458401061488831,0.15688873682893897,0.11154628583057914,0.07472431768720178,0.024570993405590852,0.16698732362358665,0.17658710819389195,0.06369809124724424,0.20348080642377778,0.13626296719969208,0.06720049608487788,0.17057918417273057,-0.17270483358847363,0.059176668229034286,0.15907177949136125,-0.11457689127789439,0.05043020864795159]",0.37499622017781054,0.20598755508590283,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.5059612994738485,0.28363189721767346,1.1996193922384701,,,,[],5
s30r01s_2f3e4e19ecf3769e,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_001,real_tsc_sqp_fill,"[-0.4501697554850781,0.2363749211417447,0.15368414453718834,0.1126194506681658,0.10372373147691819,0.028378012421025153,0.10207569542461509,0.14688636577670483,0.06238879498453117,0.1767148583840039,0.1685701556812403,0.06268553858464514,0.18798801799486892,-0.12448986973494144,0.04569732762870699,0.1256942964748843,-0.13502967144716146,0.06832154870125863]",0.3746921936494682,0.20538861089987415,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.536147430381475,0.29523601129542665,1.3012191165913456,,,,[],6
s30r01s_966a31f98c1e8a15,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_006,real_tsc_sqp_fill,"[-0.45240446276185475,0.22136109910355445,0.15650979266476953,0.08739769809106591,0.08499190859436846,0.025375573913692273,0.1636663456153455,0.16299741703426054,0.06186415843209036,0.16810886724913215,0.1980483504863753,0.07686863068824676,0.13777036863479955,-0.19545375403999457,0.044939802727136144,0.19594310762718772,-0.1719402704467654,0.07024124353037806]",0.3750660386720052,0.20584339289132614,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.556417156667812,0.3005976065312297,1.301208916539282,,,,[],7
s30r01s_3962d0ac28898772,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_004,real_tsc_sqp_fill,"[-0.44056110163030615,0.23399797280804652,0.15552194384002963,0.08281953389925689,0.09760830064587579,0.029635040468859057,0.1128247374168696,0.16126545363348918,0.03545396886208611,0.12596462656873203,0.1766981127503875,0.0733668961018915,0.16063601526451274,-0.1647466947380359,0.04120120585159655,0.17338277600072582,-0.1365957853619674,0.05920837088545078]",0.3746423484151341,0.20521097717804615,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.578411661935322,0.3104069116853714,1.424341383222366,,,,[],8
s30r01s_e2299409daaabeea,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_002,real_tsc_sqp_fill,"[-0.44991950519429513,0.22654865560585902,0.14832475250026744,0.09528327409731902,0.09872210275066318,0.03968525605090809,0.09894040575719391,0.1235168658035424,0.060874600982047444,0.14023992076151104,0.20142209523793606,0.0727178375418015,0.129128482386505,-0.20483930369129738,0.05332074970384641,0.1876093357943706,-0.12457800758155779,0.049519535581184125]",0.37474046331242344,0.2059996878968042,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.598256204569713,0.3160586869563211,1.4536040050097925,,,,[],9
s30r01s_45593881d76c7580,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_008,real_tsc_sqp_fill,"[-0.45378623749591407,0.23798886798961452,0.15035202544976076,0.10033764774159419,0.08622260775922727,0.02689479286097983,0.103407437615795,0.10206763010284156,0.039107496122624125,0.15652049884714492,0.17741582787236024,0.06075441750883832,0.12115729745916333,-0.12973596599654605,0.05761177233232305,0.1624241744235079,-0.20264730953095517,0.05724307903339539]",0.37465262880513783,0.2054874581281667,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.611436083126477,0.32049197279174035,1.4867331463952869,,,,[],10
s30r01s_4e54c5b1984d929d,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,linear_fill_005,real_tsc_sqp_fill,"[-0.46002568608661143,0.24005219493110536,0.14757451660213972,0.0828766537985582,0.08844785010112455,0.029606370346954344,0.10147156877127408,0.15112713100415948,0.055557546681682855,0.13802331684826544,0.19274575151565454,0.04192118875617673,0.13383889150053158,-0.2065690389491804,0.06250867646224806,0.13890624971924567,-0.12993218785442254,0.07106493472893032]",0.3747494852198788,0.2060929297147398,0.04807504367787985,s30r00s_46e233f658ec22e4,fill,15,1.0,True,,4.64301677740748,0.33269649990374295,1.550516934308419,,,,[],11
s30r01s_bc22af69288d108c,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e15_s1.0,real_tsc_sqp_step,"[-0.4030934518181104,0.27786250362187725,0.13535042464019753,-0.059046725909055436,0.28143125181093886,0.08127521232009834,0.26599999999999996,0.26599999999999996,-0.0050000000000000044,0.30399999999999916,0.30400000000000005,0.11399999999999968,0.30399999999999927,0.3039999999999962,0.11399999999999955,0.3039999999999967,0.30399999999999794,0.11399999999999964]",0.3783903292585526,0.20369581936396514,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,15,1.0,True,Optimization terminated successfully,4.301602004501131,0.22591960671114886,0.7106614261354316,0.03605211840129121,0.10943348464604141,0.1225919606711149,[],12
s30r01s_e49d355e2c8f8280,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e12_s1.0,real_tsc_sqp_step,"[-0.40309345181811035,0.27786250362187764,0.1353504246401975,-0.05904672590905523,0.28143125181093886,0.08127521232009877,0.266,0.2659999999999998,-0.005000000000000018,0.30399999999999916,0.3039999999999997,0.11399999999999971,0.3039999999999991,0.30399999999999683,0.11399999999999963,0.3039999999999973,0.27383527416073045,0.11399999999999999]",0.37828063672495477,0.2037072144716799,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,12,1.0,True,Optimization terminated successfully,3.6908313449360155,0.22592171809396966,0.6622898401443571,0.036052367976691625,0.11402782153627464,0.07632215174646038,[],13
s30r01s_50f074ffd83fb36d,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e14_s1.0,real_tsc_sqp_step,"[-0.4030934518181108,0.27786250362187764,0.13535042464019773,-0.05904672590905523,0.2814312518109387,0.08127521232009874,0.266,0.26599999999999996,-0.0049999999999999975,0.30399999999999916,0.30400000000000005,0.11399999999999971,0.30399999999999927,0.30399999999999683,0.11399999999999963,0.3039999999999967,0.3009730117820521,0.11399999999999999]",0.37837880629931775,0.20369593411408718,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,14,1.0,True,Optimization terminated successfully,4.023817701116327,0.30032348630055106,0.943901944591691,0.03605214344583498,0.1300323486300551,0.11457533500014495,[],14
s30r01s_431d0b5d470e1085,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e15_s0.5,real_tsc_sqp_step,"[-0.42559345181811026,0.25536250362187746,0.14345042464019753,-0.10404672590905534,0.23643125181093885,0.06552521232009856,0.20299999999999999,0.20299999999999996,-0.027500000000000004,0.23199999999999918,0.232,0.0869999999999997,0.23199999999999923,0.2319999999999965,0.08699999999999959,0.231999999999997,0.23199999999999793,0.08699999999999983]",0.3763994483041595,0.20298070771736584,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,15,0.5,True,Optimization terminated successfully,4.582689024618441,0.3213263965835653,1.347512743152857,0.036484893650645604,0.1270007741627035,0.13213263965835653,[],15
s30r01s_e864672b7d6b71e7,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e12_s0.5,real_tsc_sqp_step,"[-0.42559345181811026,0.2553625036218777,0.1434504246401975,-0.10404672590905523,0.23643125181093883,0.06552521232009877,0.203,0.20299999999999987,-0.02750000000000001,0.23199999999999918,0.23199999999999987,0.08699999999999972,0.23199999999999915,0.2319999999999968,0.08699999999999963,0.23199999999999726,0.21691763708036418,0.087]",0.37635661688179034,0.20298356659051534,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,12,0.5,True,Optimization terminated successfully,3.8738172500093992,0.3213360902400366,0.971645408092431,0.03648501843834581,0.11640939540033589,0.07767851258589745,[],16
s30r01s_15f1fcfe8833dfa0,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e13_s1.0,real_tsc_sqp_step,"[-0.4030934518181101,0.2778625036218773,0.1353504246401975,-0.05904672590905588,0.28143125181093886,0.08127521232009868,0.2659999999999998,0.26599999999999996,-0.005000000000000178,0.30399999999999894,0.30400000000000005,0.1139999999999996,0.30399999999999916,0.3039999999999962,0.1139999999999996,0.30399999999999683,0.2836991209221107,0.11399999999999957]",0.37831524936382727,0.20370098062713335,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,13,1.0,True,Optimization terminated successfully,3.7465881683649958,0.3501374725716144,0.8993901684974925,0.03605228636568948,0.13501374725716145,0.09447741064673852,[],17
s30r01s_aa92c2ea323796c6,round_001_steps,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s30r00s_b51fe1a8accb7cee_balanced_e13_s0.5,real_tsc_sqp_step,"[-0.4255934518181101,0.25536250362187746,0.1434504246401975,-0.10404672590905556,0.23643125181093885,0.06552521232009872,0.2029999999999999,0.20299999999999996,-0.02750000000000009,0.23199999999999907,0.232,0.08699999999999966,0.2319999999999992,0.2319999999999965,0.08699999999999962,0.23199999999999704,0.2218495604610543,0.08699999999999979]",0.3763703065753995,0.20298200259128235,0.04807504367787985,s30r00s_b51fe1a8accb7cee,balanced,13,0.5,True,Optimization terminated successfully,3.933571900201993,0.41240340756677485,1.2683448175680159,0.036484977632844744,0.1412403407566775,0.09753292752928963,[],18
