variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,90.54724145209879,True,True
1,9,1,central,0.03600000000000003,66.41456670077397,True,True
2,9,2,central,0.014000000000000012,537.919732909432,True,True
3,10,0,central,0.055999999999999994,18.72701756939974,True,True
4,10,1,central,0.055999999999999994,144.02311545588194,True,True
5,10,2,central,0.019999999999999997,545.7242711639626,True,True
6,11,0,central,0.07000000000000003,38.20272004298846,True,True
7,11,1,central,0.07000000000000003,127.50860454612382,True,True
8,11,2,central,0.025999999999999995,508.99333887934154,True,True
9,12,0,central,0.07999999999999996,65.3871528217779,True,True
10,12,1,central,0.07999999999999996,98.90948648641613,True,True
11,12,2,central,0.029999999999999985,400.96267143382414,True,True
12,13,0,central,0.07999999999999996,13.821877532418357,True,True
13,13,1,central,0.08,115.91926156808978,True,True
14,13,2,central,0.030000000000000013,323.993531058232,True,True
15,14,0,central,0.07999999999999996,13.69625012123134,True,True
16,14,1,central,0.08,98.27125002556758,True,True
17,14,2,central,0.030000000000000013,217.74333333699303,True,True
