variable_index,tail_step,mode_index,method,denominator,column_norm,plus_success,minus_success
0,9,0,central,0.03600000000000003,207.8434202176244,True,True
1,9,1,central,0.03600000000000003,146.7093075633455,True,True
2,9,2,central,0.014000000000000012,539.4667052399082,True,True
3,10,0,central,0.055999999999999994,61.95275121134142,True,True
4,10,1,central,0.055999999999999994,203.8878176039973,True,True
5,10,2,central,0.019999999999999997,539.062565516473,True,True
6,11,0,central,0.07000000000000003,112.27396150398636,True,True
7,11,1,central,0.07000000000000003,146.65989711440452,True,True
8,11,2,central,0.025999999999999995,543.1285190757553,True,True
9,12,0,central,0.07999999999999996,60.44471781190037,True,True
10,12,1,central,0.07999999999999996,123.43453647680549,True,True
11,12,2,central,0.029999999999999985,401.60250743079087,True,True
12,13,0,central,0.07999999999999996,40.785163721955115,True,True
13,13,1,central,0.08,93.88135768020035,True,True
14,13,2,central,0.029999999999999992,380.5704968036662,True,True
15,14,0,central,0.07999999999999996,26.69375012670833,True,True
16,14,1,central,0.08,72.1375000164447,True,True
17,14,2,central,0.03,226.64666667691114,True,True
