candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r02p_7f999f7588d7cfe4,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.4210934518181101,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37729919008933593,0.20674814189898807,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,0,-1,0.018,-0.018000000000000016,two_sided,0
s30r02p_c1ea1031603d0374,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.38509345181811006,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3771159972380833,0.20639347100452415,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,0,1,0.018,0.018000000000000016,two_sided,1
s30r02p_88573c957ff224b6,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.40309345181811007,0.25986250362187663,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3771444597702875,0.2062729655132298,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,1,-1,0.018,-0.018000000000000016,two_sided,2
s30r02p_acae23c8a152c641,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.40309345181811007,0.29586250362187666,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772707392304907,0.2068683705895064,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,1,1,0.018,0.018000000000000016,two_sided,3
s30r02p_53844a1d9c102eac,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.12835042464019691,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37719390798635555,0.20655360707396553,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,2,-1,0.007,-0.007000000000000006,two_sided,4
s30r02p_973ee2667ea56c2b,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.14235042464019693,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772178295697389,0.20657457300407367,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,2,1,0.007,0.007000000000000006,two_sided,5
s30r02p_a560fb3668d6592e,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.16199999999999998,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37714334266561733,0.20622434971968515,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,3,-1,0.028,-0.027999999999999997,two_sided,6
s30r02p_cab44ea257b103f4,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.21799999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772776620081404,0.20693951867580657,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,3,1,0.028,0.027999999999999997,two_sided,7
s30r02p_c7cd096aeb7b3952,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.16199999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37714334266561733,0.20669552791901044,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,4,-1,0.028,-0.027999999999999997,two_sided,8
s30r02p_c6aaf15e1f04f6c5,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.21799999999999994,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772776620081404,0.2064688972832544,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,4,1,0.028,0.027999999999999997,two_sided,9
