candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,population_index
s30screen_82a405c618f8a8d0,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,hold_last,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458]",0.39828215531143035,0.2132372323095682,0.06082249957316407,0
s30screen_604cece040fe6765,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,zero_after_100,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.39122462798723,0.21601877208274917,0.06082249957316407,1
s30screen_a84ab8e503c688d2,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,linear_ramp_zero,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.37317024327405757,-0.10255925295513164,-8.408574985003664e-05,-0.2798776824555432,-0.07691943971634872,-6.306431238752747e-05,-0.18658512163702878,-0.05127962647756582,-4.204287492501832e-05,-0.09329256081851439,-0.02563981323878291,-2.102143746250916e-05,-0.0,-0.0,-0.0]",0.3929299954326874,0.2137964353605166,0.06082249957316407,2
s30screen_e2e7d1aa68596604,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,fast_ramp_zero,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.23323140204628598,-0.06409953309695728,-5.25535936562729e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",0.3915805253438111,0.2146325081798928,0.06082249957316407,3
s30screen_f2602628fffc0069,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,slow_ramp_zero,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.4198165236833148,-0.1153791595745231,-9.459646858129123e-05,-0.34984710306942896,-0.09614929964543592,-7.883039048440935e-05,-0.2565545422509146,-0.07050948640665301,-5.780895302190019e-05,-0.16326198143240017,-0.04486967316787009,-3.678751555939103e-05,-0.0699694206138858,-0.01922985992908718,-1.5766078096881868e-05]",0.3938082084682942,0.21366375715603148,0.06082249957316407,4
s30screen_604de94956a4fad3,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,continue_slope_decay,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.3628844912357111,0.09745119660617527,-0.03437591274993582,-0.3110953348072807,0.21027632800622018,-0.051511315531247465,-0.2852007565930655,0.2666888937062426,-0.06007901692190328,-0.27225346748595786,0.29489517655625386,-0.06436286761723119,-0.26577982293240404,0.3089983179812595,-0.06650479296489514]",0.39593027186094065,0.21423597648496384,0.06082249957316407,5
s30screen_cb50076ac2b6fd7d,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,mode1_plus_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.29317024327405755,-0.10255925295513164,-8.408574985003664e-05,-0.19987768245554316,-0.07691943971634872,-6.306431238752747e-05,-0.1305851216370288,-0.05127962647756582,-4.204287492501832e-05,-0.0692925608185144,-0.02563981323878291,-2.102143746250916e-05,0.0,-0.0,-0.0]",0.3922425441981281,0.21389873976932255,0.06082249957316407,6
s30screen_23e8a3664367d9c2,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,mode1_minus_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.4531702432740576,-0.10255925295513164,-8.408574985003664e-05,-0.3598776824555432,-0.07691943971634872,-6.306431238752747e-05,-0.24258512163702878,-0.05127962647756582,-4.204287492501832e-05,-0.11729256081851439,-0.02563981323878291,-2.102143746250916e-05,-0.0,-0.0,-0.0]",0.39381595483842474,0.21389873976932255,0.06082249957316407,7
s30screen_b2d0416c1372b211,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,mode2_plus_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.37317024327405757,-0.022559252955131642,-8.408574985003664e-05,-0.2798776824555432,0.003080560283651279,-6.306431238752747e-05,-0.18658512163702878,0.004720373522434172,-4.204287492501832e-05,-0.09329256081851439,-0.0016398132387829105,-2.102143746250916e-05,-0.0,0.0,-0.0]",0.3928137657321747,0.21389873976932255,0.06082249957316407,8
s30screen_c72bcd0743d17f35,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,mode2_minus_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.37317024327405757,-0.18255925295513165,-8.408574985003664e-05,-0.2798776824555432,-0.15691943971634872,-6.306431238752747e-05,-0.18658512163702878,-0.10727962647756581,-4.204287492501832e-05,-0.09329256081851439,-0.049639813238782915,-2.102143746250916e-05,-0.0,-0.0,-0.0]",0.3932461890668857,0.21389873976932255,0.06082249957316407,9
s30screen_b1e8e8a323cc161b,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,coupled_cross_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.29317024327405755,-0.18255925295513165,0.014915914250149962,-0.19987768245554316,-0.15691943971634872,0.014936935687612472,-0.1305851216370288,-0.10727962647756581,0.01045795712507498,-0.0692925608185144,-0.049639813238782915,0.00447897856253749,0.0,-0.0,0.0]",0.3925627791105368,0.2140045893018449,0.06082249957316407,10
s30screen_29a28161042a7717,screen,nominal_00_s22g005_adf586ba25597d7e,s22g005_adf586ba25597d7e,corner,opposite_cross_pulse,screen_template,"[-0.46646280409257196,-0.12819906619391455,-0.0001051071873125458,-0.4531702432740576,-0.022559252955131642,-0.015084085749850037,-0.3598776824555432,0.003080560283651279,-0.015063064312387527,-0.24258512163702878,0.004720373522434172,-0.010542042874925018,-0.11729256081851439,-0.0016398132387829105,-0.004521021437462509,-0.0,0.0,-0.0]",0.39370353050946627,0.2140045893018449,0.06082249957316407,11
s30screen_7d037ec543dff78f,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,hold_last,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",0.40388455716266614,0.21005683964126523,0.06092213390688114,12
s30screen_2f6b25bf687cf13d,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,zero_after_100,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.39282675594349103,0.21450339463002419,0.06092213390688114,13
s30screen_e5252559d2cf2422,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,linear_ramp_zero,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.45482312695900334,-0.17082680381592896,-0.027632863323022824,-0.34111734521925247,-0.12812010286194672,-0.020724647492267115,-0.22741156347950167,-0.08541340190796448,-0.013816431661511412,-0.11370578173975084,-0.04270670095398224,-0.006908215830755706,-0.0,-0.0,-0.0]",0.39550882450855895,0.21095364885590803,0.06092213390688114,14
s30screen_b169d52024b30379,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,fast_ramp_zero,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.2842644543493771,-0.1067667523849556,-0.017270539576889263,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",0.3933870281943177,0.2122917593641827,0.06092213390688114,15
s30screen_8648633cd82ed93d,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,slow_ramp_zero,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.5116760178288787,-0.1921801542929201,-0.031086971238400676,-0.4263966815240656,-0.1601501285774334,-0.025905809365333897,-0.3126908997843148,-0.11744342762345117,-0.01899759353457819,-0.19898511804456395,-0.07473672666946891,-0.012089377703822483,-0.08527933630481312,-0.03203002571548668,-0.005181161873066779]",0.39688745861388364,0.21074100222857603,0.06092213390688114,16
s30screen_da47e42e7bba6ec8,screen,nominal_01_s22g004_b034e7d0314c08d6,s22g004_b034e7d0314c08d6,corner,continue_slope_decay,screen_template,"[-0.5685289086987542,-0.2135335047699112,-0.03454107915377853,-0.4814264691922542,-0.0093577124866909,-0.07263357069244522,-0.4378752494390042,0.09273018365491925,-0.09167981646177857,-0.41609963956237916,0.14377413172572434,-0.10120293934644525,-0.4052118346240667,0.16929610576112689,-0.10596450078877859,-0.3997679321549104,0.18205709277882814,-0.10834528150994525]",0.39919210201056377,0.21087581935386576,0.06092213390688114,17
