step_index,time_ms_from_start,mode_1,mode_2,mode_3,action_norm_tsc,action_norm_display
0,0,2.3705445176467634,1.218059178969841,0.480262669915016,"[-0.2917738869313852,-0.9992690486248273,-0.7470719461551291,0.8966383527275104,1.0,0.6200864435791505,-0.4119958663819148,0.3396213939823961,-0.8008549409936256,0.7060123607692875,-0.6799108309047013,0.7899620276074177,-0.2726010763916445,0.8733041547078377]","[-0.2917738869313852,0.8966383527275104,-0.9992690486248273,1.0,-0.7470719461551291,0.6200864435791505,-0.4119958663819148,0.3396213939823961,-0.8008549409936256,0.7060123607692875,-0.6799108309047013,0.7899620276074177,-0.2726010763916445,0.8733041547078377]"
1,10,1.7873853428013768,1.5319834441862021,0.28986020499887877,"[-0.5508091113798973,-1.0,-0.6743233567192243,0.5044628681780112,0.745997037408722,0.5011915480770185,-0.35211385051350436,0.2874156747814923,-0.6418957408481966,0.6262081506312607,-0.46967962034331323,0.7493776280508192,2.0621964038042074e-05,0.9354917984504362]","[-0.5508091113798973,0.5044628681780112,-1.0,0.745997037408722,-0.6743233567192243,0.5011915480770185,-0.35211385051350436,0.2874156747814923,-0.6418957408481966,0.6262081506312607,-0.46967962034331323,0.7493776280508192,2.0621964038042074e-05,0.9354917984504362]"
2,20,1.2042261679559902,1.8459077094025633,0.09945774008274161,"[-0.8083994979409388,-1.0,-0.6013770141420297,0.11350049853012854,0.4924745515434134,0.38241089819980334,-0.29221680290447405,0.23521109097846257,-0.48310980174694484,0.5462696478476657,-0.25995365824240907,0.7084112219544597,0.27154370965082975,0.9967477984266094]","[-0.8083994979409388,0.11350049853012854,-1.0,0.4924745515434134,-0.6013770141420297,0.38241089819980334,-0.29221680290447405,0.23521109097846257,-0.48310980174694484,0.5462696478476657,-0.25995365824240907,0.7084112219544597,0.27154370965082975,0.9967477984266094]"
3,30,0.4058699528127642,1.9547204162635479,-0.11886421791327684,"[-1.0,-0.88355569852778,-0.4501928262471452,-0.33305234793552424,0.154319086393581,0.20649854841240417,-0.1914706215617158,0.15021054527689431,-0.2497385940570896,0.3948388725182874,0.004784324542730619,0.5819743912289742,0.5444414161754658,0.9515749996293743]","[-1.0,-0.33305234793552424,-0.88355569852778,0.154319086393581,-0.4501928262471452,0.20649854841240417,-0.1914706215617158,0.15021054527689431,-0.2497385940570896,0.3948388725182874,0.004784324542730619,0.5819743912289742,0.5444414161754658,0.9515749996293743]"
4,40,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,"[-1.0,-0.6388180028370897,-0.24681889199576953,-0.660877749343444,-0.16064410952834002,0.02193709566009531,-0.07375694069323781,0.05275455927039308,-0.008866188016621363,0.20033787867746627,0.23075328219489805,0.3781704338524127,0.6888361323282861,0.7567203090416161]","[-1.0,-0.660877749343444,-0.6388180028370897,-0.16064410952834002,-0.24681889199576953,0.02193709566009531,-0.07375694069323781,0.05275455927039308,-0.008866188016621363,0.20033787867746627,0.23075328219489805,0.3781704338524127,0.6888361323282861,0.7567203090416161]"
5,50,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,"[-0.2710001290086041,-0.014081257650485087,0.06929468225050511,-0.38642791201315596,-0.24132827342393454,-0.10771943642428392,0.06114681958718747,-0.044078927452582434,0.17050853175379815,-0.05788372068985079,0.23989269425232504,-0.00497898039786728,0.33607807512562754,0.12760291583645467]","[-0.2710001290086041,-0.38642791201315596,-0.014081257650485087,-0.24132827342393454,0.06929468225050511,-0.10771943642428392,0.06114681958718747,-0.044078927452582434,0.17050853175379815,-0.05788372068985079,0.23989269425232504,-0.00497898039786728,0.33607807512562754,0.12760291583645467]"
6,60,-0.7957178132641703,-1.277439316850542,0.09160775102737818,"[0.6428513023577229,0.7287419921561525,0.43103311381220927,0.010186208500340254,-0.292317123008174,-0.24143107487152587,0.209684665443239,-0.1506641767735819,0.3515221802136676,-0.3531380895329011,0.20637700203438836,-0.4580337894334304,-0.14401241598054715,-0.6413954072624496]","[0.6428513023577229,0.010186208500340254,0.7287419921561525,-0.292317123008174,0.43103311381220927,-0.24143107487152587,0.209684665443239,-0.1506641767735819,0.3515221802136676,-0.3531380895329011,0.20637700203438836,-0.4580337894334304,-0.14401241598054715,-0.6413954072624496]"
7,70,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,"[0.418664076293088,0.5214135826632011,0.32541499318137107,-0.04785289532677109,-0.24070345810374624,-0.18349993865959546,0.16576419009572332,-0.10962123787813487,0.29862157677762047,-0.24669551945979715,0.22161270702990263,-0.3012841346123145,0.013926898029316112,-0.3841377361999141]","[0.418664076293088,-0.04785289532677109,0.5214135826632011,-0.24070345810374624,0.32541499318137107,-0.18349993865959546,0.16576419009572332,-0.10962123787813487,0.29862157677762047,-0.24669551945979715,0.22161270702990263,-0.3012841346123145,0.013926898029316112,-0.3841377361999141]"
8,80,0.1986434276998702,0.49204023013107095,0.21547878343592358,"[-0.13613482844034602,-0.1933202000885329,-0.11020661144258093,0.06917698148688836,0.13513358933204797,0.10153615242677894,-0.04761595990955345,0.06403058273741241,-0.057939408075555206,0.15339900861613898,0.022509187753131238,0.21312827119782515,0.19363125711018866,0.3315238631197781]","[-0.13613482844034602,0.06917698148688836,-0.1933202000885329,0.13513358933204797,-0.11020661144258093,0.10153615242677894,-0.04761595990955345,0.06403058273741241,-0.057939408075555206,0.15339900861613898,0.022509187753131238,0.21312827119782515,0.19363125711018866,0.3315238631197781]"
9,90,0.83132404818189,1.5122800036218753,0.028159299640196922,"[-0.7021411331831104,-0.8007626996792069,-0.46670335258283546,0.006766054780209502,0.33928192535394,0.2799152824791382,-0.22201746948769518,0.17642462734672384,-0.3557733637604437,0.418081371656915,-0.1685693667415487,0.554437044429968,0.2660525856720456,0.8030900297487021]","[-0.7021411331831104,0.006766054780209502,-0.8007626996792069,0.33928192535394,-0.46670335258283546,0.2799152824791382,-0.22201746948769518,0.17642462734672384,-0.3557733637604437,0.418081371656915,-0.1685693667415487,0.554437044429968,0.2660525856720456,0.8030900297487021]"
10,100,0.30806661553497394,0.4129908399311615,-0.005991563903879671,"[-0.19516948095643238,-0.2442194650120675,-0.14954909075618078,0.02825189384585564,0.11900249047168766,0.0912515264348007,-0.07424496656778483,0.05538633112098036,-0.12769089003535708,0.12689525895092826,-0.08080968608396653,0.16069284871450484,0.03573656543997435,0.2179443394017617]","[-0.19516948095643238,0.02825189384585564,-0.2442194650120675,0.11900249047168766,-0.14954909075618078,0.0912515264348007,-0.07424496656778483,0.05538633112098036,-0.12769089003535708,0.12689525895092826,-0.08080968608396653,0.16069284871450484,0.03573656543997435,0.2179443394017617]"
11,110,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,"[0.8161844076578839,0.8861418928544516,0.5482052394650984,0.11267764371449872,-0.2636555377671968,-0.22494713392999147,0.285985285523645,-0.13454769568128444,0.5439864925545708,-0.29913654597428885,0.4795245473190095,-0.34143381266194645,0.2558941873980874,-0.37473236216932004]","[0.8161844076578839,0.11267764371449872,0.8861418928544516,-0.2636555377671968,0.5482052394650984,-0.22494713392999147,0.285985285523645,-0.13454769568128444,0.5439864925545708,-0.29913654597428885,0.4795245473190095,-0.34143381266194645,0.2558941873980874,-0.37473236216932004]"
