variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.018000000000000016,63.42091578979649
1,8,1,secant,0.01799999999999996,63.4669994250897
2,8,2,secant,0.007000000000000006,558.2621413590147
3,9,0,secant,0.026000000000000023,96.76521067838449
4,9,1,secant,0.0259999999999998,71.64852918535433
5,9,2,secant,0.008999999999999998,191.47657630822576
6,10,0,secant,0.03600000000000003,40.893862493280075
7,10,1,secant,0.03600000000000003,109.5685158809415
8,10,2,secant,0.012999999999999998,521.6100667038148
9,11,0,secant,0.04400000000000004,82.55265418777293
10,11,1,secant,0.04400000000000004,89.16021995494675
11,11,2,secant,0.016000000000000014,435.2420334523341
12,12,0,secant,0.052000000000000046,58.332979838537426
13,12,1,secant,0.052000000000000046,106.17329925404718
14,12,2,secant,0.01899999999999996,387.55524182005377
15,13,0,secant,0.05200000000000002,31.196749705486276
16,13,1,secant,0.052000000000000046,72.59238703658919
17,13,2,secant,0.019000000000000017,268.1405972034664
18,14,0,secant,0.052000000000000046,32.75769235578019
19,14,1,secant,0.052000000000000046,90.39423077498162
20,14,2,secant,0.019000000000000017,297.88421053253467
