stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,controller_identification_999_probes,s31r999p_762ba9c067439dec,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[0.1896434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,0,-1,0.009,-0.009000000000000008,two_sided,0
Stage3.1,controller_identification_999_probes,s31r999p_7f5c01019934e180,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[0.2076434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,0,1,0.009,0.009000000000000008,two_sided,1
Stage3.1,controller_identification_999_probes,s31r999p_633377300e52a9db,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[0.1986434276998702,0.48304023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,1,-1,0.009,-0.009000000000000008,two_sided,2
Stage3.1,controller_identification_999_probes,s31r999p_e8f7deed233c01aa,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[0.1986434276998702,0.5010402301310709,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,1,1,0.009,0.008999999999999952,two_sided,3
Stage3.1,controller_identification_999_probes,s31r999p_7430b1fa1c56bddd,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21197878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,2,-1,0.0035,-0.003500000000000003,two_sided,4
Stage3.1,controller_identification_999_probes,s31r999p_756a4be8cc66119c,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21897878343592359,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,2,1,0.0035,0.003500000000000003,two_sided,5
Stage3.1,controller_identification_999_probes,s31r999p_0b949e08c6d28d42,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.81832404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,3,-1,0.013,-0.013000000000000012,two_sided,6
Stage3.1,controller_identification_999_probes,s31r999p_6de147eb9cfd6186,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.84432404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,3,1,0.013,0.013000000000000012,two_sided,7
Stage3.1,controller_identification_999_probes,s31r999p_8ed9bde8bda54aa0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.4992800036218754,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,4,-1,0.013,-0.0129999999999999,two_sided,8
Stage3.1,controller_identification_999_probes,s31r999p_b671798965b7c3c6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5252800036218752,0.028159299640196922,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,4,1,0.013,0.0129999999999999,two_sided,9
Stage3.1,controller_identification_999_probes,s31r999p_346e8b5e197dab6d,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.02365929964019692,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,5,-1,0.0045,-0.0045000000000000005,two_sided,10
Stage3.1,controller_identification_999_probes,s31r999p_e73c6e07366c17ac,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.03265929964019692,0.30806661553497394,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,5,1,0.0045,0.004499999999999997,two_sided,11
Stage3.1,controller_identification_999_probes,s31r999p_da372886045202c8,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.2900666155349739,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,6,-1,0.018,-0.018000000000000016,two_sided,12
Stage3.1,controller_identification_999_probes,s31r999p_893dbe58b1e7f15e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_p,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.32606661553497396,0.4309908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,6,1,0.018,0.018000000000000016,two_sided,13
Stage3.1,controller_identification_999_probes,s31r999p_69651620f6334222,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_m,real_tsc_fd_probe,"[0.1986434276998702,0.49204023013107095,0.21547878343592358,0.83132404818189,1.5122800036218753,0.028159299640196922,0.30806661553497394,0.4129908399311615,-0.005991563903879671,-1.1089019269553486,-1.1213055953182878,0.6599068669037618,-0.511986289280472,-0.46391496554601097,0.49992092091630724,-0.2679410662670594,-0.5027650000000008,0.3255964149569546,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s31r003s_42fa9af8412dc46c,nominal_05_s22g000_571ab4a158d29207,7,-1,0.018,-0.018000000000000016,two_sided,14
