variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,66.03272857051563
1,8,1,secant,0.028000000000000025,144.20355092231057
2,8,2,secant,0.009999999999999995,515.4449156164225
3,9,0,secant,0.040000000000000036,45.25397603605895
4,9,1,secant,0.03999999999999998,141.23120647635906
5,9,2,secant,0.014000000000000002,580.7262712016172
6,10,0,secant,0.06,54.37986500044711
7,10,1,secant,0.06,137.22858711620148
8,10,2,secant,0.022,500.2903635616319
9,11,0,secant,0.08,23.767292810131064
10,11,1,secant,0.08,116.0180563016726
11,11,2,secant,0.028,397.92456609763093
12,12,0,secant,0.1,28.354039885593355
13,12,1,secant,0.1,142.2433608143285
14,12,2,secant,0.036,390.34470010163415
15,13,0,secant,0.1,25.45091768875166
16,13,1,secant,0.1,131.1204698631272
17,13,2,secant,0.036,320.71383105288334
18,14,0,secant,0.1,24.295000081136482
19,14,1,secant,0.1,106.90900002782756
20,14,2,secant,0.036,215.2000000034225
