variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,55.17540218316023
1,8,1,secant,0.028000000000000025,157.9833045311615
2,8,2,secant,0.010000000000000009,383.2963244614228
3,9,0,secant,0.040000000000000036,55.71320080036856
4,9,1,secant,0.04000000000000001,150.45150455487027
5,9,2,secant,0.014000000000000012,498.6553289830406
6,10,0,secant,0.060000000000000026,22.779600129757924
7,10,1,secant,0.05999999999999997,133.11061044928405
8,10,2,secant,0.021999999999999992,518.8328000124834
9,11,0,secant,0.07999999999999996,84.4094979366317
10,11,1,secant,0.07999999999999996,101.10296204004817
11,11,2,secant,0.02800000000000001,565.4898397558133
12,12,0,secant,0.09999999999999998,27.766291030086506
13,12,1,secant,0.09999999999999998,90.53079599014961
14,12,2,secant,0.03599999999999999,411.9459564025879
15,13,0,secant,0.09999999999999998,25.73911832969419
16,13,1,secant,0.09999999999999998,89.9856439612352
17,13,2,secant,0.03599999999999999,326.47045195241327
18,14,0,secant,0.09999999999999998,23.79300007826895
19,14,1,secant,0.09999999999999998,74.67000003531982
20,14,2,secant,0.03599999999999999,217.3222222257147
