variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,128.1960810281618
1,8,1,secant,0.028000000000000025,105.49572845950263
2,8,2,secant,0.010000000000000009,836.3911726825165
3,9,0,secant,0.03999999999999998,32.5288995280495
4,9,1,secant,0.040000000000000036,100.05355788531638
5,9,2,secant,0.014000000000000012,531.744164264714
6,10,0,secant,0.06000000000000005,69.92022028527593
7,10,1,secant,0.06000000000000005,106.89605918522025
8,10,2,secant,0.022000000000000006,450.98495791892026
9,11,0,secant,0.08000000000000007,40.71049699578687
10,11,1,secant,0.08000000000000007,88.08054158916282
11,11,2,secant,0.028000000000000025,473.4183364792755
12,12,0,secant,0.10000000000000009,30.668139652476412
13,12,1,secant,0.10000000000000003,101.06669329384768
14,12,2,secant,0.035999999999999976,437.58553397719
15,13,0,secant,0.10000000000000009,54.843685574218135
16,13,1,secant,0.10000000000000003,78.18870103464576
17,13,2,secant,0.03600000000000003,322.92692081188596
18,14,0,secant,0.10000000000000009,37.89900004862388
19,14,1,secant,0.10000000000000003,81.9930000292959
20,14,2,secant,0.03600000000000003,256.09444444885935
