stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,sqp_center_candidate_id,sqp_profile,sqp_endpoint_step,sqp_step_scale,sqp_request_index,sqp_solver_success,sqp_solver_message,predicted_linear_objective,predicted_max_violation,predicted_sum_violation,predicted_l2_violation,predicted_position_box_m,predicted_endpoint_speed_m_per_s,predicted_late_speed_m_per_s,trust_scale,trust_boundary_fraction,unavailable_jacobian_variables_frozen,population_index
Stage3.1,round_001_steps,s31r001s_6714aa3cd8ae4de9,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e12_s0.5,real_tsc_sqp_step,"[-0.4233015723001297,-0.12990476986892896,0.20446953343592383,-0.1015934518181101,0.5793625036218756,0.18458042464019705,0.5796878951900235,0.41949999999999993,-0.015475000000000003,0.5608999999999994,0.5608999999999997,0.3094999999999999,0.6315999999999988,0.3148245710982773,0.2502749999999999,0.6316000000000002,-0.4084000000000003,0.25724038410472005,0.40777257688794877,-0.4084000000000001,0.28446043208674704]",s31r000s_6090307a93683d00,balanced,12,0.5,0,True,Optimization terminated successfully,3.260421089248291,0.07090622913941269,0.07090622913941269,0.07090622913941269,0.03212718687418238,0.06504528163637156,0.057585411008405626,1.35,0.5000000000000002,[],0
Stage3.1,round_001_steps,s31r001s_2a4d23abe01240b5,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e12_s1.0,real_tsc_sqp_step,"[-0.3693015723001297,-0.07590476986892895,0.22336953343592383,-0.020593451818110092,0.6603625036218755,0.1562304246401972,0.602375790380048,0.29799999999999993,0.028399999999999974,0.4123999999999995,0.41239999999999977,0.36349999999999977,0.4695999999999989,0.1528245710982773,0.3076499999999998,0.46960000000000046,-0.5704000000000001,0.22438076820944025,0.24577257688794896,-0.5704,0.2812051454305649]",s31r000s_6090307a93683d00,balanced,12,1.0,1,True,Optimization terminated successfully,3.1551555874182338,0.05888022494549183,0.05888022494549183,0.05888022494549183,0.031766406748364756,0.052323009640282095,0.05296531497357267,1.35,1.0,[],1
Stage3.1,round_001_steps,s31r001s_4bbbb00bedec7768,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e12_s1.5,real_tsc_sqp_step,"[-0.31530157230012973,-0.021904769868928947,0.24226953343592383,0.060406548181889896,0.7413625036218756,0.12788042464019733,0.6250636855700724,0.17649999999999993,0.07227499999999995,0.2638999999999996,0.26389999999999975,0.41749999999999965,0.30759999999999893,-0.009175428901722682,0.3650249999999997,0.30760000000000076,-0.7323999999999998,0.1915211523141604,0.08377257688794915,-0.7323999999999999,0.27794985877438283]",s31r000s_6090307a93683d00,balanced,12,1.5,2,True,Optimization terminated successfully,3.0779159105005145,0.046854220751571196,0.046854220751571196,0.046854220751571196,0.03140562662254714,0.040133628014503354,0.04916407304406589,1.35,1.5,[],2
Stage3.1,round_001_steps,s31r001s_93693bf26d726aaa,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e13_s0.5,real_tsc_sqp_step,"[-0.4233015723001297,-0.12990476986892907,0.20446953343592375,-0.10159345181811019,0.5793625036218756,0.18992468000277568,0.5814539992630909,0.4195,-0.015474999999999975,0.5608999999999993,0.5608999999999997,0.3095,0.6315999999999988,0.3148245710982773,0.25027499999999997,0.6315999999999998,-0.40840000000000054,0.2505093517445941,0.40777257688794866,-0.4084000000000001,0.283290360659298]",s31r000s_6090307a93683d00,balanced,13,0.5,3,True,Optimization terminated successfully,3.217526289249066,0.07085056369972276,0.07085056369972276,0.07085056369972276,0.032125516910991685,0.048512384347186834,0.04695253920777663,1.35,0.5000000000000002,[],3
Stage3.1,round_001_steps,s31r001s_0216069e265a70e4,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e13_s1.0,real_tsc_sqp_step,"[-0.3693015723001297,-0.07590476986892918,0.22336953343592364,-0.020593451818110287,0.6603625036218757,0.16691893536535446,0.6059079985261827,0.29800000000000004,0.02840000000000003,0.4123999999999993,0.41239999999999977,0.36350000000000005,0.46959999999999885,0.1528245710982773,0.30765,0.46959999999999985,-0.5704000000000006,0.2109187034891883,0.24577257688794868,-0.5704,0.2788650025756669]",s31r000s_6090307a93683d00,balanced,13,1.0,4,True,Optimization terminated successfully,3.093589410282657,0.05876889406611263,0.05876889406611263,0.05876889406611263,0.03176306682198338,0.03434104052266526,0.037277309184270135,1.35,1.0000000000000002,[],4
Stage3.1,round_001_steps,s31r001s_4faeb95e9bfaab26,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e13_s1.5,real_tsc_sqp_step,"[-0.3153015723001297,-0.02190476986892928,0.24226953343592356,0.06040654818188962,0.7413625036218756,0.1439131907279332,0.6303619977892746,0.1765000000000001,0.07227500000000003,0.2638999999999993,0.26389999999999975,0.41750000000000004,0.3075999999999989,-0.009175428901722682,0.365025,0.3075999999999999,-0.7324000000000005,0.1713280552337825,0.0837725768879487,-0.7324,0.2744396444920358]",s31r000s_6090307a93683d00,balanced,13,1.5,5,True,Optimization terminated successfully,3.0022183797171147,0.04668722443250206,0.04668722443250206,0.04668722443250206,0.03140061673297506,0.02083096108762107,0.028372075203934387,1.35,1.5000000000000002,[],5
Stage3.1,round_001_steps,s31r001s_ed74b35feff63118,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e14_s0.5,real_tsc_sqp_step,"[-0.4233015723001297,-0.12990476986892907,0.20446953343592378,-0.10159345181811011,0.5793625036218756,0.21610745487865107,0.5835852593296222,0.4195,-0.015474999999999982,0.5608999999999994,0.5608999999999998,0.3095,0.6315999999999988,0.31482457109827733,0.25027499999999997,0.6315999999999998,-0.40840000000000054,0.2520937324606869,0.40777257688794855,-0.40840000000000015,0.28941443269059286]",s31r000s_6090307a93683d00,balanced,14,0.5,6,True,Optimization terminated successfully,3.2759184725542094,0.07069636402366797,0.07069636402366797,0.07069636402366797,0.032120890920710035,0.03533253698202628,0.04967875484763651,1.35,0.5000000000000001,[],6
Stage3.1,round_001_steps,s31r001s_6b7d84871132d581,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e14_s1.0,real_tsc_sqp_step,"[-0.3693015723001297,-0.0759047698689292,0.22336953343592372,-0.02059345181811012,0.6603625036218757,0.21928448511710522,0.6101705186592454,0.29800000000000004,0.028400000000000016,0.41239999999999943,0.41239999999999993,0.3635,0.46959999999999885,0.15282457109827735,0.30765,0.46959999999999985,-0.5704000000000006,0.21408746492137382,0.24577257688794857,-0.5704000000000001,0.29111314663825666]",s31r000s_6090307a93683d00,balanced,14,1.0,7,True,Optimization terminated successfully,3.1282107094787834,0.05846049471400239,0.05846049471400239,0.05846049471400239,0.03175381484142007,0.028286334774408863,0.039091321671697946,1.35,1.0000000000000002,[],7
Stage3.1,round_001_steps,s31r001s_d82e21820d9f1e5e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e14_s1.5,real_tsc_sqp_step,"[-0.3153015723001297,-0.021904769868929336,0.24226953343592367,0.06040654818188987,0.7413625036218756,0.22246151535555936,0.6367557779888685,0.17650000000000016,0.072275,0.26389999999999947,0.2639,0.4175,0.3075999999999989,-0.009175428901722626,0.365025,0.3075999999999999,-0.7324000000000005,0.1760811973820608,0.08377257688794859,-0.7324000000000002,0.2928118605859204]",s31r000s_6090307a93683d00,balanced,14,1.5,8,True,Optimization terminated successfully,3.01879470525306,0.04622462540433703,0.04622462540433703,0.04622462540433703,0.031386738762130106,0.025086203371561054,0.029856164420255547,1.35,1.5000000000000002,[],8
Stage3.1,round_001_steps,s31r001s_85611e348dcb0e44,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e15_s0.5,real_tsc_sqp_step,"[-0.4233015723001297,-0.12990476986892896,0.20446953343592378,-0.1015934518181101,0.5793625036218756,0.21668081223491734,0.5834904661530872,0.41949999999999993,-0.015475000000000107,0.5608999999999993,0.5608999999999998,0.30949999999999994,0.6315999999999989,0.3148245710982773,0.2502749999999999,0.6316,-0.4084000000000003,0.23870368328543634,0.4077725768879487,-0.4084,0.287144416299886]",s31r000s_6090307a93683d00,balanced,15,0.5,9,True,Optimization terminated successfully,3.290872667045873,0.07069555829418328,0.07069555829418328,0.07069555829418328,0.0321208667488255,0.07222788798917115,0.057014869411672824,1.35,0.5000000000000002,[],9
Stage3.1,round_001_steps,s31r001s_5327de2ebb8d21ae,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e15_s1.0,real_tsc_sqp_step,"[-0.3693015723001297,-0.07590476986892894,0.22336953343592375,-0.020593451818110092,0.6603625036218755,0.22043119982963774,0.6099809323061752,0.29799999999999993,0.028399999999999766,0.4123999999999993,0.4123999999999998,0.36349999999999993,0.46959999999999896,0.1528245710982773,0.3076499999999999,0.4696000000000002,-0.5704000000000001,0.18730736657087274,0.24577257688794885,-0.5703999999999999,0.2865731138568429]",s31r000s_6090307a93683d00,balanced,15,1.0,10,True,Optimization terminated successfully,3.1300403703662893,0.058458883255033456,0.058458883255033456,0.058458883255033456,0.031753766497651,0.05953049708651261,0.04525358196179545,1.35,1.0,[],10
Stage3.1,round_001_steps,s31r001s_8931729c483db247,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center_s31r000s_6090307a93683d00_balanced_e15_s1.5,real_tsc_sqp_step,"[-0.3153015723001297,-0.02190476986892892,0.2422695334359237,0.060406548181889896,0.7413625036218754,0.22418158742435815,0.6364713984592634,0.1765,0.07227499999999962,0.2638999999999993,0.2638999999999998,0.41749999999999987,0.307599999999999,-0.009175428901722682,0.3650249999999999,0.3076000000000003,-0.7323999999999998,0.13591104985630914,0.08377257688794898,-0.7323999999999997,0.2860018114137998]",s31r000s_6090307a93683d00,balanced,15,1.5,11,True,Optimization terminated successfully,3.0137504192565894,0.04622220821588341,0.04622220821588341,0.04622220821588341,0.0313866662464765,0.04969029179221495,0.03562008016571628,1.35,1.5000000000000002,[],11
