variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,40.206666951090945
1,8,1,secant,0.027999999999999997,128.49242574781937
2,8,2,secant,0.010000000000000009,393.16943539697684
3,9,0,secant,0.04000000000000001,67.44632963886649
4,9,1,secant,0.040000000000000036,68.15392549726441
5,9,2,secant,0.014000000000000012,642.8053989237299
6,10,0,secant,0.06000000000000005,31.481505845312164
7,10,1,secant,0.06000000000000005,74.17443646281149
8,10,2,secant,0.022,641.8845615909769
9,11,0,secant,0.07999999999999999,84.64808207751122
10,11,1,secant,0.07999999999999999,104.72528287694816
11,11,2,secant,0.028000000000000025,404.0612880011017
12,12,0,secant,0.09999999999999998,58.35509986597812
13,12,1,secant,0.1,87.19550248023675
14,12,2,secant,0.03600000000000003,445.8230976050905
15,13,0,secant,0.09999999999999998,30.80120931393911
16,13,1,secant,0.10000000000000009,87.99981580751695
17,13,2,secant,0.03600000000000003,302.20268851350005
18,14,0,secant,0.09999999999999999,21.246000079740753
19,14,1,secant,0.10000000000000009,87.25000002970049
20,14,2,secant,0.03600000000000003,235.0305555590978
