variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.028000000000000025,267.2128748043309
1,8,1,secant,0.028000000000000025,294.8554480651135
2,8,2,secant,0.010000000000000009,496.9574860265501
3,9,0,secant,0.04000000000000001,202.04636625169778
4,9,1,secant,0.03999999999999998,213.61545310999293
5,9,2,secant,0.014000000000000012,788.7482883295127
6,10,0,secant,0.06000000000000005,144.1479710129668
7,10,1,secant,0.06000000000000005,144.67139124744182
8,10,2,secant,0.02200000000000002,777.8145536474717
9,11,0,secant,0.08000000000000007,120.50158445828359
10,11,1,secant,0.08000000000000007,150.98647398118962
11,11,2,secant,0.027999999999999997,622.6849170194228
12,12,0,secant,0.10000000000000009,105.44547209205469
13,12,1,secant,0.10000000000000009,175.7823877313593
14,12,2,secant,0.03600000000000003,608.6322504257517
15,13,0,secant,0.10000000000000009,46.54105069117469
16,13,1,secant,0.1,96.82661051951747
17,13,2,secant,0.036000000000000004,281.26421385271505
18,14,0,secant,0.10000000000000009,37.2150000563116
19,14,1,secant,0.1,102.978000027232
20,14,2,secant,0.036000000000000004,210.43055555844936
