variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.027999999999999997,57.230425050551275
1,8,1,secant,0.028000000000000025,127.18365690355009
2,8,2,secant,0.010000000000000009,688.7944729342936
3,9,0,secant,0.040000000000000036,46.365522798392966
4,9,1,secant,0.040000000000000036,155.3358390733271
5,9,2,secant,0.014000000000000012,397.6488089156055
6,10,0,secant,0.06000000000000005,36.79987536394503
7,10,1,secant,0.06000000000000005,75.26675149924696
8,10,2,secant,0.02200000000000002,721.4703171103836
9,11,0,secant,0.07999999999999996,40.10867672839237
10,11,1,secant,0.07999999999999996,112.86853370034551
11,11,2,secant,0.028000000000000025,489.1933563419805
12,12,0,secant,0.09999999999999998,23.243449327832906
13,12,1,secant,0.10000000000000009,96.36441190078615
14,12,2,secant,0.03600000000000003,490.54451521867566
15,13,0,secant,0.09999999999999998,39.30479467639224
16,13,1,secant,0.10000000000000009,89.6794856371539
17,13,2,secant,0.03600000000000003,343.00449209955866
18,14,0,secant,0.10000000000000003,46.08600004476989
19,14,1,secant,0.10000000000000009,83.37500002809463
20,14,2,secant,0.03600000000000003,236.02777777928526
