variable_index,control_step,mode_index,method,denominator,column_norm
0,8,0,secant,0.027999999999999997,38.585347481470194
1,8,1,secant,0.028000000000000025,119.05491610667606
2,8,2,secant,0.010000000000000009,682.0365832292837
3,9,0,secant,0.040000000000000036,31.587461850603486
4,9,1,secant,0.040000000000000036,147.1586994958807
5,9,2,secant,0.014000000000000012,394.29714673995477
6,10,0,secant,0.06000000000000005,72.2619635718618
7,10,1,secant,0.06000000000000005,138.81091282343002
8,10,2,secant,0.02200000000000002,500.07539595488606
9,11,0,secant,0.07999999999999996,41.01353248041434
10,11,1,secant,0.07999999999999996,107.00752655867687
11,11,2,secant,0.028000000000000025,476.3145879403595
12,12,0,secant,0.09999999999999998,23.091805673617532
13,12,1,secant,0.10000000000000009,90.35719864439258
14,12,2,secant,0.03600000000000003,431.4287789405602
15,13,0,secant,0.09999999999999998,30.74137563877297
16,13,1,secant,0.10000000000000009,87.00994798258395
17,13,2,secant,0.03600000000000003,327.7834488194482
18,14,0,secant,0.09999999999999998,32.93600005613565
19,14,1,secant,0.10000000000000009,74.079000031308
20,14,2,secant,0.03600000000000003,233.175000002835
