stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_003_probes,s31r003p_43ee0e2fb769a74d,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_m,real_tsc_fd_probe,"[-0.11060157230012978,0.19679523013107092,0.3188145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,0,-1,0.014,-0.013999999999999999,two_sided,0
Stage3.1,round_003_probes,s31r003p_7661bf5b1e5d61f5,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v0_p,real_tsc_fd_probe,"[-0.08260157230012978,0.19679523013107092,0.3188145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,0,1,0.014,0.013999999999999999,two_sided,1
Stage3.1,round_003_probes,s31r003p_a0d0a845b594edba,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_m,real_tsc_fd_probe,"[-0.09660157230012978,0.1827952301310709,0.3188145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,1,-1,0.014,-0.014000000000000012,two_sided,2
Stage3.1,round_003_probes,s31r003p_53c94aaed3eff3a3,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v1_p,real_tsc_fd_probe,"[-0.09660157230012978,0.21079523013107093,0.3188145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,1,1,0.014,0.014000000000000012,two_sided,3
Stage3.1,round_003_probes,s31r003p_d0a71ac2e3a284d0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3138145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,2,-1,0.005,-0.0050000000000000044,two_sided,4
Stage3.1,round_003_probes,s31r003p_8496e8e481ac637e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v2_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3238145334359237,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,2,1,0.005,0.0050000000000000044,two_sided,5
Stage3.1,round_003_probes,s31r003p_8b234febb6d19269,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359237,0.36845654818188994,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,3,-1,0.02,-0.020000000000000018,two_sided,6
Stage3.1,round_003_probes,s31r003p_213177365e75c8eb,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v3_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359237,0.40845654818189,1.0694125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,3,1,0.02,0.020000000000000018,two_sided,7
Stage3.1,round_003_probes,s31r003p_97ddbdf113308a5f,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359237,0.38845654818188996,1.0494125036218755,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,4,-1,0.02,-0.020000000000000018,two_sided,8
Stage3.1,round_003_probes,s31r003p_1fa0c8f358bd9be0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v4_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359237,0.38845654818188996,1.0894125036218756,0.1831629246401969,0.8660638235758349,0.9236739643805985,-0.19408748223780223,-0.3375250000000003,-0.3375249999999999,0.3646618669037618,-0.3485000000000007,-0.6652754289017229,0.4339516344440811,-0.34850000000000025,-1.3885000000000005,0.3080789752012877,-0.5167082586259077,-1.2227493649948122,0.3206996557771134]",s31r002s_4074755102f6b06f,nominal_05_s22g000_571ab4a158d29207,4,1,0.02,0.020000000000000018,two_sided,9
