phase,n_rows,n_successful,n_strict,n_relaxed,best_signed_margin
controller_round_000_probes,150,150,150,150,0.031981773333333297
extension_screen,48,48,0,6,-0.06842920999999991
hold_round_000_probes,120,120,0,120,-0.06497945000000005
hold_round_000_proposals,24,24,20,24,0.02433415333333333
hold_round_001_probes,120,120,120,120,0.025347149999999874
hold_round_001_proposals,24,24,24,24,0.030357773333333338
margin_round_000_probes,84,84,84,84,0.029030069999999908
margin_round_000_proposals,24,24,24,24,0.02920206999999997
margin_round_001_probes,84,84,84,84,0.03006014333333329
margin_round_001_proposals,24,24,24,24,0.029529189999999983
margin_round_002_probes,84,84,84,84,0.030616140000000014
margin_round_002_proposals,24,24,24,24,0.030279183333333348
