variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,0,0,0,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_fbb0f8bf3ff3332a"",""s32cr000p_78bed0b3d64f3dcf""]","[2.3705445176467634,2.3665445176467634,2.3745445176467634]"
1,1,0,1,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_6b60bc4747cb32b8"",""s32cr000p_592c11116502a6c4""]","[1.218059178969841,1.214059178969841,1.222059178969841]"
2,2,0,2,local_least_squares,3,4.500000000000008e-06,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_bba8572464f3076c"",""s32cr000p_c00c863c20b03f58""]","[0.480262669915016,0.478762669915016,0.481762669915016]"
3,3,1,0,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_cc25868f4d17257f"",""s32cr000p_fd93266b56b83ad8""]","[1.7873853428013768,1.7833853428013768,1.7913853428013768]"
4,4,1,1,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_5f985038dfb37d02"",""s32cr000p_022b5109e90d3549""]","[1.5319834441862021,1.5279834441862021,1.5359834441862021]"
5,5,1,2,local_least_squares,3,4.500000000000008e-06,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_e1a80c99d71cce54"",""s32cr000p_9e71d5727fe194e1""]","[0.28986020499887877,0.28836020499887877,0.29136020499887877]"
6,6,2,0,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_2d29baa75c529dc8"",""s32cr000p_9d4a06ffb3c1b264""]","[1.2042261679559902,1.2002261679559902,1.2082261679559902]"
7,7,2,1,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_e29143efb7fccc10"",""s32cr000p_0987118245c50591""]","[1.8459077094025633,1.8419077094025633,1.8499077094025633]"
8,8,2,2,local_least_squares,3,4.500000000000008e-06,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_c4ee2d46edfe40bd"",""s32cr000p_9486d71f8e871857""]","[0.09945774008274161,0.0979577400827416,0.10095774008274161]"
9,9,3,0,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_8769ceb43cda137f"",""s32cr000p_d9e4383baaf45273""]","[0.4058699528127642,0.4018699528127642,0.4098699528127642]"
10,10,3,1,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_be1f654d032d1f82"",""s32cr000p_8c3e1cf1528d31aa""]","[1.9547204162635479,1.9507204162635479,1.9587204162635479]"
11,11,3,2,local_least_squares,3,4.500000000000008e-06,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_2637169d4bcac87e"",""s32cr000p_ada29b12e6ae88bb""]","[-0.11886421791327684,-0.12036421791327684,-0.11736421791327684]"
12,12,4,0,local_least_squares,3,3.200000000000006e-05,"[""s32hr001s_c35a74e63036b542"",""s32cr000p_a978e72a0e76662c"",""s32cr000p_a114dd8440861eec""]","[-0.3924862623304618,-0.3964862623304618,-0.3884862623304618]"
