stage,phase,candidate_id,source_name,source_type,parent_candidate_id,source_stage3_1_candidate_id,full_control_vector,margin_control_vector,hold_control_vector,probe_center_candidate_id,probe_center_index,probe_variable_local_index,probe_variable_full_index,probe_step,probe_mode,probe_slot,probe_scheme,probe_requested_delta,probe_actual_delta,population_index
Stage3.2,controller_round_000_probes,s32cr000p_fbb0f8bf3ff3332a,center0_v0_0,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3665445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,0,0,0,0,0,two_sided,0.004,-0.0040000000000000036,0
Stage3.2,controller_round_000_probes,s32cr000p_78bed0b3d64f3dcf,center0_v0_1,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3745445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,0,0,0,0,1,two_sided,0.004,0.0040000000000000036,1
Stage3.2,controller_round_000_probes,s32cr000p_6b60bc4747cb32b8,center0_v1_0,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.214059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,1,1,0,1,0,two_sided,0.004,-0.0040000000000000036,2
Stage3.2,controller_round_000_probes,s32cr000p_592c11116502a6c4,center0_v1_1,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.222059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,1,1,0,1,1,two_sided,0.004,0.0040000000000000036,3
Stage3.2,controller_round_000_probes,s32cr000p_bba8572464f3076c,center0_v2_0,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.478762669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,2,2,0,2,0,two_sided,0.0015,-0.0015000000000000013,4
Stage3.2,controller_round_000_probes,s32cr000p_c00c863c20b03f58,center0_v2_1,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.481762669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,2,2,0,2,1,two_sided,0.0015,0.0015000000000000013,5
Stage3.2,controller_round_000_probes,s32cr000p_cc25868f4d17257f,center0_v3_0,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7833853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,3,3,1,0,0,two_sided,0.004,-0.0040000000000000036,6
Stage3.2,controller_round_000_probes,s32cr000p_fd93266b56b83ad8,center0_v3_1,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7913853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,3,3,1,0,1,two_sided,0.004,0.0040000000000000036,7
Stage3.2,controller_round_000_probes,s32cr000p_5f985038dfb37d02,center0_v4_0,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5279834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,4,4,1,1,0,two_sided,0.004,-0.0040000000000000036,8
Stage3.2,controller_round_000_probes,s32cr000p_022b5109e90d3549,center0_v4_1,real_tsc_fd_probe,s32hr001s_c35a74e63036b542,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5359834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.14606661553497394,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[0.22499999999999984,0.22499999999999998,0.00874999999999996,0.27,0.2699999999999999,0.09449999999999997,-0.02159041059921596,0.315,-0.012499999999999935,-0.039999999999999925,0.08859789698863821,-0.013750000000000005,-0.0449999999999999,-0.044999999999999846,-0.015,-0.1991253391949117,-0.04499999999999993,0.07500042670153008,0.01484548721785317,-0.3471300973687731,0.15750000000000003,0.04507361398535806,0.01128223188424829,0.07327460942653245,0.03292564825615048,0.0898852507822189,-0.003937336584220397,0.01960896961420761,0.0587203843804233,-0.011737417610397852]",s32hr001s_c35a74e63036b542,0,4,4,1,1,1,two_sided,0.004,0.0040000000000000036,9
