variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,45,15,0,local_least_squares,3,0.000288,"[""s32screen_c618189c752da155"",""s32hr000p_cd139e544caec08e"",""s32hr000p_89bc32b336006ea8""]","[0.010727821012109284,-0.001272178987890716,0.022727821012109285]"
1,46,15,1,local_least_squares,3,0.0002880000000000005,"[""s32screen_c618189c752da155"",""s32hr000p_727da36e8e3edaa6"",""s32hr000p_04a9a982bcb3bbda""]","[-0.2724429939393861,-0.2844429939393861,-0.2604429939393861]"
2,47,15,2,local_least_squares,3,3.200000000000006e-05,"[""s32screen_c618189c752da155"",""s32hr000p_234421643b79ef68"",""s32hr000p_5942872d1158f7ab""]","[0.18842695188747163,0.18442695188747163,0.19242695188747164]"
3,48,16,0,local_least_squares,3,0.00039200000000000004,"[""s32screen_c618189c752da155"",""s32hr000p_7a5489edf4ee0e06"",""s32hr000p_3c5ee03fd814f699""]","[0.004291128404843714,-0.009708871595156286,0.018291128404843714]"
4,49,16,1,local_least_squares,3,0.0003919999999999999,"[""s32screen_c618189c752da155"",""s32hr000p_1e72c9407102ee2e"",""s32hr000p_2fbdbd593f444d7b""]","[-0.10897719757575444,-0.12297719757575444,-0.09497719757575444]"
5,50,16,2,local_least_squares,3,5.000000000000009e-05,"[""s32screen_c618189c752da155"",""s32hr000p_702ffc21d47c8733"",""s32hr000p_debe4eb611ca8a93""]","[0.07537078075498865,0.07037078075498865,0.08037078075498866]"
6,51,17,0,local_least_squares,3,0.000512,"[""s32screen_c618189c752da155"",""s32hr000p_cf6905cf89cce870"",""s32hr000p_e26c3d025b889bcd""]","[0.0,-0.016,0.016]"
7,52,17,1,local_least_squares,3,0.000512,"[""s32screen_c618189c752da155"",""s32hr000p_b84831eb5382b1e0"",""s32hr000p_e482589b34a96527""]","[0.0,-0.016,0.016]"
8,53,17,2,local_least_squares,3,6.049999999999999e-05,"[""s32screen_c618189c752da155"",""s32hr000p_81d5b99aa9653dee"",""s32hr000p_067ba70e4d18810c""]","[0.0,-0.0055,0.0055]"
9,54,18,0,local_least_squares,3,0.0006479999999999999,"[""s32screen_c618189c752da155"",""s32hr000p_53764b7a3bc9855f"",""s32hr000p_34b83d2c8e697afb""]","[0.0,-0.018,0.018]"
10,55,18,1,local_least_squares,3,0.0006479999999999999,"[""s32screen_c618189c752da155"",""s32hr000p_ce3cc6de876382cb"",""s32hr000p_139452be1355ca23""]","[0.0,-0.018,0.018]"
11,56,18,2,local_least_squares,3,7.2e-05,"[""s32screen_c618189c752da155"",""s32hr000p_22de41c0ae7e2803"",""s32hr000p_8b2c54a42314e9ca""]","[0.0,-0.006,0.006]"
12,57,19,0,local_least_squares,3,0.0008,"[""s32screen_c618189c752da155"",""s32hr000p_5a4fe000ad344fb2"",""s32hr000p_0640cb77d932a168""]","[0.0,-0.02,0.02]"
13,58,19,1,local_least_squares,3,0.0008,"[""s32screen_c618189c752da155"",""s32hr000p_0bb8cdc1fd5e9084"",""s32hr000p_be2619d9b004aec2""]","[0.0,-0.02,0.02]"
14,59,19,2,local_least_squares,3,9.800000000000001e-05,"[""s32screen_c618189c752da155"",""s32hr000p_4cc58f843ab47477"",""s32hr000p_097df83741887ed7""]","[0.0,-0.007,0.007]"
15,60,20,0,local_least_squares,3,0.0008,"[""s32screen_c618189c752da155"",""s32hr000p_450765cd527db80e"",""s32hr000p_ba54857f362940c8""]","[0.0,-0.02,0.02]"
16,61,20,1,local_least_squares,3,0.0008,"[""s32screen_c618189c752da155"",""s32hr000p_a36d4424dfa219b9"",""s32hr000p_6550aa044ca6f0f4""]","[0.0,-0.02,0.02]"
17,62,20,2,local_least_squares,3,9.800000000000001e-05,"[""s32screen_c618189c752da155"",""s32hr000p_1d37cf097d823f99"",""s32hr000p_8b432523dee498d1""]","[0.0,-0.007,0.007]"
18,63,21,0,local_least_squares,3,0.0009679999999999999,"[""s32screen_c618189c752da155"",""s32hr000p_8b878c546942b427"",""s32hr000p_084ab2ea0158f781""]","[0.0,-0.022,0.022]"
