variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,45,15,0,local_least_squares,3,0.000288,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_1bc693fdb259da30"",""s32hr000p_811c0ac5cb53850e""]","[0.0,-0.012,0.012]"
1,46,15,1,local_least_squares,3,0.000288,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_e9e951812950964b"",""s32hr000p_4e7983e632964bcf""]","[0.0,-0.012,0.012]"
2,47,15,2,local_least_squares,3,3.2e-05,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_af1348db4d7280b0"",""s32hr000p_c9ffcd90049a715d""]","[0.0,-0.004,0.004]"
3,48,16,0,local_least_squares,3,0.00039200000000000004,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_e1c4c18b22e636a2"",""s32hr000p_11900ddda77f8702""]","[0.0,-0.014,0.014]"
4,49,16,1,local_least_squares,3,0.00039200000000000004,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_ed298944e2dcfd21"",""s32hr000p_e21c30549e6e55d0""]","[0.0,-0.014,0.014]"
5,50,16,2,local_least_squares,3,5e-05,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_e64ef81896eafb5a"",""s32hr000p_86fe08ba817522e4""]","[0.0,-0.005,0.005]"
6,51,17,0,local_least_squares,3,0.000512,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_8364cdfded9c07cd"",""s32hr000p_d35dff7706b4b761""]","[0.0,-0.016,0.016]"
7,52,17,1,local_least_squares,3,0.000512,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_a3d434b8f3648d65"",""s32hr000p_7ee8a5ee0934292d""]","[0.0,-0.016,0.016]"
8,53,17,2,local_least_squares,3,6.049999999999999e-05,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_c2f43de38c806a01"",""s32hr000p_a7ed551e58149fc8""]","[0.0,-0.0055,0.0055]"
9,54,18,0,local_least_squares,3,0.0006479999999999999,"[""s32screen_c9259cdaf60f253e"",""s32hr000p_59cb6895fd32ffd2"",""s32hr000p_4a5ac91d3236b42f""]","[0.0,-0.018,0.018]"
