variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,45,15,0,local_least_squares,3,0.00028799999999999984,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_0f84b71c12d25c96"",""s32hr001p_dc853275388cf17a""]","[0.1,0.08800000000000001,0.112]"
1,46,15,1,local_least_squares,3,0.00028799999999999984,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_4b38e4a1c796a46c"",""s32hr001p_9937bcad1a6f0908""]","[0.1,0.08800000000000001,0.112]"
2,47,15,2,local_least_squares,3,3.200000000000003e-05,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_7dbb1938bec950b3"",""s32hr001p_ed3f3309379d69c0""]","[-0.035,-0.03900000000000001,-0.031000000000000003]"
3,48,16,0,local_least_squares,3,0.0003920000000000003,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_4b9e2ba2367c5865"",""s32hr001p_0d4a363734aeeb34""]","[0.12,0.106,0.134]"
4,49,16,1,local_least_squares,3,0.0003920000000000003,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_313c4f291ede6374"",""s32hr001p_ed09aac716773678""]","[0.12,0.106,0.134]"
5,50,16,2,local_least_squares,3,4.999999999999995e-05,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_9b395f21f91110ce"",""s32hr001p_265fc482ba0a12ed""]","[0.042,0.037000000000000005,0.047]"
6,51,17,0,local_least_squares,3,0.0005120000000000005,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_91abbb12e23bfa8e"",""s32hr001p_f79d34b5e60748b0""]","[0.14,0.12400000000000001,0.15600000000000003]"
7,52,17,1,local_least_squares,3,0.0005120000000000005,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_ed00a4482ad4aa8f"",""s32hr001p_ff89a26f00ae65d6""]","[0.14,0.12400000000000001,0.15600000000000003]"
8,53,17,2,local_least_squares,3,6.049999999999995e-05,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_0081b6ffe90e4ad6"",""s32hr001p_1722468d11f59252""]","[0.05,0.044500000000000005,0.0555]"
9,54,18,0,local_least_squares,3,0.0006479999999999992,"[""s32hr000s_a34c24e89a7d631f"",""s32hr001p_fbb0b02e3bcb9391"",""s32hr001p_04112c1bfe369922""]","[0.16,0.14200000000000002,0.178]"
