variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,45,15,0,local_least_squares,3,0.00028799999999999984,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_02a3d54fc5ca6b6b"",""s32hr001p_984371a98c4098d9""]","[0.1,0.08800000000000001,0.112]"
1,46,15,1,local_least_squares,3,0.00028799999999999984,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_9b230ab702d856b2"",""s32hr001p_25c32146eff8fa23""]","[0.09999999999999942,0.08799999999999943,0.11199999999999942]"
2,47,15,2,local_least_squares,3,3.200000000000003e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_5cee6b78dbffc6e6"",""s32hr001p_9a740a1089eb060f""]","[-0.035,-0.03900000000000001,-0.031000000000000003]"
3,48,16,0,local_least_squares,3,0.0003920000000000003,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_2e0b160445c72a9d"",""s32hr001p_5e3455ad14cecb32""]","[0.11999999999999983,0.10599999999999983,0.13399999999999984]"
4,49,16,1,local_least_squares,3,0.0003920000000000003,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_a0b8eedd0b538c2c"",""s32hr001p_8a0162ddd2ee3ac8""]","[0.12,0.106,0.134]"
5,50,16,2,local_least_squares,3,4.999999999999995e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_d5238299e1aed611"",""s32hr001p_5d1e99fea14cffc0""]","[0.04199999999999932,0.036999999999999325,0.04699999999999932]"
6,51,17,0,local_least_squares,3,0.0005119999999999995,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_b6e689cc251975b5"",""s32hr001p_8f659ed623e85a33""]","[0.13999999999999965,0.12399999999999965,0.15599999999999964]"
7,52,17,1,local_least_squares,3,0.0005119999999999995,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_697bd3eadb54126d"",""s32hr001p_7da6a120c628261c""]","[0.13999999999999993,0.12399999999999993,0.15599999999999992]"
8,53,17,2,local_least_squares,3,6.049999999999995e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_fd15087039afc7fe"",""s32hr001p_d011ad0a3f5e3df4""]","[0.049999999999999725,0.04449999999999973,0.05549999999999972]"
9,54,18,0,local_least_squares,3,0.0006479999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_793ea10c41e7ef84"",""s32hr001p_aeb616f73c444e44""]","[0.15999999999999967,0.14199999999999968,0.17799999999999966]"
10,55,18,1,local_least_squares,3,0.0006479999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_51baa753078a5e51"",""s32hr001p_67803f9eecd44cfe""]","[0.15999999999999992,0.14199999999999993,0.1779999999999999]"
11,56,18,2,local_least_squares,3,7.199999999999996e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_cd84be59ceb3b51d"",""s32hr001p_d6bb64c6a8d804fa""]","[0.05499999999999971,0.04899999999999971,0.06099999999999971]"
12,57,19,0,local_least_squares,3,0.0007999999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_5a4cca07443ffd53"",""s32hr001p_4b745335a5ac2171""]","[0.17999999999999938,0.1599999999999994,0.19999999999999937]"
13,58,19,1,local_least_squares,3,0.0007999999999999993,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_4a263ace1c133e61"",""s32hr001p_149ea69eb4d0b284""]","[0.18,0.16,0.19999999999999998]"
14,59,19,2,local_least_squares,3,9.799999999999998e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_57d3003030db713f"",""s32hr001p_e288851268c7db6b""]","[0.05999999999999998,0.05299999999999998,0.06699999999999998]"
15,60,20,0,local_least_squares,3,0.0008000000000000004,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_524c03bbe3da1e31"",""s32hr001p_9976cbbc5ab4d20b""]","[0.0960377933185956,0.0760377933185956,0.11603779331859561]"
16,61,20,1,local_least_squares,3,0.0007999999999999993,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_7b3ba46d83fd93fa"",""s32hr001p_8a74f9ec94da99cd""]","[0.18,0.16,0.19999999999999998]"
17,62,20,2,local_least_squares,3,9.800000000000008e-05,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_00cb93da9f596493"",""s32hr001p_a0918230ec143875""]","[0.059999999999999734,0.052999999999999735,0.06699999999999974]"
18,63,21,0,local_least_squares,3,0.0009679999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_eaf96375ee41b4aa"",""s32hr001p_db2d9a133de983d8""]","[-0.2,-0.222,-0.17800000000000002]"
19,64,21,1,local_least_squares,3,0.0009679999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_a0a4dbe00e18ec0c"",""s32hr001p_942687b4787efeff""]","[0.1003177443843945,0.07831774438439451,0.1223177443843945]"
20,65,21,2,local_least_squares,3,0.00012800000000000013,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_d333d952bf044ca9"",""s32hr001p_62e217c325f6c42d""]","[-0.07,-0.07800000000000001,-0.062000000000000006]"
21,66,22,0,local_least_squares,3,0.0009679999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_6f3eae9084ea04be"",""s32hr001p_c45b83f17c820e7e""]","[-0.2,-0.222,-0.17800000000000002]"
22,67,22,1,local_least_squares,3,0.0009679999999999992,"[""s32hr000s_f20891ea3dd1d15b"",""s32hr001p_91d32cee29c7723a"",""s32hr001p_56de76912531a4ef""]","[-0.19999999999999976,-0.22199999999999975,-0.17799999999999977]"
