variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_2c7492e06a88d564"",""s32mr000p_377677a291606260""]","[0.1986434276998702,0.1896434276998702,0.2076434276998702]"
1,25,8,1,local_least_squares,3,0.00016199999999999928,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_075a4c3c3098572b"",""s32mr000p_245bc2d3af4f7857""]","[0.49204023013107095,0.48304023013107095,0.5010402301310709]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_e7a8c4fcbbd50306"",""s32mr000p_50016f5435f887fb""]","[0.21547878343592358,0.21197878343592358,0.21897878343592359]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_140a024f5674117c"",""s32mr000p_48c89c0861dbb024""]","[0.84432404818189,0.83132404818189,0.85732404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_1465aea3c18daa1f"",""s32mr000p_456f70fce6f9b692""]","[1.5122800036218753,1.4992800036218754,1.5252800036218752]"
5,29,9,2,local_least_squares,3,4.049999999999998e-05,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_1d0964892468477a"",""s32mr000p_f26114f9a1d2545c""]","[0.028159299640196922,0.02365929964019692,0.03265929964019692]"
6,30,10,0,local_least_squares,3,0.0006480000000000011,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_0d9616023051ff53"",""s32mr000p_5f88475a7a20df3e""]","[0.30806661553497394,0.2900666155349739,0.32606661553497396]"
7,31,10,1,local_least_squares,3,0.0006480000000000011,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_d821b06f0401c6cd"",""s32mr000p_6feca64ca06c478c""]","[0.4309908399311615,0.4129908399311615,0.4489908399311615]"
8,32,10,2,local_least_squares,3,8.449999999999998e-05,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_fec587c002db2675"",""s32mr000p_fbb940c9730bf072""]","[-0.005991563903879671,-0.01249156390387967,0.0005084360961203288]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_18832dd2ce87e627"",""s32mr000p_071582ee3b8ff795""]","[-1.1089019269553486,-1.1309019269553486,-1.0869019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_62d8adc93fec36e3"",""s32mr000p_eab16f7ce0fa51a6""]","[-1.1213055953182878,-1.1433055953182878,-1.0993055953182878]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_c60d618dc6868b91"",""s32mr000p_3e65887b1b6a392e""]","[0.6599068669037618,0.6519068669037618,0.6679068669037618]"
12,36,12,0,local_least_squares,3,0.0013520000000000025,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_a8e215958e6ed0f2"",""s32mr000p_7b0453888b05b9dd""]","[-0.511986289280472,-0.537986289280472,-0.48598628928047194]"
13,37,12,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_c87b5a532a0fd9ae"",""s32mr000p_19377a0ce032ab46""]","[-0.46391496554601097,-0.489914965546011,-0.43791496554601095]"
14,38,12,2,local_least_squares,3,0.00018049999999999926,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_087308fdfd7b8cd7"",""s32mr000p_14f360e6cac275a8""]","[0.49992092091630724,0.49042092091630723,0.5094209209163072]"
15,39,13,0,local_least_squares,3,0.001352000000000001,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_c5afec382c135cf8"",""s32mr000p_db40162d64cf7afb""]","[-0.2679410662670594,-0.2939410662670594,-0.24194106626705938]"
16,40,13,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_a2c50c5bc6eae084"",""s32mr000p_84433537a5a4db41""]","[-0.5027650000000008,-0.5287650000000008,-0.47676500000000077]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_50872658506f97cb"",""s32mr000p_811e29ae24aeb1bc""]","[0.3255964149569546,0.3160964149569546,0.33509641495695464]"
18,42,14,0,local_least_squares,3,0.0013520000000000025,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_15a4660c7b17aef4"",""s32mr000p_61d26fb31f9d59a6""]","[-0.2785443579757814,-0.30454435797578144,-0.2525443579757814]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_487827d532030bf4"",""s32mr000p_8308cce83814f9cd""]","[-0.8448859878787722,-0.8708859878787722,-0.8188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s31r999p_6de147eb9cfd6186"",""s32mr000p_030d3ffd3b97ffa9"",""s32mr000p_35eeed38fd2637d4""]","[0.3086456620311949,0.2991456620311949,0.31814566203119493]"
