variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_1f266cabfcce8ab1"",""s32mr000p_b200db628e78fb5f""]","[0.1986434276998702,0.1896434276998702,0.2076434276998702]"
1,25,8,1,local_least_squares,3,0.00016199999999999928,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_f5b0c7dc6515eb14"",""s32mr000p_22313c2c6e3ba91d""]","[0.49204023013107095,0.48304023013107095,0.5010402301310709]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_04a4d2aa87e2fb32"",""s32mr000p_0f189d968211e459""]","[0.21547878343592358,0.21197878343592358,0.21897878343592359]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_4320d03a23d4d54a"",""s32mr000p_e13225d7bbad1834""]","[0.83132404818189,0.81832404818189,0.84432404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_0181b119f6464122"",""s32mr000p_71e651a0a286ae94""]","[1.5122800036218753,1.4992800036218754,1.5252800036218752]"
5,29,9,2,local_least_squares,3,4.049999999999998e-05,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_f5fd11ca182d2831"",""s32mr000p_85cf471786a905a4""]","[0.028159299640196922,0.02365929964019692,0.03265929964019692]"
6,30,10,0,local_least_squares,3,0.0006480000000000011,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_0804f094c65038b6"",""s32mr000p_e32c23123f50b42f""]","[0.30806661553497394,0.2900666155349739,0.32606661553497396]"
7,31,10,1,local_least_squares,3,0.0006480000000000011,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_a38a679fab8d41b2"",""s32mr000p_21b2679f2a5f9e18""]","[0.4309908399311615,0.4129908399311615,0.4489908399311615]"
8,32,10,2,local_least_squares,3,8.449999999999998e-05,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_76454da8298487c8"",""s32mr000p_52912b0befc18931""]","[-0.005991563903879671,-0.01249156390387967,0.0005084360961203288]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_cc37326842efb369"",""s32mr000p_61cb9ea67c471f4e""]","[-1.0869019269553486,-1.1089019269553486,-1.0649019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_fefb0f3885ff5f49"",""s32mr000p_83abf965bf365546""]","[-1.1213055953182878,-1.1433055953182878,-1.0993055953182878]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_858b604796f79cac"",""s32mr000p_47932a0f2053a9ac""]","[0.6599068669037618,0.6519068669037618,0.6679068669037618]"
12,36,12,0,local_least_squares,3,0.0013520000000000025,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_a05b329cf1325d8a"",""s32mr000p_b77b3b3096168046""]","[-0.511986289280472,-0.537986289280472,-0.48598628928047194]"
13,37,12,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_3e1f5ed4ea81c2b2"",""s32mr000p_afba300b1cb4a49c""]","[-0.46391496554601097,-0.489914965546011,-0.43791496554601095]"
14,38,12,2,local_least_squares,3,0.00018049999999999926,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_ce371f6cf8bffe4e"",""s32mr000p_540900cc7ebba073""]","[0.49992092091630724,0.49042092091630723,0.5094209209163072]"
15,39,13,0,local_least_squares,3,0.001352000000000001,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_ef4eccd4b07d9174"",""s32mr000p_53cf70032c63c608""]","[-0.2679410662670594,-0.2939410662670594,-0.24194106626705938]"
16,40,13,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_041e0ea1f9a27a37"",""s32mr000p_2835c7c183254cd7""]","[-0.5027650000000008,-0.5287650000000008,-0.47676500000000077]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_27a196f89fc16c7d"",""s32mr000p_13d810b65ad031d0""]","[0.3255964149569546,0.3160964149569546,0.33509641495695464]"
18,42,14,0,local_least_squares,3,0.0013520000000000025,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_dff1981b9cdd0b3a"",""s32mr000p_a7a60d53100680f7""]","[-0.2785443579757814,-0.30454435797578144,-0.2525443579757814]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_57c17392178679ed"",""s32mr000p_1f8ae4ee00f7e106""]","[-0.8448859878787722,-0.8708859878787722,-0.8188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s31r999p_ac0ea0664b1523cf"",""s32mr000p_c99956ba2405c251"",""s32mr000p_ce678850f2e909e7""]","[0.3086456620311949,0.2991456620311949,0.31814566203119493]"
