variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s32mr000p_377677a291606260"",""s32mr001p_be0bd9fbc302e17b"",""s32mr001p_0b8e473d86cf3d02""]","[0.2076434276998702,0.1986434276998702,0.21664342769987022]"
1,25,8,1,local_least_squares,3,0.00016199999999999928,"[""s32mr000p_377677a291606260"",""s32mr001p_6f3b822eb3646be0"",""s32mr001p_58c0f0efcc85cb11""]","[0.49204023013107095,0.48304023013107095,0.5010402301310709]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s32mr000p_377677a291606260"",""s32mr001p_bd9304f68f6b2dfc"",""s32mr001p_1f76a5a31c570a9d""]","[0.21547878343592358,0.21197878343592358,0.21897878343592359]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s32mr000p_377677a291606260"",""s32mr001p_55a4e8b8181856fa"",""s32mr001p_c67d475d24ea0a7a""]","[0.84432404818189,0.83132404818189,0.85732404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s32mr000p_377677a291606260"",""s32mr001p_3e8f9b02127f1ff8"",""s32mr001p_719056a654d50ebc""]","[1.5122800036218753,1.4992800036218754,1.5252800036218752]"
5,29,9,2,local_least_squares,3,4.049999999999998e-05,"[""s32mr000p_377677a291606260"",""s32mr001p_3c03741d7ea50c69"",""s32mr001p_8d1f15d5c66e4f84""]","[0.028159299640196922,0.02365929964019692,0.03265929964019692]"
6,30,10,0,local_least_squares,3,0.0006480000000000011,"[""s32mr000p_377677a291606260"",""s32mr001p_97319dc3217f5afa"",""s32mr001p_fb2d57ea3e1c58d5""]","[0.30806661553497394,0.2900666155349739,0.32606661553497396]"
7,31,10,1,local_least_squares,3,0.0006480000000000011,"[""s32mr000p_377677a291606260"",""s32mr001p_b71293be9d687322"",""s32mr001p_782e2abd51bb4d3c""]","[0.4309908399311615,0.4129908399311615,0.4489908399311615]"
8,32,10,2,local_least_squares,3,8.449999999999998e-05,"[""s32mr000p_377677a291606260"",""s32mr001p_f176357d80ded900"",""s32mr001p_1297a909ab92792d""]","[-0.005991563903879671,-0.01249156390387967,0.0005084360961203288]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s32mr000p_377677a291606260"",""s32mr001p_47cd291b9bd58b8a"",""s32mr001p_933f09c1a1eea49a""]","[-1.1089019269553486,-1.1309019269553486,-1.0869019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s32mr000p_377677a291606260"",""s32mr001p_07ccac727414bb2f"",""s32mr001p_848b7586eb46057b""]","[-1.1213055953182878,-1.1433055953182878,-1.0993055953182878]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s32mr000p_377677a291606260"",""s32mr001p_a7421844f347adc2"",""s32mr001p_1abf4a4b24c1c82f""]","[0.6599068669037618,0.6519068669037618,0.6679068669037618]"
12,36,12,0,local_least_squares,3,0.0013520000000000025,"[""s32mr000p_377677a291606260"",""s32mr001p_4c1884dc5417bd6f"",""s32mr001p_d2fdb515166edf27""]","[-0.511986289280472,-0.537986289280472,-0.48598628928047194]"
13,37,12,1,local_least_squares,3,0.0013520000000000025,"[""s32mr000p_377677a291606260"",""s32mr001p_ff06b1369b748ed2"",""s32mr001p_ff5d1d490f2e4e7f""]","[-0.46391496554601097,-0.489914965546011,-0.43791496554601095]"
14,38,12,2,local_least_squares,3,0.00018049999999999926,"[""s32mr000p_377677a291606260"",""s32mr001p_5a4a63fa42dd761d"",""s32mr001p_486a9e9b0b334c45""]","[0.49992092091630724,0.49042092091630723,0.5094209209163072]"
15,39,13,0,local_least_squares,3,0.001352000000000001,"[""s32mr000p_377677a291606260"",""s32mr001p_97ba1cb565e923eb"",""s32mr001p_a99f926144103f7f""]","[-0.2679410662670594,-0.2939410662670594,-0.24194106626705938]"
16,40,13,1,local_least_squares,3,0.0013520000000000025,"[""s32mr000p_377677a291606260"",""s32mr001p_99e5ca23f4da9e46"",""s32mr001p_4c226101f86f962f""]","[-0.5027650000000008,-0.5287650000000008,-0.47676500000000077]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s32mr000p_377677a291606260"",""s32mr001p_0c66c6a977f94b2e"",""s32mr001p_22ffcfe1048bdf9f""]","[0.3255964149569546,0.3160964149569546,0.33509641495695464]"
18,42,14,0,local_least_squares,3,0.0013520000000000025,"[""s32mr000p_377677a291606260"",""s32mr001p_42e3a50edb846b4d"",""s32mr001p_84aad7efa7f01959""]","[-0.2785443579757814,-0.30454435797578144,-0.2525443579757814]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s32mr000p_377677a291606260"",""s32mr001p_5200b71872890819"",""s32mr001p_b393b8be5217f53f""]","[-0.8448859878787722,-0.8708859878787722,-0.8188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s32mr000p_377677a291606260"",""s32mr001p_dd94f54f4a1e2e54"",""s32mr001p_e3cdcb776d0f9161""]","[0.3086456620311949,0.2991456620311949,0.31814566203119493]"
