variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s32mr000s_775222de137afe83"",""s32mr001p_6ae24e13b54b470b"",""s32mr001p_ab1dff8ddf4e904e""]","[0.2786434276998702,0.2696434276998702,0.2876434276998702]"
1,25,8,1,local_least_squares,3,0.00016200000000000028,"[""s32mr000s_775222de137afe83"",""s32mr001p_d7c4753970188e08"",""s32mr001p_7c50659dc36f6160""]","[0.572040230131071,0.563040230131071,0.581040230131071]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s32mr000s_775222de137afe83"",""s32mr001p_1b3397e2020f0f2d"",""s32mr001p_12e6bf63e622ee4a""]","[0.18747878343592358,0.18397878343592358,0.1909787834359236]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s32mr000s_775222de137afe83"",""s32mr001p_b0e112bea70dd30b"",""s32mr001p_647b59cc2a9381d2""]","[0.72432404818189,0.71132404818189,0.73732404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s32mr000s_775222de137afe83"",""s32mr001p_feee03349ebf54e1"",""s32mr001p_c8a13db5f1ff1fda""]","[1.6322800036218754,1.6192800036218755,1.6452800036218753]"
5,29,9,2,local_least_squares,3,4.050000000000001e-05,"[""s32mr000s_775222de137afe83"",""s32mr001p_f0702496475f2632"",""s32mr001p_a9a92824b4738d64""]","[-0.01384070035980308,-0.01834070035980308,-0.00934070035980308]"
6,30,10,0,local_least_squares,3,0.0006479999999999997,"[""s32mr000s_775222de137afe83"",""s32mr001p_6c5be533fcab2f97"",""s32mr001p_a12815c0d8e55ea2""]","[0.12806661553497395,0.11006661553497395,0.14606661553497394]"
7,31,10,1,local_least_squares,3,0.0006480000000000001,"[""s32mr000s_775222de137afe83"",""s32mr001p_e30d8fbccaef7c61"",""s32mr001p_1e4aafdc2c3e502a""]","[0.2509908399311615,0.23299083993116151,0.2689908399311615]"
8,32,10,2,local_least_squares,3,8.450000000000006e-05,"[""s32mr000s_775222de137afe83"",""s32mr001p_a64c6c68d8cc745b"",""s32mr001p_553c2e64288b5707""]","[0.05900843609612033,0.05250843609612033,0.06550843609612034]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s32mr000s_775222de137afe83"",""s32mr001p_dcd9fe63cb1cc2e5"",""s32mr001p_11e37416fa02abc7""]","[-0.8689019269553486,-0.8909019269553486,-0.8469019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s32mr000s_775222de137afe83"",""s32mr001p_c15d157cd9e3ed85"",""s32mr001p_9a8b856b27c83db6""]","[-1.3613055953182878,-1.3833055953182878,-1.3393055953182877]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s32mr000s_775222de137afe83"",""s32mr001p_13ccdc875dbed3ac"",""s32mr001p_b7b55b6a520fb15b""]","[0.7449068669037617,0.7369068669037617,0.7529068669037617]"
12,36,12,0,local_least_squares,3,0.0013519999999999995,"[""s32mr000s_775222de137afe83"",""s32mr001p_60db6bfcbdb4fbbc"",""s32mr001p_cafc8e11fce04279""]","[-0.21198628928047197,-0.23798628928047197,-0.18598628928047198]"
13,37,12,1,local_least_squares,3,0.0013519999999999995,"[""s32mr000s_775222de137afe83"",""s32mr001p_9cdab24d330b6e0e"",""s32mr001p_b11183262c3f6b7f""]","[-0.16391496554601098,-0.18991496554601098,-0.137914965546011]"
14,38,12,2,local_least_squares,3,0.0001804999999999982,"[""s32mr000s_775222de137afe83"",""s32mr001p_6cbbd63f1ed63bac"",""s32mr001p_12b647764555b8c2""]","[0.5999209209163072,0.5904209209163073,0.6094209209163072]"
15,39,13,0,local_least_squares,3,0.0013519999999999997,"[""s32mr000s_775222de137afe83"",""s32mr001p_413bb739b0caa9cf"",""s32mr001p_ce4a04fd992b49f3""]","[0.03205893373294061,0.00605893373294061,0.058058933732940604]"
16,40,13,1,local_least_squares,3,0.0013519999999999995,"[""s32mr000s_775222de137afe83"",""s32mr001p_2f698b52057e535b"",""s32mr001p_b8ae20d3256b9c36""]","[-0.2027650000000008,-0.2287650000000008,-0.1767650000000008]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s32mr000s_775222de137afe83"",""s32mr001p_cb56d29c777c09ef"",""s32mr001p_c4784e54af07f940""]","[0.22559641495695462,0.2160964149569546,0.23509641495695463]"
18,42,14,0,local_least_squares,3,0.0013519999999999997,"[""s32mr000s_775222de137afe83"",""s32mr001p_837a7925313a33aa"",""s32mr001p_05c2fac469be9718""]","[0.02145564202421857,-0.00454435797578143,0.047455642024218564]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s32mr000s_775222de137afe83"",""s32mr001p_e422a7ec0e31627e"",""s32mr001p_dc7e68b36af3c0c4""]","[-0.5448859878787722,-0.5708859878787722,-0.5188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s32mr000s_775222de137afe83"",""s32mr001p_0b55e6b44288c698"",""s32mr001p_ea74d1112afaf99f""]","[0.37685390377494327,0.36735390377494326,0.3863539037749433]"
