variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_f8e679faef68ecf9"",""s32mr002p_0e9d553b17022d36""]","[0.2076434276998702,0.1986434276998702,0.21664342769987022]"
1,25,8,1,local_least_squares,3,0.00016200000000000028,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_7b2b2a23a0349c8e"",""s32mr002p_4b6c809254b1f653""]","[0.5010402301310709,0.4920402301310709,0.5100402301310709]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_c81a13ca86935767"",""s32mr002p_96f51b232f7a2af6""]","[0.21547878343592358,0.21197878343592358,0.21897878343592359]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_2c4951046fa70ead"",""s32mr002p_24c0944f1b311e6a""]","[0.84432404818189,0.83132404818189,0.85732404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_91057fdf1689b364"",""s32mr002p_b78d9d822451ede3""]","[1.5122800036218753,1.4992800036218754,1.5252800036218752]"
5,29,9,2,local_least_squares,3,4.049999999999998e-05,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_4b1b381517610d26"",""s32mr002p_ac6349c49b01c2a9""]","[0.028159299640196922,0.02365929964019692,0.03265929964019692]"
6,30,10,0,local_least_squares,3,0.0006480000000000011,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_567b14e652c72a33"",""s32mr002p_927f54c8207e2fbc""]","[0.30806661553497394,0.2900666155349739,0.32606661553497396]"
7,31,10,1,local_least_squares,3,0.0006480000000000011,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_ecde9c0e3230da8d"",""s32mr002p_354c9a0bd31e54a2""]","[0.4309908399311615,0.4129908399311615,0.4489908399311615]"
8,32,10,2,local_least_squares,3,8.449999999999998e-05,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_0df209fbaf9d240b"",""s32mr002p_2a4d787f4ef2ad13""]","[-0.005991563903879671,-0.01249156390387967,0.0005084360961203288]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_d4a6ea1f376f1cac"",""s32mr002p_c36b8dbfbad789f6""]","[-1.1089019269553486,-1.1309019269553486,-1.0869019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_df8d800ad3b158cb"",""s32mr002p_8c7bfe6244f2ffa1""]","[-1.1213055953182878,-1.1433055953182878,-1.0993055953182878]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_4629c40fc4a8bd5d"",""s32mr002p_81a6d1e503e1cc82""]","[0.6599068669037618,0.6519068669037618,0.6679068669037618]"
12,36,12,0,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_d61084a389bd09af"",""s32mr002p_2aa4fecec803ad9c""]","[-0.511986289280472,-0.537986289280472,-0.48598628928047194]"
13,37,12,1,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_9b6c9d773eab8bb6"",""s32mr002p_7b316ce51b8c1b68""]","[-0.46391496554601097,-0.489914965546011,-0.43791496554601095]"
14,38,12,2,local_least_squares,3,0.00018049999999999926,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_99af0c2fd115cf81"",""s32mr002p_1a3cafcf4acf38dd""]","[0.49992092091630724,0.49042092091630723,0.5094209209163072]"
15,39,13,0,local_least_squares,3,0.001352000000000001,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_73df77bd7e521c27"",""s32mr002p_7d30cb6e229941f4""]","[-0.2679410662670594,-0.2939410662670594,-0.24194106626705938]"
16,40,13,1,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_de189c607e02c29b"",""s32mr002p_809de990e7257347""]","[-0.5027650000000008,-0.5287650000000008,-0.47676500000000077]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_f34f904f3b5e86cd"",""s32mr002p_4045cb6b0e72de24""]","[0.3255964149569546,0.3160964149569546,0.33509641495695464]"
18,42,14,0,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_211f27318777361d"",""s32mr002p_b40e898241acbb93""]","[-0.2785443579757814,-0.30454435797578144,-0.2525443579757814]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_aa05e112e08c974c"",""s32mr002p_a412a24a78bc9e86""]","[-0.8448859878787722,-0.8708859878787722,-0.8188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s32mr001p_58c0f0efcc85cb11"",""s32mr002p_eb168e8022b02274"",""s32mr002p_db517b4762eee59e""]","[0.3086456620311949,0.2991456620311949,0.31814566203119493]"
