variable_local_index,variable_full_index,step,mode,method,n_samples,denominator,sample_candidate_ids,sample_values
0,24,8,0,local_least_squares,3,0.00016200000000000028,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_56ad26db71f8c3c6"",""s32mr002p_e6d99c7a3df44d01""]","[0.2876434276998702,0.2786434276998702,0.29664342769987023]"
1,25,8,1,local_least_squares,3,0.00016200000000000028,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_8875835ee20ebceb"",""s32mr002p_9425cb2ca7b2fb0b""]","[0.572040230131071,0.563040230131071,0.581040230131071]"
2,26,8,2,local_least_squares,3,2.4500000000000043e-05,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_ad9fe4d333fe20e9"",""s32mr002p_68d6a47d587548dc""]","[0.18747878343592358,0.18397878343592358,0.1909787834359236]"
3,27,9,0,local_least_squares,3,0.0003380000000000006,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_8e6465d6f23bcc0d"",""s32mr002p_60561a966014cce4""]","[0.72432404818189,0.71132404818189,0.73732404818189]"
4,28,9,1,local_least_squares,3,0.0003379999999999948,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_e5c2ed354bca845e"",""s32mr002p_90c6495c99d43dc1""]","[1.6322800036218754,1.6192800036218755,1.6452800036218753]"
5,29,9,2,local_least_squares,3,4.050000000000001e-05,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_d53a39205b67aa14"",""s32mr002p_b5b37932543c5b9f""]","[-0.01384070035980308,-0.01834070035980308,-0.00934070035980308]"
6,30,10,0,local_least_squares,3,0.0006479999999999997,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_c4b7954c774209f7"",""s32mr002p_bb0e8ba4b1a3fad7""]","[0.12806661553497395,0.11006661553497395,0.14606661553497394]"
7,31,10,1,local_least_squares,3,0.0006480000000000001,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_7b2f4c766ed12bd8"",""s32mr002p_a47ee44dbaa133dc""]","[0.2509908399311615,0.23299083993116151,0.2689908399311615]"
8,32,10,2,local_least_squares,3,8.450000000000006e-05,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_dd3d3997307f049c"",""s32mr002p_bfaa888bcb68176a""]","[0.05900843609612033,0.05250843609612033,0.06550843609612034]"
9,33,11,0,local_least_squares,3,0.0009680000000000017,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_238300ac188d400b"",""s32mr002p_6b81700d22f54013""]","[-0.8689019269553486,-0.8909019269553486,-0.8469019269553486]"
10,34,11,1,local_least_squares,3,0.0009680000000000017,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_f5258cbb41cc8008"",""s32mr002p_e2789f5c4048094b""]","[-1.3613055953182878,-1.3833055953182878,-1.3393055953182877]"
11,35,11,2,local_least_squares,3,0.00012800000000000024,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_ec51e72ce62064c8"",""s32mr002p_2628fcb4eaa685f9""]","[0.7449068669037617,0.7369068669037617,0.7529068669037617]"
12,36,12,0,local_least_squares,3,0.0013519999999999995,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_92e6730aef14de7d"",""s32mr002p_81a2abf22ea4d24f""]","[-0.21198628928047197,-0.23798628928047197,-0.18598628928047198]"
13,37,12,1,local_least_squares,3,0.0013519999999999995,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_6d053a22ea6a7163"",""s32mr002p_97a32da61f11f2f0""]","[-0.16391496554601098,-0.18991496554601098,-0.137914965546011]"
14,38,12,2,local_least_squares,3,0.0001804999999999982,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_b942d3f907090734"",""s32mr002p_773baa1ec6c1d26c""]","[0.5999209209163072,0.5904209209163073,0.6094209209163072]"
15,39,13,0,local_least_squares,3,0.0013519999999999997,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_acbab3863693f4f2"",""s32mr002p_adb459e976ba7c4f""]","[0.03205893373294061,0.00605893373294061,0.058058933732940604]"
16,40,13,1,local_least_squares,3,0.0013519999999999995,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_774f6838508b79ea"",""s32mr002p_b4064e4cb3b9c245""]","[-0.2027650000000008,-0.2287650000000008,-0.1767650000000008]"
17,41,13,2,local_least_squares,3,0.00018050000000000032,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_c5810b91f6d8b487"",""s32mr002p_2dc1b3c4a4966663""]","[0.22559641495695462,0.2160964149569546,0.23509641495695463]"
18,42,14,0,local_least_squares,3,0.0013519999999999997,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_13f8b765a248e779"",""s32mr002p_423ca42f70f633b5""]","[0.02145564202421857,-0.00454435797578143,0.047455642024218564]"
19,43,14,1,local_least_squares,3,0.0013520000000000025,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_be6b6f535b762afb"",""s32mr002p_b938d1891a0c60d2""]","[-0.5448859878787722,-0.5708859878787722,-0.5188859878787722]"
20,44,14,2,local_least_squares,3,0.00018050000000000032,"[""s32mr001p_ab1dff8ddf4e904e"",""s32mr002p_4dd629549262e8d8"",""s32mr002p_7d5a4ac34aacd9a8""]","[0.37685390377494327,0.36735390377494326,0.3863539037749433]"
