stage,phase,candidate_id,source_name,source_type,parent_candidate_id,source_stage3_1_candidate_id,full_control_vector,margin_control_vector,hold_control_vector,probe_center_candidate_id,probe_center_index,probe_variable_local_index,probe_variable_full_index,probe_step,probe_mode,probe_slot,probe_scheme,probe_requested_delta,probe_actual_delta,population_index
Stage3.2,margin_round_002_probes,s32mr002p_56ad26db71f8c3c6,center0_v0_0,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2786434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2786434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,0,24,8,0,0,two_sided,0.009,-0.009000000000000008,0
Stage3.2,margin_round_002_probes,s32mr002p_e6d99c7a3df44d01,center0_v0_1,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.29664342769987023,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.29664342769987023,0.572040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,0,24,8,0,1,two_sided,0.009,0.009000000000000008,1
Stage3.2,margin_round_002_probes,s32mr002p_8875835ee20ebceb,center0_v1_0,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.563040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.563040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,1,25,8,1,0,two_sided,0.009,-0.009000000000000008,2
Stage3.2,margin_round_002_probes,s32mr002p_9425cb2ca7b2fb0b,center0_v1_1,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.581040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.581040230131071,0.18747878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,1,25,8,1,1,two_sided,0.009,0.009000000000000008,3
Stage3.2,margin_round_002_probes,s32mr002p_ad9fe4d333fe20e9,center0_v2_0,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18397878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.18397878343592358,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,2,26,8,2,0,two_sided,0.0035,-0.003500000000000003,4
Stage3.2,margin_round_002_probes,s32mr002p_68d6a47d587548dc,center0_v2_1,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.1909787834359236,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.1909787834359236,0.72432404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,2,26,8,2,1,two_sided,0.0035,0.003500000000000003,5
Stage3.2,margin_round_002_probes,s32mr002p_8e6465d6f23bcc0d,center0_v3_0,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.71132404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.71132404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,3,27,9,0,0,two_sided,0.013,-0.013000000000000012,6
Stage3.2,margin_round_002_probes,s32mr002p_60561a966014cce4,center0_v3_1,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.73732404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.73732404818189,1.6322800036218754,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,3,27,9,0,1,two_sided,0.013,0.013000000000000012,7
Stage3.2,margin_round_002_probes,s32mr002p_e5c2ed354bca845e,center0_v4_0,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6192800036218755,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6192800036218755,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,4,28,9,1,0,two_sided,0.013,-0.0129999999999999,8
Stage3.2,margin_round_002_probes,s32mr002p_90c6495c99d43dc1,center0_v4_1,real_tsc_fd_probe,s32mr001p_ab1dff8ddf4e904e,s31r999p_6de147eb9cfd6186,"[2.3705445176467634,1.218059178969841,0.480262669915016,1.7873853428013768,1.5319834441862021,0.28986020499887877,1.2042261679559902,1.8459077094025633,0.09945774008274161,0.4058699528127642,1.9547204162635479,-0.11886421791327684,-0.3924862623304618,2.0635331231245324,-0.3371861759092953,-0.5941020377973161,0.3930469031369952,-0.12278921244095856,-0.7957178132641703,-1.277439316850542,0.09160775102737818,-0.6965096927821501,-0.7906720433597355,0.11758864223165101,0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6452800036218753,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]","[0.2876434276998702,0.572040230131071,0.18747878343592358,0.72432404818189,1.6452800036218753,-0.01384070035980308,0.12806661553497395,0.2509908399311615,0.05900843609612033,-0.8689019269553486,-1.3613055953182878,0.7449068669037617,-0.21198628928047197,-0.16391496554601098,0.5999209209163072,0.03205893373294061,-0.2027650000000008,0.22559641495695462,0.02145564202421857,-0.5448859878787722,0.37685390377494327]","[-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949,-0.2785443579757814,-0.8448859878787722,0.3086456620311949]",s32mr001p_ab1dff8ddf4e904e,0,4,28,9,1,1,two_sided,0.013,0.0129999999999999,9
